arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
pañal	<font color=red>CHP:</font> awalla\n<font color=blue>AYM:</font> jananta\n<font color=orange>ENG:</font> diaper
aguantar	<font color=red>CHP:</font> awantiz\n<font color=blue>AYM:</font> awantaña\n<font color=orange>ENG:</font> to endure
agua ardiente, alcohol	<font color=red>CHP:</font> awarinti\n<font color=blue>AYM:</font> awarinti\n<font color=orange>ENG:</font> alcohol, liquor
macho grande del rebaño	<font color=red>CHP:</font> awatir turu\n<font color=blue>AYM:</font> awatir turu (jañachu)\n<font color=orange>ENG:</font> big male, leader of the herd
pastor	<font color=red>CHP:</font> awatiri\n<font color=blue>AYM:</font> awatiri\n<font color=orange>ENG:</font> shepherd
espiar	<font color=red>CHP:</font> awayt'iz\n<font color=blue>AYM:</font> awatiña, iñaña\n<font color=orange>ENG:</font> to spy
mojado	<font color=red>CHP:</font> awchi\n<font color=blue>AYM:</font> jawch'i, llawch'i\n<font color=orange>ENG:</font> wet
húmedo	<font color=red>CHP:</font> awi\n<font color=blue>AYM:</font> murintata\n<font color=orange>ENG:</font> humid, damp
lavar	<font color=red>CHP:</font> awjz\n<font color=blue>AYM:</font> jariña, t'axsaña\n<font color=orange>ENG:</font> to wash
sacrificador	<font color=red>CHP:</font> awquichu\n<font color=blue>AYM:</font> wilanchiri, luqiri\n<font color=orange>ENG:</font> one who sacrifices
invierno	<font color=red>CHP:</font> awti = awti timpu\n<font color=blue>AYM:</font> awti\n<font color=orange>ENG:</font> winter
mojar	<font color=red>CHP:</font> awz\n<font color=blue>AYM:</font> murintaña\n<font color=orange>ENG:</font> to wet
frente	<font color=red>CHP:</font> aya\n<font color=blue>AYM:</font> phara\n<font color=orange>ENG:</font> forehead
piedra dura	<font color=red>CHP:</font> ayi maaz\n<font color=blue>AYM:</font> uqi qala, urqu qala, thuru qala\n<font color=orange>ENG:</font> hard rock
doler	<font color=red>CHP:</font> ayinz\n<font color=blue>AYM:</font> usuña\n<font color=orange>ENG:</font> to hurt
ayllu, comunidad indígena	<font color=red>CHP:</font> ayllu\n<font color=blue>AYM:</font> ayllu\n<font color=orange>ENG:</font> indigenous community
bajada	<font color=red>CHP:</font> aynacha\n<font color=blue>AYM:</font> aynacha, irana\n<font color=orange>ENG:</font> slope (downward)
trabajo colectivo	<font color=red>CHP:</font> ayni\n<font color=blue>AYM:</font> ayni\n<font color=orange>ENG:</font> collective work
trabajo recíproco	<font color=red>CHP:</font> aynijjaz\n<font color=blue>AYM:</font> aynjaña\n<font color=orange>ENG:</font> reciprocal work, to work for one another
con frente grande	<font color=red>CHP:</font> ayp'ulu\n<font color=blue>AYM:</font> jach'a parani\n<font color=orange>ENG:</font> having a large forehead
ayrampu (planta con espinas)	<font color=red>CHP:</font> ayrampu\n<font color=blue>AYM:</font> ayrampu\n<font color=orange>ENG:</font> mountain cactus
jactarse de	<font color=red>CHP:</font> ayt'az\n<font color=blue>AYM:</font> ayt'asiña\n<font color=orange>ENG:</font> to boast about
enjuagar	<font color=red>CHP:</font> aytirz\n<font color=blue>AYM:</font> aytiraña\n<font color=orange>ENG:</font> to rinse
pasar lista	<font color=red>CHP:</font> aytiz\n<font color=blue>AYM:</font> sutinak aytaña\n<font color=orange>ENG:</font> to call (a roll)
ayuna	<font color=red>CHP:</font> ayuna\n<font color=blue>AYM:</font> ayuna\n<font color=orange>ENG:</font> fast, abstention from food
ayunar	<font color=red>CHP:</font> ayunaz\n<font color=blue>AYM:</font> ayunaña\n<font color=orange>ENG:</font> to fast
celar	<font color=red>CHP:</font> ayz\n<font color=blue>AYM:</font> tumpaña, silaña\n<font color=orange>ENG:</font> to watch over
vergüenza	<font color=red>CHP:</font> az\n<font color=blue>AYM:</font> p'inqaña\n<font color=orange>ENG:</font> embarrassment
raya blanca en urcju (vestido de mujeres)	<font color=red>CHP:</font> azaka\n<font color=blue>AYM:</font> asaqa\n<font color=orange>ENG:</font> white stripe on women's dress
de vergüenza	<font color=red>CHP:</font> azanpanti\n<font color=blue>AYM:</font> p'inqasita\n<font color=orange>ENG:</font> from shame
muy vergonzoso	<font color=red>CHP:</font> azazñi\n<font color=blue>AYM:</font> p'inqasiri\n<font color=orange>ENG:</font> very shy, very bashful
fuerza	<font color=red>CHP:</font> azi\n<font color=blue>AYM:</font> ch'ama\n<font color=orange>ENG:</font> strength
medir fuerzas (personas)	<font color=red>CHP:</font> azi wejlz\n<font color=blue>AYM:</font> ch'amtasiña, ch'amtapiña\n<font color=orange>ENG:</font> to compare one's strength (persons)
enfermarse	<font color=red>CHP:</font> azinz\n<font color=blue>AYM:</font> ususiña\n<font color=orange>ENG:</font> to fall ill
hombro	<font color=red>CHP:</font> azkara\n<font color=blue>AYM:</font> kallachi\n<font color=orange>ENG:</font> shoulder
burro	<font color=red>CHP:</font> aznu\n<font color=blue>AYM:</font> asnu, tumiritu\n<font color=orange>ENG:</font> donkey
vergonzoso	<font color=red>CHP:</font> azñi\n<font color=blue>AYM:</font> jiwtasiri\n<font color=orange>ENG:</font> shy, bashful
arreglar, resolver problemas	<font color=red>CHP:</font> azquichz\n<font color=blue>AYM:</font> askiraña\n<font color=orange>ENG:</font> to fix, to resolve
abusivo	<font color=red>CHP:</font> azquiz atinaru\n<font color=blue>AYM:</font> iñisiri, ch'amar atiniru\n<font color=orange>ENG:</font> abusive, bully
plato pequeño	<font color=red>CHP:</font> azti chuwa\n<font color=blue>AYM:</font> sik'a chuwa\n<font color=orange>ENG:</font> small plate
trasladar (uno por uno)	<font color=red>CHP:</font> aztiz\n<font color=blue>AYM:</font> llamparaña\n<font color=orange>ENG:</font> to move things one by one
llevar	<font color=red>CHP:</font> aztiz\n<font color=blue>AYM:</font> apaña\n<font color=orange>ENG:</font> to carry
quemar incienso, sahumar	<font color=red>CHP:</font> azt'iz\n<font color=blue>AYM:</font> ast'aña\n<font color=orange>ENG:</font> to burn incense
hace (dos semanas)	<font color=red>CHP:</font> az̈k (pizc simana)\n<font color=blue>AYM:</font> pä simanata, pä simanaxina\n<font color=orange>ENG:</font> (two weeks) ago
lejos (en tiempo)	<font color=red>CHP:</font> az̈ka\n<font color=blue>AYM:</font> jaya\n<font color=orange>ENG:</font> far away (time)
hace largo rato	<font color=red>CHP:</font> az̈kpacha\n<font color=blue>AYM:</font> jayapachata\n<font color=orange>ENG:</font> a long time ago
lejos (en distancia)	<font color=red>CHP:</font> az̈quin\n<font color=blue>AYM:</font> khuri\n<font color=orange>ENG:</font> far away (in distance)
red para pescar	<font color=red>CHP:</font> cacuna\n<font color=blue>AYM:</font> qäna, saqaña, llika\n<font color=orange>ENG:</font> fish net
despedida de la fiesta	<font color=red>CHP:</font> cacharpaya\n<font color=blue>AYM:</font> kacharpaya\n<font color=orange>ENG:</font> last part of festival
bolita	<font color=red>CHP:</font> cachina\n<font color=blue>AYM:</font> kachina\n<font color=orange>ENG:</font> marble (toy)
tambor	<font color=red>CHP:</font> caja\n<font color=blue>AYM:</font> kaja\n<font color=orange>ENG:</font> small drum
viandera, jarra con tapa para guardar comidas	<font color=red>CHP:</font> cajitira\n<font color=blue>AYM:</font> kajitira\n<font color=orange>ENG:</font> can with lid to store food
sacar pelo de barba uno por uno	<font color=red>CHP:</font> cajlz\n<font color=blue>AYM:</font> chhunkha p'ataña\n<font color=orange>ENG:</font> to pull out hairs one by one
sacar planta con la raíz	<font color=red>CHP:</font> cajlz\n<font color=blue>AYM:</font> jik'iraña\n<font color=orange>ENG:</font> to uproot
figuras en los tejidos	<font color=red>CHP:</font> cajun cajuna\n<font color=blue>AYM:</font> salta\n<font color=orange>ENG:</font> weaving pattern
cajita o vitrina de santos	<font color=red>CHP:</font> cajuyla\n<font color=blue>AYM:</font> kajuyla\n<font color=orange>ENG:</font> small box/display case for saints
rosado	<font color=red>CHP:</font> calawina\n<font color=blue>AYM:</font> anti\n<font color=orange>ENG:</font> pink, fuchsia
combinación de dos colores de llama (negro/café y blanco)	<font color=red>CHP:</font> calsa\n<font color=blue>AYM:</font> alqa\n<font color=orange>ENG:</font> combination of two colors on llama (black/brown and white)
pantalones	<font color=red>CHP:</font> calzuna\n<font color=blue>AYM:</font> calzuna\n<font color=orange>ENG:</font> trousers, pants
araña	<font color=red>CHP:</font> callacalla = araña\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> spider
lastimado, herido	<font color=red>CHP:</font> callca\n<font color=blue>AYM:</font> usuchjata\n<font color=orange>ENG:</font> injured, wounded
medio urcju, costura de urcju	<font color=red>CHP:</font> callu\n<font color=blue>AYM:</font> ch'uku\n<font color=orange>ENG:</font> half of woman's dress, seam of woman's dress
llevar una persona (en camilla)	<font color=red>CHP:</font> callz\n<font color=blue>AYM:</font> kallaña\n<font color=orange>ENG:</font> to carry a person (on a stretcher)
medida para tejer	<font color=red>CHP:</font> cama\n<font color=blue>AYM:</font> tupu\n<font color=orange>ENG:</font> weaving measurement
hasta	<font color=red>CHP:</font> -cama\n<font color=blue>AYM:</font> -kama\n<font color=orange>ENG:</font> up to, as far as
puro, solamente	<font color=red>CHP:</font> -cama\n<font color=blue>AYM:</font> -kama\n<font color=orange>ENG:</font> only
espacio ceremonial en una casa	<font color=red>CHP:</font> camana\n<font color=blue>AYM:</font> qamañ tayka\n<font color=orange>ENG:</font> ceremonial space in a house
laringe	<font color=red>CHP:</font> campalachi\n<font color=blue>AYM:</font> surunqu\n<font color=orange>ENG:</font> larynx
torre	<font color=red>CHP:</font> campanturi = turi\n<font color=blue>AYM:</font> turi\n<font color=orange>ENG:</font> tower
cambiar, intercambiar	<font color=red>CHP:</font> campiiz\n<font color=blue>AYM:</font> chhalaña, turkaña\n<font color=orange>ENG:</font> to change, to exchange (goods)
cambiar	<font color=red>CHP:</font> campiyaz\n<font color=blue>AYM:</font> kampiyaña, kampiytaña\n<font color=orange>ENG:</font> to replace (people)
carne asada	<font color=red>CHP:</font> canca\n<font color=blue>AYM:</font> kanka\n<font color=orange>ENG:</font> roasted meat
ganar	<font color=red>CHP:</font> canz\n<font color=blue>AYM:</font> yanaña\n<font color=orange>ENG:</font> to win
caña	<font color=red>CHP:</font> caña\n<font color=blue>AYM:</font> tuqura\n<font color=orange>ENG:</font> cane (plant)
caprichoso	<font color=red>CHP:</font> caprichu\n<font color=blue>AYM:</font> munañani, q'illukhumu\n<font color=orange>ENG:</font> capricious
envolver	<font color=red>CHP:</font> caps\n<font color=blue>AYM:</font> k'iruña\n<font color=orange>ENG:</font> to wrap up
vender más barato que otros, regatear	<font color=red>CHP:</font> capujz\n<font color=blue>AYM:</font> kapujaña\n<font color=orange>ENG:</font> to have a sale, to sell cheaply, to sell quickly
castrado	<font color=red>CHP:</font> capuna\n<font color=blue>AYM:</font> kapata\n<font color=orange>ENG:</font> castrated
macho castrado	<font color=red>CHP:</font> capunturu\n<font color=blue>AYM:</font> kapuna\n<font color=orange>ENG:</font> castrated male
abrigo	<font color=red>CHP:</font> caputi\n<font color=blue>AYM:</font> awriwu\n<font color=orange>ENG:</font> overcoat
castrar	<font color=red>CHP:</font> capz\n<font color=blue>AYM:</font> kapaña\n<font color=orange>ENG:</font> to castrate
ancho	<font color=red>CHP:</font> cara\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> wide
palabra de enojo, voz malsonante	<font color=red>CHP:</font> caraju\n<font color=blue>AYM:</font> karaju\n<font color=orange>ENG:</font> swear word
lo mejor en la producción agrícola	<font color=red>CHP:</font> caranu\n<font color=blue>AYM:</font> sumall puquta\n<font color=orange>ENG:</font> the best agricultural product
macho grande del cerdo	<font color=red>CHP:</font> carañu\n<font color=blue>AYM:</font> jach'a khuchi\n<font color=orange>ENG:</font> male pig who watches over the herd
cadena	<font color=red>CHP:</font> carina\n<font color=blue>AYM:</font> karina\n<font color=orange>ENG:</font> chain
carero	<font color=red>CHP:</font> cariru\n<font color=blue>AYM:</font> kariru, jiwakipata\n<font color=orange>ENG:</font> shopkeeper who charges excessive prices
tiempo de cuaresma	<font color=red>CHP:</font> carisma\n<font color=blue>AYM:</font> kuwarisma\n<font color=orange>ENG:</font> Lent (40 days before Easter)
quinua rosada	<font color=red>CHP:</font> carnata\n<font color=blue>AYM:</font> antijuyra\n<font color=orange>ENG:</font> type of quinua (pinkish)
carbón	<font color=red>CHP:</font> carpuna\n<font color=blue>AYM:</font> karwuna\n<font color=orange>ENG:</font> coal, charcoal
cárcel	<font color=red>CHP:</font> carsila\n<font color=blue>AYM:</font> karsila\n<font color=orange>ENG:</font> jail
caja (cartón)	<font color=red>CHP:</font> cartuna\n<font color=blue>AYM:</font> cartuna\n<font color=orange>ENG:</font> (cardboard) box
poner carona (en animales)	<font color=red>CHP:</font> carunz\n<font color=blue>AYM:</font> karunaña\n<font color=orange>ENG:</font> to put a cloth on animals (to protect their body)
palo	<font color=red>CHP:</font> caruti\n<font color=blue>AYM:</font> lawa / k'ullu\n<font color=orange>ENG:</font> club, stick
garbanzo	<font color=red>CHP:</font> carwansa\n<font color=blue>AYM:</font> carwansu\n<font color=orange>ENG:</font> garbanzo bean plant
casarse	<font color=red>CHP:</font> casarz\n<font color=blue>AYM:</font> kasarasiña, warmichasiña, chachasiña\n<font color=orange>ENG:</font> to get married
igualar	<font color=red>CHP:</font> casi\n<font color=blue>AYM:</font> purapachaña\n<font color=orange>ENG:</font> to be the same
igualado	<font color=red>CHP:</font> casiz\n<font color=blue>AYM:</font> purapacha\n<font color=orange>ENG:</font> the same
castigar	<font color=red>CHP:</font> casticz\n<font color=blue>AYM:</font> kastiyaña\n<font color=orange>ENG:</font> to punish
planta medicinal	<font color=red>CHP:</font> castillura\n<font color=blue>AYM:</font> rura\n<font color=orange>ENG:</font> a medicinal plant
tipo de escarabajo	<font color=red>CHP:</font> catalina\n<font color=blue>AYM:</font> katalina\n<font color=orange>ENG:</font> beetle
ropa que cabe bien	<font color=red>CHP:</font> catalla\n<font color=blue>AYM:</font> isi katt'ata\n<font color=orange>ENG:</font> well fitting clothes
recibir, aceptar	<font color=red>CHP:</font> catokz\n<font color=blue>AYM:</font> katuqaña\n<font color=orange>ENG:</font> to receive, to accept
hambriento y aprovechador	<font color=red>CHP:</font> caturiza\n<font color=blue>AYM:</font> manq'aq'ara\n<font color=orange>ENG:</font> greedy, selfish (relating to food)
exacto, cabal	<font color=red>CHP:</font> cawali\n<font color=blue>AYM:</font> kawala\n<font color=orange>ENG:</font> exact, precise
mango, asa	<font color=red>CHP:</font> cawu\n<font color=blue>AYM:</font> katu, katuña\n<font color=orange>ENG:</font> handle
ponerse en cuclillas	<font color=red>CHP:</font> cawz\n<font color=blue>AYM:</font> chukt'asiña, killtat ch'uktasiña\n<font color=orange>ENG:</font> to squat
obedecer	<font color=red>CHP:</font> caz\n<font color=blue>AYM:</font> kasuña, ist'aña\n<font color=orange>ENG:</font> to obey
hija/hijo parecido a uno de los padres	<font color=red>CHP:</font> cazta\n<font color=blue>AYM:</font> kasta\n<font color=orange>ENG:</font> daughter/son who is the very image of one of the parents
imagen de caballo	<font color=red>CHP:</font> caztañu\n<font color=blue>AYM:</font> lluch'ita\n<font color=orange>ENG:</font> image of horses (in church)
tartamudo	<font color=red>CHP:</font> cjacja\n<font color=blue>AYM:</font> khakha\n<font color=orange>ENG:</font> stammerer, stutterer
persona que camina rosco, con las piernas abiertas	<font color=red>CHP:</font> cjacra\n<font color=blue>AYM:</font> alikati\n<font color=orange>ENG:</font> bow legged
abrir/sacar con fuerza	<font color=red>CHP:</font> cjacs\n<font color=blue>AYM:</font> khakhaña\n<font color=orange>ENG:</font> to open/to remove forcefully
abrir las piernas	<font color=red>CHP:</font> cjacz\n<font color=blue>AYM:</font> chara ayattaña\n<font color=orange>ENG:</font> to spread ones legs
hablar en voz agonizante	<font color=red>CHP:</font> cjajllu\n<font color=blue>AYM:</font> khallu khallu\n<font color=orange>ENG:</font> to speak with the voice of a dying person
