a'ạjtaba'	Mata caballo.
mu'tyeva'joi'	Comer una sola clase de comida (por un tiempo).
mutyudye'	Bastón.
mutyudyeijtyi'	Autoridad, jefe, corregidor.
muvety in	Los de allá.
mu'ya', mọ'ya'	Hay, ahí está.
mu'ya'dye, mọ'ya'dye	En ese lugar, sitio.
muya'dyety tsun	La tardecita, al anochecer.
muya'yejoij	Tardecita.
muyetye'	Aplazó.
muyetyeja'	Aplazamos.
muyetyejcai'	Fracasó.
muyejjoij	Fracasó por entendimiento.
mätseij-tsei'	Que tiene varios colores bonitos.
mä́tsetsety	De colores muy brillantes.
mätyäj	Conejo de pampa y del monte.
nabac	Poner otra ropa encima de otro.
nabactyity	Abrigo, manto.
nabacyity	Saco, chompa, etc.
nabai'je'-te	Bajar el hinchazón, desinflar algo.
nabaj	Víbora pucarara.
nabaqui	Empollar.
naca'	Jóchi pintado.
nácaty	Hígado.
nacje'	Recibir algo tirado, etc.
nacven'je'	Sacar entero, completo.
nạ́dye'	Vuelo (de avión, ave).
nadyedyes	Documento de identidad para vía aérea o boleto.
na'eban' ịvaj	Luna nueva.
na'edye'	Cumpleaños.
na'edyedyes	Primogenitura.
na'fa'	Clase de árbol.
na'ij	Nacer.
na'eja'	Nacemos.
nạij	Volar.
nạ́ja'	Volamos o enterramos alguien.
nạ́dye'	Vuelo.
nạij bu'yi	Visible, transparente.
naijje'	Asesina, mata.
nạijjodye' tui'tyi'	Lucero del alba, Venus.
nạijjoi'	Buenos días.
nạijjoij, nạijjoi'	Amanece.
nạijjoi'si'	Pasado mañana.
nạijjoqui've	Madrugada.
nạijtye'	Ver, algo.
naijti	Ver, mirar.
naijtiĉa'	Poder ver.
naijtis	Pupila del ojo.
nai'qui	Nadar en el río, laguna.
naj	Peto de color amarillo (campana).
najna	Inflar alguna cosa.
najñeja'	Trabajar con barro.
najyajyaij, najyaijtyi'	Abierto, mal tejido.
na'maqui	Cercar el agua para barbasquear.
nam'je'	Cercar, encerrar.
na'maty	Camiseta.
namchaij, namchai'	Aplastado en el suelo.
namchaty, namchas	Aplastado, no redondo plano.
nam'joij	Atorase, trancarse.
nana'	Tiza para hilar.
nánac	Peto (vive en la tierra).
nanasti'	Desarrollarse llegar hacer joven femenina.
nanaty -nas	Joven.
nanatyti	Desarrollarse llegar a ser joven masculino.
nana'vava'	Mucho: grano, huevos, etc.
nạnayi'	Aves grandes como: mutún, pato, etc.
napats	Planta del pie.
napo'	Caravana, de habla española.
napu'	Compañero.
nạ́qui, nạ́que', nạcte	Ir a enterrar a un muerto.
na'ru	Cerco, pared.
na'ruij	Hacer pared de chuchio.
na'rutuqui	Hacer pared.
nas	Víbora.
náseij, násei'	Plano, nivelado.
nasen'je'	Nivelar.
na'sis	Satisfecho de comer.
nashaj	Tijera.
nashatuqui	Poner tijeras de la casa.
nashja'	Andar, pasear, cazar.
nájshushu	Lancero (insecto grande que vuela).
nataquis -quity	Vehículo, canoa para pasear.
nạ́te	Enterrarlo.
nati, nashja'	Andar, pasear, viajar, cazar.
natsacje'	Tumbar, cortar todo, dejar limpio.
na'tsaij -tsai'	Tendido en el suelo (tela, cuero).
natsyedyety - taquityi	Sábana.
natsje', natstaqui	Tender en el suelo, cama.
nav'je'	Desparramar.
na'vaij -vai'	Tener en cantidad.
nạyenje'	Nivelar, acomodar.
nạyejya'	En el espacio.
nayi'vaqui	Matar varios animales que es propio de uno.
nejneyi'	Llanto de animal.
nem	Lengua.
ne'maqui	Tener contacto sexual.
ni'bacdyes	Bola.
ni'baquity	Blando (arco resorte).
ni'yi'	Ablandar.
ni'joij	Ablandar, debilitar.
nipjeyaqui, ni'baqui	Tirar con honda.
niptaqui	Marcar línea.
nọ'aijtyi'	Gato gris.
no'bedye'	Cansancio.
nọbi	Cruzar.
nọpja'	Crucemos en el rio.
no'bi	Cansarse.
no'bis	Cansancio.
nocje'	Que mata de un golpear, o con bala, etc.
nóco	Vía láctea (constelación).
noĉo'ĉoij	Alguien que viene abrazado con su pareja.
noĉo'ĉoyeja'	Abrazado con la pareja.
nochnochyij-yi"	Que camina rengo.
nochje'	Alargar.
noc̣ho'c̣hoi', noc̣ho'c̣hoij	Temblando de miedo o de enfermedad.
noc̣ho'c̣hoyequi	Temblar por miedo.
noc̣hodye'	Vuelta del río.
noc̣hojc̣hos	Bahía.
nofje'	Golpea, el sonido de golpear.
noijririj	Gallina coto pelado.
noi'yi	Asustado, con miedo.
noi'yedye'	Miedo.
nojno	Mañana, al día siguiente.
nojnoĉanya'	Pasado mañana.
nojnodyety	Hasta mañana.
no'nirij	Vagabundo.
nono'	Mamá, madre.
nopdyety, nopdyes	Canoa, puente para cruzar.
nopej	En la banda.
noq̂uen'je'	Abraza.
noq̂uen'yi	Abrazar.
nọ́te	Atajar, detener.
noriaj	Noria.
notacdye'	Ayuda, apoyo.
nọ́taqui	Que ayuda.
nótaquity	Ayudante.
nọ́tyetaqui	Ayudar (por una dificultad), defender de dificultad.
nuca'je'	Mojar.
nuca'joij	Mojarse.
nu'caij	Mojado.
nụi'je'	Moler por máquina, pulverizar, hacer jachi de algo.
núnum'	Luciérnaga.
nụyaqui	Pulverizar.
nä'nä'je'	Chicotear, guasquear (leng. fam.).
näräc tyeij	Correr, ir a carrera.
närä'yi	Zapatear.
närä'naqui, närä'ñe'	Zapatear, en espiritismo, etc.
närä' närä'	Correr.
ñecjeyaqui	Amarrar, colgar con un cordón (cuerda) (como una cruz o algo sobre el cuello).
ñe'ij	Convulsión, tener ataque.
ñeijje'	Romper.
ñej	Huasu, venado.
ñejñe	Palo, puñera.
ñe're	Sapo que canta en el tiempo de llenura del rio.
ñéta'	León, puma.
ñịbe', ñịbety, ñịbes	Pobre, sufrido.
ñịbe' bä'yi	Vivir sufriendo, pobre.
ñịbe' cạve'	Sufrir de algo.
ñịbe' ĉọ́qui	Tener lástima de, paciencia de algo.
ñịbe' jị'cavaqui	Hacer sufrir algún familiar.
ñịbe'beij, ñịbe'beyeja'	Sufrir persona que de alguna enfermedad.
ñịbe'betacdye'	Regalo.
ñịbe'betaqui	Tener suerte.
ñịbedye'	Sufrimiento, pobreza.
ñịbedyes	Sufrimiento.
ñị'beij jäm'	Persona flaca, débil.
ñịbe'jeyaqui	Regalar, salvar, tener lástima, favorecer.
ñịbe'jeyacsity	Salvador.
ñịbe'jisin'tyi'	Nuestro salvador.
ñịbe'jitidye'	Favor.
ñịbe'jitidyes	Perdón, favor.
ñịbe'yedye'	Regalo, premio.
ñibe'yedyes	Para regalar.
ñịbe'yi	Regala.
ñịbe'tacdye'	Sufrimiento por castigo.
ñịbe'taqui	Maltratar, molestar, sufrir persecución.
ñịbe'tum	Con sufrimiento, con dificultad.
ñictiij, ñictii'	Flaco, delgado o delgada.
ñinaqui, ñiñe'	Criticar, hablar en contra.
ñitsche'	Arriba en el río.
ñitsedye'	Arribada.
ñịtsi, ñịtseja'	Arribar.
ñitsi'	Filtrar, gotear, entrarle agua.
ñi'tsi	Cazar por un día.
ñịtsje'	Ganarle la delantera a un animal.
ñucchuqui	No dejar salir, proteger, impedir.
ñucchuquis	Tapa, división, impedimento.
ñucjeĉúnaqui	Defenderse, desviar un golpe, proteger de.
ñucac	División (cuarto o patio de casa), entre dos lugares.
ñucjeyaqui	Prohibir, parar, cerrar.
ñucñiti	Moverse, brincar el feto.
ñuctacdye'	Cuarto, cerco, división.
ñuctaqui	Impedir, trancar.
ñuctyi'	Vena, tendón.
ñucyetŝọij	Bloquear, tapar, algo cae que tapa.
ñucyi, ñucje'	Apoyar, recostarse.
ñụi'je'	Errar, no lograr.
ñujcuij, ñujcui'	Encerrar (patio).
ñujcus, ñujcuty	Lugar encerrado.
ñujdye'	Sobrina.
ñụjtsujtsus, ñụjtsujtsuty	Impedimento, barrera.
ñun	Atajar, detener.
ñuru'nacdye'	Marcha.
ñuren', ñuru'	Grupo, reunidos, grupo en la tribu.
ñuren'je'	Ir en el grupo.
ñuryi	Juntarse para reunir.
ñuru' tyeij	Reunirse, juntar, venir a reunirse.
ñuru'je'	Tener, obtener muchos.
ñurujrui' - rus	Árbol enredado de bejucos.
ñuru'ruij	ir o venir en grupo.
ñurva'ti'	Lluvia fuerte.
ñusdyety	Sobrino.
ñúteij	Rayada, con franja.
ñútetety, ñútetes	Rayada, con rayas verticales.
ñúti'	Detenme.
ñutin'ñutin'sis	Rayada.
ñutu'je'	Amarrar por la cintura, en medio.
ñutu'tacdye'	Cinturón.
ñutu'ti	Ponerse cinturón.
ñutschuqui	Que defiende, protege.
ñutsjeĉúñe'	Acosar.
ñutsje'	Defender, respetar.
ñutsjetacsity	Protector, defensor.
ñutsjeyaqui	Atajar, defender, proteger.
ñutsen'je'	Cruzar una línea recta.
ñutstaqui	Envenenar (pescado, gente).
ñutstyi	Barbasquear, envenenar pescado.
ñútyin	Ayudar en algo.
ñuv'	Traspasar, pinchar.
ñäbdye'	Hinchazón, puchichi.
ñäbdyi'	Infectar, llega enfermedad contagiosa.
ñäbi, ñäpja'	Hinchar, tener puchichi.
ñäcrä'je'	Desnudarse, estar desnudo.
ñäcräjräi'tyij- tyi'	1. Casa sin techo 2. Sin ropa.
ñäcräjräs	Armazón de casa, con todos los palos menos las hojas (del techo).
ñam'dyi	Cruzar, de un árbol a otro.
ñäñisin'	Nos critica.
ñäñitidye'	Crítica, odio, desprecio.
ñäpje'	Termina, que usa todo.
ñävä'	Camijeta.
ñä'väij	Puesto con la camijeta.
ñäväjväij	Cabelludo, puesto con la camijeta.
ọ́ĉan	Aquí adentro.
ọ́che'	Aquí encima.
ọ́ve	Aquí al otro lado.
ọ́ya'	Aquí está.
oba'	Árbol, toborochi.
obadye'	Mes de mayo.
obota	Bolsa.
o'boyo'	Lechuza, búho.
ọc	Suciedad, olor del cuerpo, ropa.
ọcamyi	Perder la vista.
ọ́ĉan	Aquí adentro.
ọĉan	Debajo.
ọĉanya'	Por de bajo.
ococo	Rana, sapo.
oconạ	Clase de piedra, lugar del río Maniquí arriba.
ọctuij	Olfatear, seguir senda de algo por el olor.
ọ́che'	Arriba, encima de.
ọ́cheya'	Más arriba.
oc̣ho'	Mucho.
oc̣hodye'	Enojo violento.
odo'	Marimono.
ofjeyaqui	Golpear, patear.
oi'	Tojo (ave).
ọij, ọ́yi	Esta, esa.
ojdo	Tujuju.
oji'na	Galápago, peta del agua.
ojñi'	Agua.
ojtere'	Gallo.
ọjtocoj	Araña, sama.
ojtyi'sha	Véase.
vajac	Burro (gusano).
o'me	Cogollo, retoño.
onọjnodye'	Sombra, alma, espíritu.
onomsi'	Sombra.
onom'ĉan	Debajo de la sombra.
ọñej ọñej	Pájaro de mal ohuero.
ọ'ojpona	Hombre mitológico, marido de úju.
ọ'oyo	Oso hormiguero.
ọpaj	Mutún.
o'pito'	Arco iris.
o'pitoij	Embrujado por el arco iris.
opoj	Personaje mitológico.
opopoty	Molleja.
opos pe're	Planta parecido a plátano.
ọqui'	Se ensucia.
ọquity, ọquis	Oxidado, manchado, sucio.
óra	Hora, tiempo de día.
óricoj	Calambre.
óricoij	Tener calambre.
ọ́ris	Maúri.
ororona'	Árbol blanda (papayo).
ọ́rota'	Estrella, luz eléctrica (foco).
ọ́rotaty	Planta eléctrica.
oshno'joij	En cegar algo de la vista (no de todo), perder la visión (con edad).
o'sho'	Ropa (mosetén).
otej, otejyi	Lástima, sentir lástima de, pesarle.
otejjiti', otejjitiĉa'	Apreciarse, valerse, quererse.
óto'	Capiguara.
ọto'	Mosquito.
ọ'to'	Paloma.
ọtodye'	Tiempo de mosquitos.
ótodye'	Pintonea una fruta.
ótoi', ótoyeban'	Pintonea la fruta de plátano.
ọtoij, ọtoyeja'	Picado por los mosquitos.
ọtyire	Primo hermano, socio.
óva	Uva.
ọ́vemun	Ambos lados.
oveca	Oveja.
ọ́ya'	Aquí está.
óya	Lombriz (de estómago, tierra).
ọ́ya' qui'	Mucho, grande en ciertos contextos.
ọ́yas	La que estaba aquí.
ọya'ya'je', uya'ya'je'	Rebajar precio.
ọya'yai', uya'ya'ij	Disminución de capacidad o fuerza.
o'yi	Yuca.
oyo'	Ombligo.
ọyoj	Mono silbador.
ọyosiij, ọyosii', ọyosiyeja'	Dañinear.
paca'caij- cai'	Fresquito.
paca'caijtyi'	Ventilador (eléctrica).
pacajje'	Aliviar.
pacajyis	Refrescante.
pacajyejoi'	Refrescar.
pacajyi	Refrescarse, sentir mejor, aliviar.
pacaqui	Clavar.
pa'caqui	Golpear con palo, etc.
pacjeyaqui	Plantar horcón, palo o golpear.
pactacdye'	Herido o hueco hecho por clavo.
pactaqui	Clavar, plantar poste.
pac̣hir'	Arrugar.
parchii', parchis, parchity	Arrugado.
pachjajiti, pachyi	Picar (insecto).
pachje'	Encender, prender fuego o motor.
pachtaqui	Encender (fuego).
pá'e	Cura, párroco.
pafa'faij	Dolerse de los huesos.
pafera	Fósforo.
pai', pai'pai'	Desparramado, separados, en distintas partes.
pai'je', pai'yi, pai'joij, pai'joi'	Desparramar, tender para que seque, ir a todas partes.
paijra	Paila.
pai'tye'	Desparrama.
pai'tyeja'	Desparramamos cosas, ir a todas partes.
pai'yij - yi'	Desparrama.
paj mọ'ya', paj mu'ya'	Que se quede, déjelo.
pajajje'	Sonido de disparo de un arma.
paja'jaij	Dolor del cuerpo, arder de fiebre.
pajjete	Pegar, golpear con las nos.
pajnaqui, pajñe'	Golpear (algodón, caña).
pajñe'	Envolver, arrollar.
pajquity	Mosquito, puguilla.
pajraij, pajraja', pajrejoij	Tener enfermedad de piel, piel áspera o escabrosa.
pajraty -ras	Áspero, áspera.
pam'	Temprano.
pam'mundye	Toda la mañana.
pam'dye	Bien temprano (en la mañana).
pam'je'	Comer, tragar rápido.
pam've	Por la mañana, este (dirección).
panaqui	Envolver, liar.
panjeyaqui	Envolver, enroscar, estrangular.
pantaqui	Envolver, vendar.
panyi	Envolver, liar.
pa'ñe	Bi, árbol.
pañeij	Vendado, liado.
pañejñeij	Estar vendado, enroscado, liado.
pañero	Pañuelo.
paper	Papel, cuaderno, libro.
parajnaqui, parajñe'	Hacer una cosa de madera no bien terminado, como canoa mal labrado.
parasje'	Errar, escapar.
para'saqui	Que no acierta.
parchir'je'	Arrugar algo.
parchijyi	Arrugarse la cara.
pạrej	Separado.
pạrej bu'yi	Apartado, en secreto, privadamente.
pạrejdye	Separado.
pạrejje'	Separarlo, apartar.
pạrejtaqui	Separar.
pạrejti	Separarse, separado.
pạrejve	En otro lugar.
pạrejveya'dye	A un lado, no directo.
parta	Palta.
pasmun	Pasarse pero casi chocando.
pa'sa'	Retoño de plátano.
pási	Cedazo, umpé.
pasje'	Encender fósforo.
pastaqui	Encender fósforo.
pasha'ra	Caracha.
pasha'raij	Tener carachas.
páshejshei'	Barranco alto.
páshesheij	Precipicio, brillante.
páshety, páshes	Brillante, blanco.
pashyi	Reflejar, brillar.
patstaqui, patstye'	Servir comida.
pato	Pato.
pats	Servido.
patssis, patstyity	Con manchas.
patsa'cac	Desecho.
patsa'caqui	Quebragear, machucar.
patsacdye'	Basura.
patsacje'	Machucar, destrozar.
pa'tsaqui	Hacer pared de barro o servir comida.
pạ́tsi're	Pegapega.
patsjeyaqui	Enlodar, regar con barro.
patstaqui	Servir comida.
pa'tyi'	Uña, garra.
pavaj	Ala.
pavajĉhes pan	Plumas de las alas.
páya	Patujú, bajura.
payaso	Payaso, mágico.
payi	Comentarios que llegan a todas partes.
pecajracdye'	Idioma castellano.
pecajraqui	Hablar en castellano.
pecaryi	Saber hablar castellano.
pecseij, pecsei'	Estar de color negro o moreno, quemado del sol.
pecsety, pecses	Persona de color negro, moreno.
pech	Tronco de árbol, cola de canoa.
pechĉan	Estar por debajo.
pechĉantyi'	Justán, ropa interior.
pechi	Hundir.
pechtaqui	Le hundió alguna cosa en el agua.
pe'ii -i'	Turbio, espeso, espesa.
pei'je'	Colar, prender.
pe'is, pe'ity	Nombre de un arroyo.
pei'taqui	Parchear, prender, colar.
pei'taquis	Parche (para cámara o blader de pelota), pegante.
peje'jeij	Sonido del motor de la moto cuando viene.
peje'jei'tyi	Trabajando con la motosierra.
pejje'	Acelerar algún motor.
pe'maqui	Apedazar.
pem'je'	Sacar un pedazo.
pem'tye'	Partir (leña, madera, etc.).
pen'	Un solo lado.
pen' tyeij	Costear, ir por el barranco del río.
pen'dye'	Compañero, amigo.
pen'dyeij	Ser acompañado.
pen'dyetuqui	Acompañar.
penej	Balsa, callapo.
peneij	Conducir canoa, callapo.
peneij	Hacer canoa.
pen'je'	Poner a un lado.
pentaqui	Que va disminuyendo de fuerza de algún familiar cuando esta enfermo o morir de enfermedad.
penva'joij	Agonizando.
peñeti	Vino a perder el juego o perder una apuesta.
penja'	Perdimos.
pen'dye'	Derrota, amigo.
pépen'	Tigre, nombre mitológico.
pe're	Plátano.
perota	Pelota.
perotaij	Jugar fútbol.
pétsi	Peine.
pe'yaqui	Remendar, parchear.
pichyi	Arder.
pichon'	Hacer pico.
piji'	Plato, vasija.
pijjeyaqui	Huasquear.
pịjpitsa'	Clase de pájaro de color negro.
pijrity- ris	Bien flaco o flaca.
pijririty, pijriris	Delgado.
pịñẹj	Tucancillo de tira roja.
pịñidye'	Remedio, medicina.
pịñiij	Curar, dar remedio.
pịñitui'	Curar con remedio.
pị'pidye'	Raya grande, redondo sin puga.
píqui	Nigua.
píra	Pila.
pirij	Greda, tierra para hacer cántaro.
pirim' pirim'	(idiomático) Saber, aprender un poco a hablar algún idioma.
pirisyi	Tronar fuerte.
pisimi	Urina.
pisje'	Pasar casi topándolo.
pishta	Pista.
pish	Peto.
pịsheij, pịshei'	Claro, con brillo, reflejante.
pishva	Surubí.
pise're	Fruta silvestre.
píti	Ceniza que utilizan para mascar coca, la tapa de la fruta de motacú.
pịtsi'caqui	Destrozar, hacer pedazos.
pitsicje'	Quebrar, destrozar.
pitsuij, pitsui'	Disolver, deshacerse.
pị'tsuij, pị'tsui'	Blando.
piyiyirej	Bato.
piyuyu'	Garza.
poco'	Penga.
po'coi'ya'	Bifurcación de río o camino.
poc̣haqui	Sacar un poco (lo que entra en la mano).
poc̣hen'je'	Sacar, separar poco alguna cosa u objeto.
poc̣hen'yi	Unirse, congregarse.
poc̣hoc	Puñado de arroz, etc.
poc̣hocje'	Arañar, escarbar, agarrar un puñado de algo.
poc̣hoctuqui	Arañar, intentar subir.
poc̣ho'ya'	Puchuya (lugar sobre el río Maniquí) al lado de una isla.
pofpofje'	Golpearla, sonido de golpear.
pófi	Papaya.
poijjoij	Disolver, derretirse.
pojqui	Hormiga negra.
pojroi'tyi	Con muchas piedras.
pom'je'	Quebrar, desportillar.
pom'jeyaqui	Desportillar una cosa que es de uno.
po'nacdye'	Chicha de plátanos, yuca.
po'naqui, po'ñe'	Hacer chicha o refresco.
ponoj	Bombo de barro especial de brujo.
po'po	Clase de guineo.
pọpoj	Tobillo del pie.
po'rij	Trillas del tigre, gato, perro.
porisisi	Seboí, ave de color negro que come arroz, maíz.
porisiyaj	Guardia, policía.
porojma	Antiguo, pasado de hace mucho tiempo.
potsadye'	Viruela.
potsadyeij	Tener viruela o lepra.
potsin'je', potsi'ñe'	Agarrar, pellizcar.
potsin'tacdye'	Punilla de casa.
potsin'taqui	Poner punilla a la casa.
po'tso'	Greda especial para cántaros.
prestaij	Prestar, dar prestado.
prestajjetaqui	Prestar algún objeto o cosa.
prestajjeyacsi	Prestar, dar en prestado.
prestajjeyaqui	Dar en prestado.
pucmun	Seguido, cada rato.
pufeij, pufei'	Olear, tener olas.
pufej	Ola.
pufu'fuij	Andar agachado, vagar.
pufu'naqui	Andar agachado.
pufu'nacva'joij	Tener relaciones sexuales con una mujer.
pụi'jeyaqui	Pulverizar, moler (café, chocolate).
puijnui'	Muy maduro.
pụ'je'	Besar.
pum'jeyaqui	Masticar fruta del monte.
pumsui', pumsuij	Con punto redondo.
pum'taqui	Morder, matar piojo con dientes.
pumu'yi	No saludar, no contestar (cuando uno le habla).
pụna	Ayllu, nombre de pez.
punchu	Colcha, frazada, manta.
punichyi	Paralizar, inmovilizar brazo, mano.
puñipu'	Cera para colar columna de la flecha.
pụñuj	Cántaro.
pupujri'	León.
puptaqui, pupte, pupti	Lavar ropa.
pur'chiij	Arrugado.
pururu	Escopeta, trueno.
pururu	Tucura palo (insecto de color café obscuro).
pụ'sacva'joij	Besando.
púshin'	Gusano de tabaco.
putu'tuij	Llevar en la mano algún objeto.
pútyi, pútyi'	Sanarse, alivia del dolor.
putyuij-i'	Adormecido, con anestesia.
pä'	Sonido de golpe.
pä'cäij	Puesto, echado de espalda.
päcä'	Volcado.
päcä' bu'yi	Echado de espalda.
päcä'je'	Volcar, poner de espalda.
päfräij	Tener ronchas en el cuerpo.
pä'je'	Pegar, golpear, topar.
pä'jisity	Nos golpeó.
päjsäi'	Bien tejido, apretado.
päm'yi	Mudo, no poder hablar.
päpäj	Tío, marido de hermana de la madre.
päquen'je'	Volcar, poner de espalda.
päquetyyi'	Mujer que se echa de espalda.
pärä'	Dos.
pä'räij	Estar juntos.
päräjräij	Estar solos dos personas.
päräjräij	Dos personas que andan juntos.
pären'	Ambos, par.
pä'sijque'	Tumbar, echar abajo.
pä'shä	Japutamo.
pävnäij	Calvo, sin cabello.
pä'yetŝọij	Sonido de caer.
p̂ạĉan	Tumbar monte después de rozar para chaco.
p̂ạcdye'	El lugar donde se tumba el monte.
p̂acraij	Con canas.
p̂acren'yi	Envejecer, tener canas.
p̂acsi'	Tumbado (palo).
p̂ại'	Tumbar árbol.
p̂ai'joij	Entrar o salir de un vehículo.
p̂ai'tye' -te	Brincarle, subir en vehículo, canoa, etc.
p̂an	Pluma, ala de insecto.
p̂anacdye'	Tejido.
p̂anaqui	Tejer, techar.
p̂an'dye'	Crecimiento.
p̂antaqui	Estar ausente mientras el hijo crece.
p̂añeyaqui	Tejer, techar casa para alguien.
p̂añi	Crecer.
p̂áp̂an'	Escama de pez.
p̂ạqui, p̂ạjquiqui	Ir a tumbar árbol, mont.
p̂aquidye'	Hacha.
p̂ash, p̂ashsi'	Fermentado, fuerte.
p̂ashi'	Fermentarse.
p̂ashi'shiij	Dolor del estomago, acidez.
p̂irishyi	Tener diarrea.
p̂eijte	Hablar de (bueno o mal), criticar, oponer.
p̂ej	Patio, canchón.
p̂e'je'	Abrir, extender.
p̂en	Mujer, esposa, hembra.
p̂endyes	Prometida, novia.
p̂entudye'	Adulterio.
p̂entui'	Casarse con una mujer.
p̂etaijje', p̂etaij tŝọij	Destruir, quebrar, volverse polvo.
p̂etajyaqui, p̂etajyeja'	Quebrar, destrozar.
p̂eyacdye'	Palabra, conversación.
p̂eyacdye'ĉan	Ser pedido en matrimonio, comprometido.
p̂eyacdyes	Radio de comunicación.
p̂eyacdye'tumtyi', -si'	Él que habla su idioma, él que lleva la palabra.
p̂eyaqui	Hablar, decir, confesar.
p̂eyeja	Le hablamos.
p̂eyaquity jen'tyi'	Profeta de Dios.
p̂eye' juchaj, p̂eyeja' juchaj	Confesar pecado.
p̂eye' paper, p̂eyeja' paper	Leer libros.
p̂ịj	Cola de pescado, ave, avión.
p̂ịjcu'shi	Pez, blanquillo.
p̂iqui	Correr.
p̂isijsis	Choza.
p̂isijsiquen	Varias chozas.
p̂isi'naqui	Refugio, hacer choza.
p̂isnacdye'	Cigarrillo.
p̂isnaqui	Fumar cigarrillo.
p̂isñe'	Que fuma cigarro.
p̂o'c̣haqui	Inyectar, zunchar con jeringa.
p̂oc̣hp̂oc̣hyi	Espinoso (ropa que molesta uno).
p̂oc̣hi'chiijtyi'	Cilicio, ropa áspera.
p̂ochjeyaqui, p̂o'c̣haqui	Inyectar, dar puñaladas.
p̂oc̣ho'	Amarre de la bolsa.
p̂oc̣htaqui	Inyectar, plantar poste, pinchar, punzar.
p̂oc̣htacdye'	Herido puñalada, inyección.
p̂oc̣htaquis	Jeringa.
p̂odo'doij	Salir, aparecer muchos (personas e hormigas).
p̂ọi'shoty-shos	Con boca pequeña (ratones, jochi).
p̂ojqui'	Hervir, burbujear.
p̂on'dye'	Llamada, canto, sonido.
p̂on'dyedye'	Tiempo que brama el tigre o canto de los animales.
p̂oñi	Cantar (ave), gruñir, bramar, cacarear.
p̂oquedye'	Olor.
p̂oqui	Huele (bueno o mal), huele feo.
p̂ọ'qui'	Burbujear, hervir a un punto muy alto.
p̂otso'vi	Horcón, poste.
p̂oyajje'	Agua lleva con fuerza.
p̂oyajnaqui'	Remolino de agua (río).
p̂ucruij	Con canas, pelo blanco.
p̂ucu'shaqui	Retorcerse, mover.
p̂ucushjeyaqui	Mover arbusto, gajo, viento, etc.
p̂ucushyi	Ramas del árbol que se mueven por el viento.
p̂uc̣hi'	Racimo, tripa entera con estómago.
p̂uc̣hic̣hiyeban	Venir o ir con cama.
p̂uc̣hi'je'	Poner un lugar el racimo de plátano.
p̂uc̣hin'jeyaqui	Cargar cama para viajar.
p̂uc̣hin'joij, p̂uc̣hi'joij	Enredado, estómago con calambre.
p̂uc̣hi'riti	Enredado.
p̂uc̣hir'je'	Arrugar.
p̂uc̣hir'joij	Arrugarse.
p̂udaijje'	Quemar algo.
p̂udaij jii'taqui	Quemar de todo lo que tenía.
p̂udi'	Agachado.
p̂udu'dus	Neblina, llovizna.
p̂udu'dui'	Con neblina, llovizna, anublado, en el aire con humo.
p̂uduj	Rápido, levantar polvo o humo.
p̂udujquedye'	Polvo.
p̂udujqui	Hacer polvo, humo.
p̂udujqui'	Ventear del sur.
p̂údyei'tyi, p̂údyei'tyi'	Caliente, muy caliente.
p̂údyei'tyi' yụ'tye'	Lo hizo bien caliente (el horno, fierro, etc.).
p̂údyes	Rojo, color del fuego.
p̂ụ'dyuij	Tarde, cuando se entra el sol.
p̂ui'dity-dis	Torcido, doblado (persona u otra cosa).
p̂uijdai'	Polvoriento, playa, seca, etc.
p̂uijdastyi, p̂uijdastyi'	Comer polvo (tierra, cosas polvorientas, chivé).
p̂ujje'	Soplar.
p̂ujp̂ujyi	Palpitar mucho, con lengua afuera de cansancio.
p̂ujnaqui, p̂ujñe'	Soplar el fuego.
p̂uj	Soplar.
p̂ujnaqui	Soplando.
p̂ujñe'	Soplar algo.
p̂ujsi'	Verde (solo plátanos).
p̂ujtaqui	Inflar, soplar algún instrumento musical.
p̂ujtaquis	Bomba de inflar, inflador.
p̂um'	Metido en algo.
p̂u'maij	Debajo, metido en la basura, paja, monte tupido.
p̂uman'je'	Meter algún objeto por debajo de la arena o cualquier otra cosa.
p̂umucje'	Poner debajo de algo.
p̂un'chii'	Equipaje acomodada listo para el viaje.
p̂un'joij	Caerse de raíz, desarraigar.
p̂ur'	Tapado, cubierto con colcha.
p̂ur'ĉhuqui	Taparlo (con manta).
p̂ụra'	Caballo.
p̂urdye'	Maduración.
p̂ụr'dye'	Pelo blanco, cana.
p̂ure'daraj	Término de decir a la mujer/esposa (en chiste).
p̂urej	Viejo. Maduro.
p̂urety -res	Viejo, adulto, planta madura, querida, "vieja" (palabra de cariño a la esposa).
p̂uri	Envejecer, madurar.
p̂ur'jiti	Taparse con manta (colcha).
p̂ur'tyity	Sábana, colcha, manta.
p̂uru'naqui	Trabajar de brujería, tapándose con algo.
p̂usaijje'	Champarla en el agua alguna cosa, meter en líquido.
p̂uru'naquity	Brujo.
p̂u'suij	Estar con cabello largo, sin cortar.
p̂u'suty	Persona con cabello largo.
p̂usujsus	Choza, casa pequeña.
p̂u'shaqui	Soplar (de brujería).
p̂ushjeyaqui	Soplarle, forzar, apretar, maldecir (con soplar).
p̂uti, p̂uteja', p̂utja'	Ahogarse.
p̂utscu' bu'yi	Asentado.
p̂utscuij	Estar sentado.
p̂utsquen'je'	Que lo hace sentarse.
p̂utsquen'ti	Sentarse, sentarse con cuidado cuando se está enfermo.
p̂uyaj	Embriagado.
