
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
ayqiy	<span fgcolor="#228B22">(r).</span> Pimantapas, sasamantapas lluptiy. <span fgcolor="#ff0000">Escapar, huir.</span>\n<span fgcolor="#a403fb">- Yachay wasimantaqa manam ayqinachu.</span>\n<span fgcolor="#0000ff">- No se debe escapar de la escuela.</span>
aysay	<span fgcolor="#228B22">(r).</span> Makiwan imapas watuyuqta apay. <span fgcolor="#ff0000">Llevar con la mano.</span>\n<span fgcolor="#a403fb">- Warma unkunawan yakuta aysan.</span>\n<span fgcolor="#0000ff">- El niño lleva agua en balde.</span>
aysakuy	<span fgcolor="#228B22">(r).</span> Chakiwan makiwan pampanta lluqaykachakuy. Makiwan sikiwan pampanta suchuy. <span fgcolor="#ff0000">Arrastrarse, reptar.</span>\n<span fgcolor="#a403fb">- Wawahina aysakuchkan.</span>\n<span fgcolor="#0000ff">- Está reptando como el bebé.</span>
aywiy	<span fgcolor="#228B22">(r).</span> Yakuwan imatapas chuyachay. <span fgcolor="#ff0000">Enjuagar.</span>\n<span fgcolor="#a403fb">- Makiykita aywiy</span>\n<span fgcolor="#0000ff">- Enjuágate las manos.</span>
chachas	<span fgcolor="#228B22">(s).</span> Ñutuniraq ruyru rapiyuq sacha. Anaq puka kulluyuq sacha; chiri allpakunapi wiñaq. Huk llaqtakunapiqa chachakuma sutiwan riqsinkutaqmi. <span fgcolor="#ff0000">Chachacoma.</span>\n<span fgcolor="#a403fb">- Chachas sachamanta killimsata ruranku.</span>\n<span fgcolor="#0000ff">- De la chachacoma hacen el carbón.</span>
chaka	<span fgcolor="#228B22">(s).</span> Yaku chimpanapaq rurasqa ñan. <span fgcolor="#ff0000">Puente.</span>\n<span fgcolor="#a403fb">- Llumpayta paraptinqa chakantam mayuta chimpana.</span>\n<span fgcolor="#0000ff">- Cuando hay mucha lluvia, el río debe cruzarse por el puente.</span>
chakana	<span fgcolor="#228B22">(s).</span> Iskay siqiwan utaq iskay kaspiwan (huknin sayanpa, huknin kinranpa) huñusqa. <span fgcolor="#ff0000">Cruz.</span>\n<span fgcolor="#a403fb">- Chakatata qillqasun.</span>\n<span fgcolor="#0000ff">- Tracemos una cruz.</span>
chakatay	<b>1.</b> <span fgcolor="#228B22">(r).</span> Pitapas chakatatahina churay.<span fgcolor="#ff0000"> Cruzar, atravesar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Kunkapi imapas chakatakuptin mana samay atiy. Hiqipay. <span fgcolor="#ff0000">Atorar, ahogar.</span>\n<span fgcolor="#a403fb">1. Kaspiwan yarqata chakatay.</span>\n<span fgcolor="#0000ff">- Atraviesa con la madera la acequia.</span>\n<span fgcolor="#a403fb">2. Aychawan chakatakurquspa yaqalla wañun.</span>\n<span fgcolor="#0000ff">- Casi muere atragantándose con la carne.</span>
chaki	<b>1.</b> <span fgcolor="#228B22">(s).</span> Sayananapaq utaq purinapaqpas runapa kaqnin.<span fgcolor="#ff0000"> Pie.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Mana yakuyuq. <span fgcolor="#ff0000">Seco.</span>\n<span fgcolor="#a403fb">1. Chakiy nanawachkan.</span>\n<span fgcolor="#0000ff">- Me está doliendo el pie.</span>\n<span fgcolor="#a403fb">2. Chaki allpapiqa manam kawsay wiñanchu.</span>\n<span fgcolor="#0000ff">- Las semillas no germinan en tierra seca.</span>
chakmay	<span fgcolor="#228B22">(r).</span> Champata pikuwan ima llamkanawanpas tikray, chakra ruray. <span fgcolor="#ff0000">Roturar, barbechar, voltear la grama.</span>\n<span fgcolor="#a403fb">- Yachay wasi chakranchikta chakmasun.</span>\n<span fgcolor="#0000ff">- Vamos a roturar la chacra de la escuela.</span>
chakra	<b>1.</b> <span fgcolor="#228B22">(s).</span> Kawsaykuna tarpukunapaq allpa. <span fgcolor="#ff0000">Chacra de cultivo.</span>\n<span fgcolor="#a403fb">- Chakra yapuq hakuchik.</span>\n<span fgcolor="#0000ff">- Vayamos a arar la chacra.</span>
chakuy	<span fgcolor="#228B22">(r).</span> Uywatapas, urutapas, pisqutapas qatikachaspa hapiy. <span fgcolor="#ff0000">Cazar.</span>\n<span fgcolor="#a403fb">- Sapa wata wikuñata chakunku.</span>\n<span fgcolor="#0000ff">- Todos los años cazan a las vicuñas.</span>
chala	<span fgcolor="#228B22">(s).</span> Hatun mama qucha hichpanpi rupaq allpakuna. <span fgcolor="#ff0000">Costa.</span>\n<span fgcolor="#a403fb">- Lima llaqtaqa chalapim kachkan.</span>\n<span fgcolor="#0000ff">- La ciudad de Lima está en la costa.</span>
chalay	<span fgcolor="#228B22">(r).</span> Runapura imapas qunakuy. Llankikuy. <span fgcolor="#ff0000">Trocar, cambiar.</span>\n<span fgcolor="#a403fb">- Kuchiykita chitaywan chalasun.</span>\n<span fgcolor="#0000ff">- Cambiaremos tu chancho con mi oveja.</span>
challwa	<span fgcolor="#228B22">(s).</span> Yakupi kawsaq, lluchka ukuyuq, rikrankunallawan kuyuq, miski aychayuq mikuna mayu uru. <span fgcolor="#ff0000">Pez.</span>\n<span fgcolor="#a403fb">- Challwa aychaqa miskillañam.</span>\n<span fgcolor="#0000ff">- La carne del pescado es riquísima.</span>
challway	<span fgcolor="#228B22">(r).</span> Challwa hapiy, challwa challpay utaq chakuy. <span fgcolor="#ff0000">Pescar.</span>\n<span fgcolor="#a403fb">- Wak mayupi challwakamusun.</span>\n<span fgcolor="#0000ff">- Vamos a pescar a ese río.</span>
champa	<span fgcolor="#228B22">(s).</span> Allpapi kipusqa qiwakuna. <span fgcolor="#ff0000">Césped.</span>\n<span fgcolor="#a403fb">- Champata tikrasun.</span>\n<span fgcolor="#0000ff">- Volteemos el césped.</span>
champi	<span fgcolor="#228B22">(r).</span> Qillamanta rurasqa, sacha utaq imapas takana. <span fgcolor="#ff0000">Hacha.</span>\n<span fgcolor="#a403fb">- Kay champiwan sachata takasun, hinaspa yantasun.</span>\n<span fgcolor="#0000ff">- Cortemos el árbol con esta hacha, luego trocemos leñas.</span>
chamqay	<span fgcolor="#228B22">(r).</span> Imatapas makiwan chuqay. <span fgcolor="#ff0000">Lanzar.</span>\n<span fgcolor="#a403fb">- Kurpatam chamqarqamuwan.</span>\n<span fgcolor="#0000ff">- Me lanzó un terrón.</span>
chanin	<span fgcolor="#228B22">(s).</span> Imapas maychika kallpawan llamkasqa, hayka sasawan tarisqa. <span fgcolor="#ff0000">Valor, precio.</span>\n<span fgcolor="#a403fb">- Iskay sulismi kay lliklla sarapa chanin.</span>\n<span fgcolor="#0000ff">- El precio de esta manta de maíz es dos soles.</span>
chanikuy	<span fgcolor="#228B22">(r).</span> Aylluman qunapaq rakisqa mikuy. <span fgcolor="#ff0000">Sobrar o guardar comida para alguien.</span>\n<span fgcolor="#a403fb">- Wawaypaqmi chanikusaq.</span>\n<span fgcolor="#0000ff">- Esta comida la guardaré para mi hijo.</span>
chanka	<span fgcolor="#228B22">(s).</span> Siki chakamanta muqukama tullu aycha chayaq. <span fgcolor="#ff0000">Pierna, muslo.</span>\n<span fgcolor="#a403fb">- Kuchipa chankanpiqa manam llumpay wira kanchu.</span>\n<span fgcolor="#0000ff">- En las piernas del chancho no hay mucha grasa.</span>
chankay	<span fgcolor="#228B22">(r).</span> Imapapas hawanta ichiy. <span fgcolor="#ff0000">Paso largo.</span>\n<span fgcolor="#a403fb">- Kustalpa hawanta chankaykun.</span>\n<span fgcolor="#0000ff">- Pasó por encima del costal.</span>
chankaka	<span fgcolor="#228B22">(s).</span> Wirumanta, paqpamanta yakun timpusqa tikayaptin kurpasqa miski. <span fgcolor="#ff0000">Chancaca.</span>\n<span fgcolor="#a403fb">- Chankakawan miski miskitam apita ruranku.</span>\n<span fgcolor="#0000ff">- La mazamorra preparada con chancaca es mu agradable.</span>
chanrara	<span fgcolor="#228B22">(s).</span> Hiru chalankamanta rurasqa mana sunquyuq ruyru; uchkuchantam chanranyasqan uyarikun. <span fgcolor="#ff0000">Cascabel.</span>\n<span fgcolor="#a403fb">- Karnawal hamuchkanña chanrara rantikunapaq.</span>\n<span fgcolor="#0000ff">- Ya está llegando el carnaval para comprar cascabeles.</span>
chapra	<span fgcolor="#228B22">(s).</span> Sachapa llañu chaki yantankuna. <span fgcolor="#ff0000">Chamiza.</span>\n<span fgcolor="#a403fb">- Chapra yantawan ninata ratachinku.</span>\n<span fgcolor="#0000ff">- Encienden la candela con chamiza.</span>
chapuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Imakunapas kaypi chaypi llutanpi mastarquy.<span fgcolor="#ff0000"> Desordenar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Yakuwan aku hukllaway, qaquy. Masaray. <span fgcolor="#ff0000">Amasar.</span>\n<span fgcolor="#a403fb">1. Llapa pachantam piñakurquspa chapuparqun.</span>\n<span fgcolor="#0000ff">- Al molestarse desordenó toda su ropa.</span>\n<span fgcolor="#a403fb">2. Akuta tanta ruranapaq chapuy.</span>\n<span fgcolor="#0000ff">- Amasa la harina para hacer el pan.</span>
chaqipa	<span fgcolor="#228B22">(s).</span> Parwanpi taqi ruruq siwara kaqlla llaqi; rurunmantam tantapaq machkata kutanku. <span fgcolor="#ff0000">Trigo.</span>\n<span fgcolor="#a403fb">- Chaqipa rutuqmi taytay rin.</span>\n<span fgcolor="#0000ff">- Mi padre va a cortar el trigo.</span>
chaqla	<span fgcolor="#228B22">(s).</span> Imapas llaspay llaspay taqllasqa. Chapla. <span fgcolor="#ff0000">Aplanado.</span>\n<span fgcolor="#a403fb">- Chaqlay chaqlayta yurata sarurqun.</span>\n<span fgcolor="#0000ff">- Pisó la rama hasta aplanarse.</span>
chaqru	<span fgcolor="#228B22">(s).</span> Tukuy imakunapas hukllawasqa. Chaqwa, chapu. <span fgcolor="#ff0000">Mezclado.</span>\n<span fgcolor="#a403fb">- Amayá qichwa simita kastillanuwan chaqruychu.</span>\n<span fgcolor="#0000ff">- No mezcles la lengua quechua con el castellano.</span>
charanhu	<span fgcolor="#228B22">(s).</span> Uchuy hitaracha, pichqa hiru qaytuyuq, llañuchalla waqaq hitaracha. <span fgcolor="#ff0000">Charango.</span>\n<span fgcolor="#a403fb">- Amawtanchikqa charanhutam waqachin.</span>\n<span fgcolor="#0000ff">- Nuestro profesor toca el charango.</span>
charapa	<span fgcolor="#228B22">(s).</span> Amaruhina umayuq, allillamanta puriq, rumi wasa yunka uru. <span fgcolor="#ff0000">Tortuga.</span>\n<span fgcolor="#a403fb">- Charapa aychatas chunchukuna mikunku.</span>\n<span fgcolor="#0000ff">- Dice que los selváticos comen carne de tortuga.</span>
charpa	<span fgcolor="#228B22">(s).</span> Qachqa qachqa uyayuq imakuna. <span fgcolor="#ff0000">Aspero.</span>\n<span fgcolor="#a403fb">- Charpa maki llampuyananpaq limunwan llusiy.</span>\n<span fgcolor="#0000ff">- Para que la mano áspera se suavice, frótala con limón.</span>
chaska	<span fgcolor="#228B22">(s).</span> Pacha achikyaypi quyllurhina kancharispa rikukuq quyllur. <span fgcolor="#ff0000">Venus.</span>\n<span fgcolor="#a403fb">- Sapa punchawmi achikyamuptin chaskaqa qawakun.</span>\n<span fgcolor="#0000ff">- Todos los días al amanecer se ve el planeta Venus.</span>
chaskiy	<span fgcolor="#228B22">(r).</span> Ima qusqapas hapiy, aypariy; pipas anri niy. <span fgcolor="#ff0000">Recibir.</span>\n<span fgcolor="#a403fb">- Ñukñu timpu aywasqaytam chaskiwankichik.</span>\n<span fgcolor="#0000ff">- Tienen que recibir la leche hervida que les alcanzo.</span>
chapa	<span fgcolor="#228B22">(s).</span> Llinki aywina. <span fgcolor="#ff0000">Lavador de arcilla.</span>\n<span fgcolor="#a403fb">- Chapata allichasun.</span>\n<span fgcolor="#0000ff">- Arreglemos el lavador de arcilla.</span>
chatu	<span fgcolor="#228B22">(s).</span> Aqa allchanapaq, yaku apanapaq rurasqa uchuy maqmacha. Puyñu. <span fgcolor="#ff0000">Vasija, cántaro.</span>\n<span fgcolor="#a403fb">- Huk puyñu aqata haywaykamuway.</span>\n<span fgcolor="#0000ff">- Alcánzame un cántaro de chicha.</span>
chawa	<span fgcolor="#228B22">(s).</span> Mana chayasqa, yanusqa mikuy. <span fgcolor="#ff0000">Crudo.</span>\n<span fgcolor="#a403fb">- Kunturqa chawa aychallatam mikun.</span>\n<span fgcolor="#0000ff">- El códor come carne cruda.</span>
chawpi	<b>1.</b> <span fgcolor="#228B22">(s).</span> Iskayman niraqninkalla rakisqa.<span fgcolor="#ff0000"> Mitad, medio.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Imapapas ukun, sunqun, puputin. <span fgcolor="#ff0000">Centro.</span>\n<span fgcolor="#a403fb">1. Chawpi tutatam mamay chayarqamun.</span>\n<span fgcolor="#0000ff">- Mi madre llegó a medianoche.</span>\n<span fgcolor="#a403fb">2. ¡Maypiraqya allpapa chawpinqa!</span>\n<span fgcolor="#0000ff">- ¡Dónde se encontrará el centro de la tierra!</span>
chayasqa	<span fgcolor="#228B22">(s).</span> Ima mikuypas allin yanusqa. <span fgcolor="#ff0000">Cocido(a).</span>\n<span fgcolor="#a403fb">- Chayasqa mikuytam mikuna.</span>\n<span fgcolor="#0000ff">- Hay que comer comida cocida.</span>
chayru	<span fgcolor="#228B22">(s).</span> Huk rikchaq mikuy; chuñuyuq, aychasapa, sarapilayuq, lawayuq mikuy. <span fgcolor="#ff0000">Chupe de chuño.</span>\n<span fgcolor="#a403fb">- Anqarapim chayru mikuyta qaranku.</span>\n<span fgcolor="#0000ff">- El chairo lo sirven en mate grande.</span>
chikchi	<span fgcolor="#228B22">(s).</span> Ruyru ritichakunahina runtu para. Runtu para. <span fgcolor="#ff0000">Granizo.</span>\n<span fgcolor="#a403fb">- ¡Chikchi paralla hapiwaptin, maypiraq kasaq!</span>\n<span fgcolor="#0000ff">- Dónde estaré cuando me agarre la granizada.</span>
chikchimpay	<span fgcolor="#228B22">(s).</span> Wakatay kaqlla qichwakunapi wiñaq qura. <span fgcolor="#ff0000">Huacatay silvestre.</span>\n<span fgcolor="#a403fb">- Lawaman chikchimpaychata hinana.</span>\n<span fgcolor="#0000ff">- A la sopa se debe echar huacatay silvestre.</span>
chiki	<span fgcolor="#228B22">(s).</span> Mana allin kananpaq imapas rikurimuynin. <span fgcolor="#ff0000">Malagüero(a).</span>\n<span fgcolor="#a403fb">- Chiki tukum muyupayawan.</span>\n<span fgcolor="#0000ff">- El tuku malagüero me rodea.</span>
chilakyay	<span fgcolor="#228B22">(s).</span> Chiwkikunapa waqaynin, wakin pisqukunapapas. <span fgcolor="#ff0000">Piar.</span>\n<span fgcolor="#a403fb">- Mikuymanta chiwchikuna chilakyamuchkan.</span>\n<span fgcolor="#0000ff">- Los pollitos están piando a falta de comida.</span>
chilchi	<span fgcolor="#228B22">(s).</span> Chalanka. Kallapipi achka ruyru latachakuna chaqlasqa, waqananpaq hiru qaytuwan sinrisqa chalankachakuna. <span fgcolor="#ff0000">Sonaja.</span>\n<span fgcolor="#a403fb">- Inti raymipi chilchita waqachinku.</span>\n<span fgcolor="#0000ff">- En la fiesta del Sol tocan las sonajas.</span>
chilliku	<span fgcolor="#228B22">(s).</span> Kakllukunapi, ranrapi tiyaq purun urucha; chillik...chillik nispa waqaq urucha. <span fgcolor="#ff0000">Grillo.</span>\n<span fgcolor="#a403fb">- Wasi ukupi chillikuqa chikis.</span>\n<span fgcolor="#0000ff">- Dice que el grillo dentro de la casa es de mal augurio.</span>
chillpa	<span fgcolor="#228B22">(s).</span> Uchku huntana qillpa, kakllu huntana. <span fgcolor="#ff0000">Cuña.</span>\n<span fgcolor="#a403fb">- Chillpata maskamuy misa takyachinapaq.</span>\n<span fgcolor="#0000ff">- Busca una cuña para sostener la mesa.</span>
chillpi	<span fgcolor="#228B22">(s).</span> Imapas llikchipasqa. Llikchi. <span fgcolor="#ff0000">Retaceado, con flecos.</span>\n<span fgcolor="#a403fb">- ¿Chillpi rinri wakayta manachu rikurqanki?</span>\n<span fgcolor="#0000ff">- ¿No has visto mi vaca que tiene las orejas flecadas?</span>
chimpay	<span fgcolor="#228B22">(r).</span> Mayupa utaq wayqupa huknin patanman puriy. <span fgcolor="#ff0000">Cruzar.</span>\n<span fgcolor="#a403fb">- Mayuta chimpani chaka chakallanta.</span>\n<span fgcolor="#0000ff">- Cruzo los ríos sólo por los puentes.</span>
chinkay	<span fgcolor="#228B22">(r).</span> Imatapas wischukuy. Mana rikuchikunapaq ayqiy, mana rikuchikuy. <span fgcolor="#ff0000">Extraviar.</span>\n<span fgcolor="#a403fb">- Qullqi chinkarqun.</span>\n<span fgcolor="#0000ff">- Perdióse la plata.</span>
chinqu	<span fgcolor="#228B22">(s).</span> Chuqllu puquchi kaqlla yanaqillu pisqucha, sarakunapi puquypi pawaykachaq pisqucha. <span fgcolor="#ff0000">Jilguero.</span>\n<span fgcolor="#a403fb">- Ima sumaqtam chinqu takichkan.</span>\n<span fgcolor="#0000ff">- Qué bonito canta el jilguero.</span>
chintay	<span fgcolor="#228B22">(r).</span> Qipa atakanwan sayapakuspa paway, hinaspa ñawpaq atakanwan chayay. <span fgcolor="#ff0000">Saltar.</span>\n<span fgcolor="#a403fb">- Wiskakakuna raqchipi chintachkanku.</span>\n<span fgcolor="#0000ff">- Las vizcachas están saltando en las rocas.</span>
chipi	<span fgcolor="#228B22">(s).</span> Tukuy ukunpi chukchayuq, runa kaqlla, yunkapi tiyaq sallqa uywa. Kusillu. <span fgcolor="#ff0000">Mono.</span>\n<span fgcolor="#a403fb">- Chipikunaqa yunkapim kawsan.</span>\n<span fgcolor="#0000ff">- Los monos viven en la selva.</span>
chiptiy	<span fgcolor="#228B22">(r).</span> Silluwan wirpu llapiy, kaputiy. Kichiy. <span fgcolor="#ff0000">Pellizcar.</span>\n<span fgcolor="#a403fb">- ¡Ama chiptiwaychu!</span>\n<span fgcolor="#0000ff">- ¡No me pellizques!</span>
chiqa	<span fgcolor="#228B22">(s).</span> Mana llullachu; chaynapuni. Sullull. <span fgcolor="#ff0000">Verdad, certeza.</span>\n<span fgcolor="#a403fb">- Chiqam atipan llullataqa.</span>\n<span fgcolor="#0000ff">- La verdad vence a la mentira.</span>
chiqchi	<span fgcolor="#228B22">(s).</span> Yana yuraq huñusqa ñutu llimpi. <span fgcolor="#ff0000">Moteado.</span>\n<span fgcolor="#a403fb">- Chiqchi turuta rantikurqasayki.</span>\n<span fgcolor="#0000ff">- Te venderé el toro moteado.</span>
chiqniy	<span fgcolor="#228B22">(r).</span> Pipas mana munay; millakuywan sunqumanta qarquy. <span fgcolor="#ff0000">Odiar, Aborrecer.</span>\n<span fgcolor="#a403fb">- Runa masinchiktaqa manam chiqninachu.</span>\n<span fgcolor="#0000ff">- No debemos odiar a nuestros semejantes.</span>
chiqullu	<span fgcolor="#228B22">(s).</span> Uchkukunapi, kirakunapi tiyaq pisqucha; sumaq takichayuq uchuy pisqucha. <span fgcolor="#ff0000">Ruiseñor.</span>\n<span fgcolor="#a403fb">- Chay runaqa chiqulluhina rimaysapam.</span>\n<span fgcolor="#0000ff">- Ese hombre es hablador como el ruiseñor.</span>
chirapa	<span fgcolor="#228B22">(s).</span> Qanchis llimpiyuq puyu parapi rikuriq hatun muyu. <span fgcolor="#ff0000">Arco iris.</span>\n<span fgcolor="#a403fb">- ¡Killapa wawan hatun chirapa, wiqillaykita qapiykamuway!</span>\n<span fgcolor="#0000ff">- ¡Oh, arco iris, hijo de la luna, exprime tus lágrimas para mí!</span>
chiraw	<b>1.</b> <span fgcolor="#228B22">(s).</span> Usyay pacha. Chaki mita. Chiraw pacha.<span fgcolor="#ff0000"> Sequía.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Muchuy pacha. <span fgcolor="#ff0000">Hambruna.</span>\n<span fgcolor="#a403fb">1. Chiraw chayaramuptinmi uywakuna wañuykuchkan.</span>\n<span fgcolor="#0000ff">- Los animales están muriendo con la sequía.</span>\n<span fgcolor="#a403fb">2. Muchuy pachaman yaykuchkanchikñam.</span>\n<span fgcolor="#0000ff">- Ya estamos próximo a tiempos de hambruna.</span>
chiri	<span fgcolor="#228B22">(s).</span> Mana quñichu, aswan alaláw. <span fgcolor="#ff0000">Frío.</span>\n<span fgcolor="#a403fb">- Chiri mikuyqa wiksatam nanachinman.</span>\n<span fgcolor="#0000ff">- La comida fría puede causar el dolor de estómago.</span>
chisi	<span fgcolor="#228B22">(s).</span> Inti wichiykuy pacha. <span fgcolor="#ff0000">Tarde.</span>\n<span fgcolor="#a403fb">- Chisinkuyta rinqa.</span>\n<span fgcolor="#0000ff">- Irá por la tarde.</span>
chisiyay	<b>1.</b> <span fgcolor="#228B22">(s).</span> Chawpi punchawmanta tutayanankama pacha. Suha.<span fgcolor="#ff0000"> Atardecer.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Tutaman tikrakuy; tuta chayamuynin. Tutayay. <span fgcolor="#ff0000">Anochecer.</span>\n<span fgcolor="#a403fb">1. Chisiyaytam illanqa.</span>\n<span fgcolor="#0000ff">- Viajará al atardecer.</span>\n<span fgcolor="#a403fb">2. Sara hallmasqaypi yaqalla chisiyarquni.</span>\n<span fgcolor="#0000ff">- Por cultivar el maíz casi me anochezco.</span>
chita	<span fgcolor="#228B22">(s).</span> Millwasapa, tawa ataka wasi uywa; llamamantaqa aswan taksa, iskayiskaymanta wachaq uywa. Taksa uywa chitacha. <span fgcolor="#ff0000">Ovino.</span>\n<span fgcolor="#a403fb">- Chitakunata qinchanman qatiykusun.</span>\n<span fgcolor="#0000ff">- Arreemos las ovejas a su corral.</span>
chitqay	<span fgcolor="#228B22">(r).</span> Imatapas iskay kimsaman rakiy. Pakiy. <span fgcolor="#ff0000">Partir.</span>\n<span fgcolor="#a403fb">- ¡Yanukunapaq kulluta chitqay!</span>\n<span fgcolor="#0000ff">- ¡Parte el tronco para cocinar!</span>
chiwaku	<span fgcolor="#228B22">(s).</span> Yanarikuq uqi, qillu tuspa, purun pisqu; «chiwak, chiwak» nispa waqaq pisqu. Chuchiku. <span fgcolor="#ff0000">Zorzal.</span>\n<span fgcolor="#a403fb">- Chiwakupa qisanpi iskay runtuchakuna kasqa.</span>\n<span fgcolor="#0000ff">- En el nido del zorzal había dos huevitos.</span>
