a	Vocal baja central.
apuskachaq	<i>adj.</i> Orgulloso, -sa. Altanero, presumido, presuntuoso.
apuskachay	<i>s.</i> Orgullo. Altanería, exceso de estimación propia.
apuskachay	<i>s.</i> Vanidad. Presunción.
apuski	<i>s.</i> Antepasado. Abuelo, ascendiente.
apuykachay	<i>tr.</i> Dominar. Ejercer dominio.
apharuma	<i>s.</i> Papa silvestre.
ap'a	<i>s.</i> Colchón. Cojín grande rellenado de lana o pluma.
aqalli	<i>s.</i> Intestino (<i>sinón:</i> ch'unchull).
aqarapi	<i>s.</i> Nevada que cae en copos.
aqi, kisma	<i>s.</i> Suegra respecto del yerno.
aqlla wasi, AKLLA WASI	<i>s.</i> Convento. Monasterio.
aqlla, AKLLA, chiklla	chikllu. <i>s.</i> Selección. Elección de lo mejor.
aqllasqa, AKLLASQA, chikllasqa	<i>adj.</i> Selecto, -ta. Escogido. || Aplícase a los productos de gran tamaño y calidad. Wanlla.
aqllay, AKLLAY, chikllay	<i>tr.</i> Seleccionar. Elegir, escoger. || Juntar los buenos tubérculos de los de calidad inferior en tamaño. Wanllay (JAL).
aqsu	<i>s.</i> Capa. Saya, prenda de vestir de la mujer.
aqtuchiy	<i>tr.</i> Obligar a devolver. || Obligar a vomitar lo que uno haya ingerido.
aqtuy, qipnay	Jayruy (JL). <i>tr.</i> Vomitar. Arrojar por la boca lo contenido en el estómago.
aqtuy, thuqay	<i>intr.</i> Escupir.
aqu, t'iwu	<i>s.</i> Arena. Conjunto de partículas de roca. Cascajo. Guijo.
aqullka	<i>s.</i> Bufanda. Prenda para abrigar el cuello.
aquy	<i>adj.</i> Innumerable, incontable.
aquy	<i>tr.</i> Recoger arena.
aquyra	<i>s.</i> Accidente. Suceso o acción que involuntariamente resulta en daño para personas o cosas.
aquyraki	<i>s.</i> Desgracia. Suceso funesto, infortunio. || <i>adj. y s.</i> Aciago, de mal agüero. Tapya, qhincha.
aqha wasi	<i>s.</i> <i>neol.</i> Chichería. Casa o tienda donde se vende chicha.
aqha	<i>s.</i> Chicha. Bebida alcohólica que resulta de la fermentación del maíz, quinua u otros productos.
aqhay	<i>tr.</i> Elaborar chicha.
arakiwa	<i>s.</i> Espantapájaros. Espantajo para ahuyentar los pájaros.
aran rimanpa	<i>Fon.</i> Vocal alta.
aran saya	<i>s.</i> Parte de arriba, cumbre: Mallkuqa aran sayapi kawsan. El cóndor vive en las alturas. || Parcialidad, arriba.
aranwa	<i>s.</i> Teatro. Lugar destinado a la presentación de obras dramáticas u otros espectáculos.
arapa	<i>s.</i> Celosía. || Cortina.
ararankha, qaraywa	<i>s.</i> Lagartija. Reptil de pequeño tamaño de la familia lacértidos. || Lagartija de listas longitudinales de colores plomo, verde, amarillo u otros afines. Sut'ukullu.
arariwa, qhawaq	<i>adj.</i> Vigilante. Guardián de sementeras.
arawa, runa warkhuna	<i>s.</i> Horca. Instrumento para ahorcar.
arawi, jarawi, yarawi	<i>s.</i> Canto romántico y sentimental. || Canto religioso, heroico o agrícola. Jaylli. || Canto. Arte de cantar, canción. Taki.
arawi, jarawi	<i>s.</i> Poema. Obra en verso algo extensa. || <i>s.</i> Poesía. Expresión artística de la belleza por medio del verso.
arawiku, jarawiq, arawiq, jarawiku	<i>s.</i> Poeta o poetisa. Quien hace poesías.
arawiq, yarawiq, jarawiq, arawikuq	<i>s.</i> Poeta.
arawiy, yarawiy, jarawiy	<i>tr.</i> Componer versos. Interpretar canciones.
aricha	<i>s.</i> Ramera, mujer libertina. Puta.
ari niy	<i>tr.</i> Aceptar. Recibir uno voluntariamente lo que se le da o encarga.
arí ñiy	<i>tr.</i> Aceptar, admitir.
arí ñiy	<i>tr.</i> Aceptar. Recibir uno voluntariamente lo que se le da o encarga.
arí	<i>adv.</i> de afirmación. Se pronuncia acentuado en la última sílaba. Sí. || Posposición que lleva el acento en la penúltima sílaba. Pues: Jamuy ari. Ven pues.
arimsay	<i>tr.</i> Sembrar (<i>sinón:</i> Tarpuy).
arinsa, arinsa chani	<i>s.</i> Alquiler. Precio en que se alquila alguna cosa.
ariq	<i>s.</i> Volcán.
ariwaki killa	<i>s.</i> Abril, (<i>ver</i> mes).
ariy	<i>tr.</i> Estrenar, especialmente, las ollas (Pot.).
arma, taklla	<i>s.</i> Arado. Instrumento de trabajo agrícola.
arma	<i>s.</i> Baño, ablución. || Sitio donde hay aguas para bañarse. || <i>neol.</i> Ducha.
armaka, llata	<i>s.</i> Jofaina. Vasija de gran diámetro y poca profundidad, que sirve principalmente para lavarse la cara y las manos. || Jofaina de arcilla. Kulluna (JL).
armakani	<i>s.</i> Balneario, Baño o baños medicinales.
armakuna	<i>s.</i> Piscina, estanque de agua para baño colectivo.
armakuy	<i>prnl. y r.</i> Bañarse. Lavarse el cuerpo con agua.
armasqa	<i>adj.</i> Bañado, -da. Aseado.
armay	<i>tr.</i> Bañar. Meter el cuerpo o parte de él en agua con el fin de asear.
arpa	<i>s.</i> Víctima para el sacrificio.
arpana	<i>s.</i> Instrumento o cualquier objeto usado en los sacrificios.
arpay pacha	<i>s.</i> Tiempo de los sacrificios.
arpay	<i>s.</i> Sacrificio. Ofrenda que se hace a una deidad.
arpay	<i>tr.</i> Sacrificar. Ofrecer sacrificios a la divinidad.
arpha, janra	<i>s.</i> Penumbra. Sombra tenue entre la luz y la oscuridad.
arphi, miqlla, illpha	<i>s.</i> Regazo. Cavidad de la falda desde la cintura hasta la rodilla.
arqhay	<i>tr.</i> Copular (<i>sinón:</i> Jukunay, juquy, sapsay, yuquy).
arqhiy	<i>s.</i> Estertor, respiración ronca.
arwi, ch'arwi	<i>s.</i> Enredo. Complicación, lío. || Mezcla, resultado de varias cosas mezcladas. Mich'u.
arwiy, ch'arwiy	<i>tr.</i> Enmarañar. Enredar.
as, tumpa	<i>adv.</i> En pequeña cantidad, un poco, algo. || <i>adj.</i> Poco, -ca. Escaso, limitado. Pisi.
asi	<i>s.</i> Risa. Movimiento de la boca y el rostro que indica alegría. Satisfacción.
asichikuq	<i>adj. y s.</i> Hazmerreír, bufón.
asichiq, qamchu, sawka rimaq	<i>adj. y s.</i> Bufón, -na. Persona que servilmente hace reír a otros.
asikuy	<i>prnl.</i> Reírse. || <i>intr.</i> Reír. Asiy.
asillu	<i>adj. y s.</i> Jucoso, reilón.
asina	<i>s.</i> Chiste. Dicho agudo y gracioso. || Burla, chanza. Sawka.
asipayay	<i>tr.</i> y <i>intr.</i> Reírse de una persona, burlarse con risa.
asiq tullu	<i>adj. y s.</i> Persona muy risueña, reilona.
asiy	<i>intr.</i> Reír. Asiy. || <i>prnl.</i> Reírse. Asikuy.
askama	<i>adv.</i> Hasta luego, hasta dentro de poco: Askamalla. Prontamente, hasta dentro de poco nomás.
askanku	<i>s.</i> Erizo. Animal roedor de cerdas puadas.
askha, ACHKHA, ancha	<i>adv.</i> Mucho. Bastante.
askha, ACHKHA	<i>adj.</i> Mucho, abundante. || <i>adv.</i> Mucho, en gran cantidad.
askhachay, ACHKHACHAY, yapay, achkachay, askhayachiy, achkayachiy	<i>tr.</i> Acrecentar. Aumentar.
askhayachiy, ACHKHAYACHIY	<i>tr.</i> Acrecentar, aumentar de cantidad.
askhakuy, ACHKHAKUY	<i>prnl.</i> Aumentarse, acrecentarse. Agregarse, yaparse, aumentarse un volumen (ej.: la comida).
askhayay, ACHKHAYAY, miray	<i>intr.</i> Multiplicarse. || <i>tr.</i> Multiplicar. Aumentar considerablemente. Mirachiy.
aslla, pisi	<i>adj.</i> Escaso, -sa. Corto, poco, limitado.
asna asna, phutun	<i>adj.</i> Hediondo, -da. Que despide olor nauseabundo.
asna	<i>adj.</i> Hediondo, maloliente.
asnannay	<i>intr.</i> Dejar de heder, desaparecer el mal olor.
asnapun	<i>prnl.</i> Pudrirse despidiendo olor. || Descomponerse. Podrirse, corromperse un cuerpo. Ismuy.
asnaq, phutun	<i>adj.</i> Apestoso, que despide mal olor.
asnaq	<i>adj.</i> Hediondo, el que despide mal olor.
asnay	<i>intr.</i> Heder, despedir mal olor.
asnay	<i>s.</i> Hedor, olor desagradable, mal olor. || Olor. Impresión olfativa de un perfume o de esencia despedida por las cosas que huelen bien. Q'apay.
asnin	<i>s.</i> Pedazo. || <i>adv.</i> Lo poco, su poco.
aspakay	<i>s.</i> Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol.
astana	<i>s. y adj.</i> Cosas trasladables.
astawan, aswan	<i>adv.</i> comparativo. Más. Indica exceso, aumento o superioridad.
astay	<i>tr.</i> Acarrear. Transportar.
asuchiy, qayllachiy, achhuchiy, k'askachiy, sispachiy, chimpachiy	<i>tr.</i> Acercar. Poner cerca o a menor distancia.
asuy, qayllaku	<i>s.</i> Aproximación. Acercamiento.
asuy	<i>tr.</i> Acercar, aproximar, arrimar más cerca una cosa a otra.
asuykuna, chayaykuna	<i>adj. </i>Accesible. De fácil acceso.
asuykuy	<i>intr. y prnl.</i> Acudir. Acercarse, aproximarse, allegarse.
aswan, astawan	<i>adv.</i> comparativo. Más. Indica exceso, aumento o superioridad. // Kay sipasqa t'ikamanta aswan sumaq. Esta joven es más bella que una flor.
atakra	<i>s.</i> Callo, (<i>sinón:</i> Chullpi).
atatay!	<i>interj.</i> ¡Qué dolor!
ataw, sami, qillpu	<i>s.</i> Dicha, ventura. || Felicidad. Satisfacción del ánimo. Kusikuy, kusi kay.
ataw	<i>s.</i> Suerte favorable en un evento o lugar. Dicha, ventura.
atawchaq	<i>adj. y s.</i> El que es capaz de proporcionar suerte favorable.
atawchi	<i>adj.</i> Ilustre, famoso.
atawsapa	<i>adj.</i> Suertero, el siempre favorecido por la suerte.
ati ati	<i>adj.</i> Caudaloso, -sa. Exuberante, frondoso.
ati jucha	<i>s.</i> Crimen, delito muy grave.
ati juchayuq, q'umalli	<i>adj.</i> Delincuente. Criminal.
ati kay	<i>s.</i> Poder. Domínio, facultad.
ati mach'aqway, amaru (JAL)	<i>s.</i> Boa. Ofidio de gran tamaño.
ati mullp'u (JL)	<i>s.</i> Fantasma. Visión quimérica.
ati musquy	<i>s.</i> Pesadilla.
ati q'uma, q'uma	<i>s.</i> Crimen. Delito. || Culpa. Jucha.
ati samka, aquyraki	<i>s.</i> Calamidad. Desgracia que alcanza a muchas personas.
ati samka	<i>s.</i> Fatalidad, descalabro, infortunio grande.
ati, aquyraki	<i>s.</i> Adversidad. Desventura.
ati	<i>s.</i> Posibilidad, calidad de posible.
atichaw	<i>s.</i> Martes.
atikay	<i>tr.</i> Despojar y desposeer a los vencidos.
atiklla, willana	<i>s.</i> Aviso. Noticia.
atiklla	<i>s.</i> Amonestación. || Citación. || Requerimiento.
atikllay, willay	<i>tr.</i> Avisar. Anunciar.
atikllay	<i>tr.</i> Advertir. || K'amiy, khunay. Amonestar. Reprender.
atikllay	<i>tr.</i> Citar. || Requerir.
atikuq, ruwayniyuq	<i>adj.</i> Capaz. Apto, que tiene capacidad.
atikuy	<i>prnl.</i> Ser factible o posible de realización.
atillcha, kumpa, sukna	<i>com.</i> Camarada. Compañero y amigo.
atillcha, sukna	<i>s.</i> Amigo. || Masi, kumpa (<i>&lt;C</i>). Compañero, -ra.
atillchakuy	<i>prnl.</i> Amistarse, amigarse, amistuarse.
atipakuq	<i>adj.</i> Porfiado, obstinado, rebelde.
atipanaku, atipanakuy	<i>s.</i> Competencia. Disputa o contienda entre dos o más sujetos sobre alguna cosa.
atipanakuy	<i>intr.</i> Competir. Contender dos o más personas aspirando a una misma cosa.
atipanakuy	<i>s.</i> Rivalidad. Oposición entre aspirantes a una misma cosa.
atipaq	<i>adj.</i> Vencedor, ganador. || Poderoso.
atipay, wasqichiy	<i>tr.</i> Rendir. Vencer, obligar al enemigo a que se entregue. || Abatir, humillar, anonadar, hacer perder el ánimo. Willpuchiy, willpuy. || <i>prnl.</i> Rendirse, abdicar. Wasqiy.
atiq	<i>adj.</i> El que es capaz de ejecutar o conseguir una cosa.
atiqllay	<i>tr.</i> Advertir. || K'amiy.
atiy jaylli	<i>s.</i> Canción de victoria.
atiy millp'u	<i>adj.</i> Abusivo, -va. Extralimitación.
atiy millp'uy (JL)	<i>tr.</i> Abusar. Usar mal, impropia, indebida y excesivamente de algo o alguien.
atiy	<i>s.</i> Potestad. Poder, dominio.
atiy	<i>s.</i> Triunfo.
atiyñi	<i>s.</i> Facultad. Poder y derecho de hacer.
atuq puñuna	<i>s.</i> <i>fig.</i> Zorrera. Cueva de zorros.
atuq	Ch'uñuli. <i>s.</i> Zorro, -rra. Mamífero carnicero de la familia de los cánidos, de cola peluda y hocico agudo y prominente que ataca a la oveja, y a otros animales pequeños. Este animal en quechua suele tener muchos cuentos o narraciones.
athaq	<i>s.</i> Vergüenza, (<i>sinón:</i> P'inqay).
athay!	<i>interj.</i> ¡Qué abominable!.
awa	<i>s.</i> Urdimbre, tela urdida, hilos ya preparados para el tejido. || Textilería, arte de tejer. Tejido.
awacha	<i>s.</i> Mellizo.
awakipay	<i>tr.</i> Sobretejer por los bordes a una tela. || Zurcir. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada. Allwi t'iriy. || Zurcir mal. Qiquy, t'iruy.
awana	<i>s.</i> Telar. Instrumento o máquina para hacer telas.
awannay	<i>tr.</i> Destejer, desatar un tejido a telar.
awaq	<i>adj. y s.</i> Tejedor, -ra. Que teje prendas de urdimbre.
awasqa	<i>adj. y s.</i> Tejido, tela tejida en el telar.
away	<i>tr.</i> Tejer. Formar la tela con la trama y la urdimbre. || Tejer con crochet. T'ipay, p'itay.
awcha, saqra	<i>adj. y s.</i> Malvado, -da. Perverso, muy malo.
awcha	<i>adj.</i> Maligno, nefando, malvado.
awichu	<i>s.</i> Abuelo (JH).
awki	<i>s.</i> Príncipe. Hijo de un ser superior o de un rey.
awkillu	<i>s. m.</i> Abuelo. Hombre anciano. || Jatun tata, jatun yaya, apucha, apuski. <i>s. m.</i> Abuelo.
awqa tinku, awqanakuy, maqanakuy	<i>s.</i> Guerra.
awqa, jayu	<i>adj. y s.</i> Enemigo, -ga. Contrario.
awqa, jayu	<i>s.</i> Adversario. Rival.
awqalli kay, ankalli kay	<i>s.</i> Rebeldía. Calidad y estado de rebelde.
awqallikuy, q'iwikuy, awqanchanay (JL)	<i>prnl.</i> Rebelarse. Sublevarse.
awqanaku, ch'umpa, ch'ampa (Pot.), maqanaku	<i>s.</i> Batalla. Lucha, combate entre dos grupos bélicos.
awqanakuy, maqanakuy	<i>s.</i> Pelea. Lucha, combate, contienda. || Pelea de manos. Maqanakuy (GH).
awqanakuy, awqa tinku, maqanakuy	<i>s.</i> Guerra.
awqanakuy, ch'umpanakuy, maqanakuy	<i>intr.</i> Batallar. Pelear, combatir.
awqanakuy, jayunakuy	<i>rec. y prnl.</i> Enemistarse. Perder la amistad.
awqanakuy, jayunakuy	<i>s.</i> Enemistad. Rivalidad, malquerencia.
awqanchanay (JL), q'iwikuy, awqallikuy	<i>intr.</i> Rebelarse. Sublevarse.
awqapuri, sinchi	<i>s.</i> Soldado. El que sirve en la milicia.
awqapuriq	<i>s.</i> Soldado. Que camina.
awqay	<i>intr.</i> Guerrear, hacer guerra.
awqaylli	<i>adj. y s.</i> Guerrero, -ra. Que guerrea.
awyay, ayquy	<i>intr.</i> Aullar. Dar aullidos.
aya chukuchiy	<i>tr.</i> Embalsamar a un cadáver de cuclillas o sentado.
ayamarq'ay killa	<i>s.</i> Noviembre. Ver mes.
aya p'ampana	<i>s.</i> Cementerio. Sitio para enterrar cadáveres.
aya p'intuna, p'intuna, p'iltuna	<i>s.</i> Mortaja. Sudario.
aya p'intuy	<i>tr.</i> Amortajar, envolver en la mortaja al difunto.
aya sankha	<i>s.</i> Tumba. Sepulcro.
aya taki	<i>s.</i> Canción con que se honra a los difuntos.
aya urna	<i>s.</i> Calavera, armazón de huesos de la cabeza.
aya wantuna	<i>s.</i> Camilla para transportar cadáveres.
aya yupa	<i>adj.</i> Desfallecido, -da. Amortecido.
aya yupay	<i>intr.</i> Desfallecer, amortecerse, perder las fuerzas.
aya	<i>s.</i> Cadáver. Cuerpo orgánico después de la muerte.
ayakra, k'arpi, jarchi	<i>adj.</i> Enjuto, -ta. Flaco, delgado.
ayakray, ayaqrakuy, tulluyay	<i>intr.</i> Demacrarse. Enflaquecer.
ayakray	<i>intr.</i> Enflaquecer, demacrarse.
ayara	<i>s. y adj.</i> Quinua silvestre.
ayarachi	<i>s.</i> Instrumento pequeño de carrizo.
ayasqa	<i>adj.</i> Canijo, encanijado. Débil y enfermizo.
ayay	<i>intr. y tr.</i> Encanijar. Poner o ponerse flaco y enfermizo.
ayay	<i>s.</i> Encanijamiento. Enflaquecimiento.
aycha wasi	<i>s.</i> Carnicería. Tienda donde se vende carne al por menor.
aycha	<i>s.</i> Carne. // Carne de llama: Llama aycha. || <i>fam.</i> chichi.
aychasapa	<i>adj.</i> Musculoso. Con mucha carne.
ayj!	<i>interj.</i> ¡Qué fastidio!
ayka	<i>s.</i> <i>fam.</i> diarrea que sufren los niños cuando están en la dentición.
aykura	<i>s.</i> Cobertor de paja y barro del techo.
aykuray	<i>tr.</i> Cubrir con lámina. Cobertera de paja y barro del techo.
aykhu	<i>adj.</i> Descabellado, -da. Disparatado, que habla disparates.
ayllu masi	<i>adj. y s.</i> Pariente por consanguinidad o afinidad. || Pariente, -ta. Respecto de una persona, dícese de cada uno de los ascendientes y descendientes de su misma familia, especialmente por consanguinidad. Yawar masi.
ayllu suti	<i>s.</i> Apellido. Nombre de familia.
ayllu	<i>s.</i> Clan. Grupo de parientes de filiación unilateral. || Conjunto de clanes. Kuraq ayllu.
ayllu	<i>s.</i> Familia. || Conjunto de consanguíneos. Yawar masi. || Conjunto de varías familias. Kuraq ayllu.
ayllu	<i>s.</i> Alcurnia. Ascendencia, linaje.
aylluchay	<i>intr.</i> Emparentar. Tener las relaciones de parentesco, origen común o afinidad.
ayma	<i>s.</i> Procesión; acto de ir ordenadamente de un lugar a otro con algún fin público, cívico o religioso.
aymara	<i>adj. y s.</i> Nombre de cultura y lengua aimara. // Nación Aimara. Aymara llaqta.
aymuray killa	<i>s.</i> Mayo. Ver mes.
aymuray mit'a	<i>s.</i> Época de la cosecha.
aymuray, allay	<i>s.</i> Cosecha. Tiempo y trabajo en que se recogen los frutos o productos. || Recolección, cosecha de maíz. Tipiy.
aymuray, allay	<i>tr.</i> Cosechar. Hacer la cosecha. || Recolectar, cosechar maíz. Tipiy.
ayna, t'ika	<i>s.</i> Flor. // Flor roja: Puka t'ika. || Flor de frutales y de cereales. Sisa. || Flor silvestre, flor campestre. Wayta. Cual silvestre flor, único y sólito soy: Puna wayta jiña ch'ulla sapachallay (JAL).
ayna	<i>s.</i> Floración, florescencia. Proceso de desarrollo de las flores. || Época en que las plantas florecen.
aynasapa, t'ikayuq, aynayuq	<i>adj.</i> Florido, -da. Que tiene flores.
aynay, t'ikay	<i>intr.</i> Florecer. Echar la flor. || Florecer los cereales y frutales. Sisay. || florecer las plantas silvestres. Waytay.
aynayuq, t'ikayuq, aynasapa	<i>adj.</i> Florido, -da. Que tiene flores.
ayni	<i>s.</i> Ayuda mutua, correspondencia mutua, reciprocidad de dos o más personas en una actividad.
ayni qupuy	<i>tr.</i> Retribuir la ayuda.
aynikuy	<i>prnl.</i> Pedir y recibir ayuda mutua.
ayninakuy	<i>rec. y prnl.</i> Trabajar por mutuo acuerdo a cargo de cumplimiento equivalente, igual o semejante.
ayniy	<i>tr.</i> Corresponder. || Devolver. Restituirla a la persona que la poseía. Qupuy, kutichiy, kutichipuy.
ayniy	<i>tr. e intr.</i> Dar o tomar ayuda mutua.
ayñanaku	<i>s.</i> Riña, reyerta.
ayñanakuy	<i>rec. y prnl.</i> Reñir, luchar con palabras, discutir.
ayñay	Allwakuy. <i>s.</i> Ladrido. Voz que emite el perro.
ayñay	<i>intr.</i> Ladrar, dar ladridos el perro, (<i>sinón:</i> Wanway).
ayñi	<i>s.</i> Contradicción, oposición, incompatibilidad.
ayñiy	<i>tr.</i> Contradecir, oponerse, rezongar.
aypa	<i>s.</i> Alcance, distancia a donde puede llegarse con el brazo.
aypay, jaypay	<i>tr.</i> Tomar un objeto extendiendo la mano. || K'askay, taripay. Alcanzar. Conseguir lo que se desea. || Entregar, poner en manos de uno. Jayway.
aypay	<i>tr.</i> Alcanzar, llegar con el brazo a una cosa distante.
aypukuy	<i>tr. y prnl.</i> Repartir en forma igual.
aypuriy, anqusay	<i>tr.</i> Convidar. Invitar, rogar una persona a otra que la acompañe a comer, beber u otra cosa que le resultaría agradable.
aypuy, aypuriy	<i>tr.</i> Invitar, convidar. || Ofrecer. Presentar y dar voluntariamente una cosa. Saqumay.
aypuy, ch'uqichay	<i>tr.</i> Agasajar. Favorecer a uno con regalos o con afecto.
ayphu, rankhi	<i>adj.</i> Opaco, -ca. Que no es diáfano.
ayqichiy, wayay, wikch'uy	Qallquy (Perú). <i>tr.</i> Ahuyentar. Hacer huir. || Espantar. Causar espanto, dar susto. Manchachiy, mancharichiy. || <i>intr. y prnl.</i> Sentir espanto, asustarse. Mancharikuy.
ayqina	<i>s.</i> Huidero, lugar de huida.
ayqipuy, mitikay, ayqiy	<i>prnl.</i> Fugarse. Escaparse, huir.
ayqiy, ayqipuy, mitikay	<i>intr.</i> Fugarse. Escaparse, huir.
ayqiy, mitikay	<i>intr.</i> Huir. Escapar rápidamente de un sitio.
ayquy	<i>intr.</i> Quejarse. Expresar con la voz dolor o pena. || Presentar querella. Ch'atay, willarikuy, willaykukuy.
ayrampu, jayrampu	<i>s.</i> Cacto rastrera, de flores rojas, cuyos frutos en bayas son tintóreos.
ayri	<i>s.</i> Hacha. Herramienta con lanza cortante.
aysa	<i>s.</i> Jalón, tirón, acto de jalar.
aysana, charina, ninri, jap'ina	<i>s.</i> Asa. Parte saliente de una vasija que sirve para asir.
aysana	<i>s.</i> Balanza. Instrumento para pesar.
aysay, suniyachiy, unachiy, sayt'uchay	<i>tr.</i> Alargar. Estirar, hacer más largo. || <i>intr.</i> Pesar. Tener cierto peso. Llasay. || <i>tr.</i> Pesar, estimar el contenido o valor de una cosa. Tupuy.
aysay	<i>tr.</i> Pesar en la balanza. || Pesar con romana. || Jalar, tirar. || Arrastrar a la fuerza.
aytiy, ch'uyanchay	<i>tr.</i> Enjuagar. Aclarar y limpiar con agua lo que se ha jabonado o fregado.
ayu	<i>s.</i> Bebé. Niño, ña de teta.
ayusqa	<i>adj. y s.</i> <i>fam.</i> Canijo, -ja. Débil y enfermizo.
ayuy, ayuyay	<i>prnl.</i> Encanijarse. Ponerse flaco y enfermizo.
ayuy, wach'uy, wachuy, jawanchay	<i>intr.</i> Adulterar. Cometer adulterio.
ayuy	<i>s.</i> Encanijamiento.
aywa, aywariku	<i>s.</i> Adiós. Partida, despedida.
