Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
¡Pónganse en acción!	Ordena a una persona ponerse en acción en el lugar de trabajo. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Anokapopo
Sus telares / ¿Son sus telares?	<font color=ForestGreen><b>adj.poses.pl.:</b></font> Anokrogi <font color=purple>/</font> ¿Anokrogi?
Sus tejidos / ¿Son sus tejidos?	Afirmación de una persona que los tejidos son de ellos. <font color=purple>/</font> También se lo utiliza como pregunta. <font color=ForestGreen><b>adj.poses.afirm.interrog.pl.:</b></font> Anoksa <font color=purple>/</font> ¿Anoksa?
Cara pintada de color verde, o una máscara de color verde	<font color=ForestGreen><b>n.m.adj.:</b></font> Anomro
¿El remo de ustedes? / ¿Es su remo?	Afirmación de una persona de que el remo es de ellos <font color=purple>/</font> También se lo utiliza como pregunta. <font color=ForestGreen><b>n.m.pron.poses.afirm.interrog.:</b></font> Anoope <font color=purple>/</font> ¿Anoope?
Su cutibi	Línea en la superficie del cuero cabelludo que divide un peinado. <font color=ForestGreen><b>n.f.:</b></font> Anorojiiku
¿Se quedaron?	Pregunta a un grupo de personas que por cierta circunstancia se quedaron en un lugar. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Anospo
Siempre se quedan	Afirmación de una persona a otras que se siempre quedan en un lugar. <font color=ForestGreen><b>vtr.prnl.afirm.:</b></font> Anosra'i
Se tienen que quedar / ¿Se van a quedar?	Orden de una persona a un grupo de que tienen que quedarse en un lugar <font color=purple>/</font> También se utiliza como pregunta. <font color=ForestGreen><b>vtr.afirm. interrog.pl.:</b></font> Anosyore <font color=purple>/</font> ¿Anosyore?
Siempre patacan	Acción de masticar el maíz, yuca, arroz, para la mezcla de la elaboración de chicha. <font color=ForestGreen><b>vtr.pl.:</b></font> Anu'sare
Tienen que patacar / ¿Lo van a patacar?	Orden de una persona a un grupo para que pataquen <font color=purple>/</font> también se utiliza para preguntar. <font color=ForestGreen><b>vtr.imper. interrog.pl.:</b></font> Anu'yo <font color=purple>/</font> ¿Anu'yo?
Cielo	Firmamento infinito. <font color=purple>/</font> Parte de la atmósfera y del espacio exterior vistos desde la tierra, en la que están las nubes y en donde se ve el sol, la luna, y las estrellas. <font color=ForestGreen><b>n.m.:</b></font> Anumo
Bajo el firmamento del cielo	<font color=ForestGreen><b>adv.l.:</b></font> Anúmoku
Arcángeles divinos del cielo	Ser celestial encargado de anunciar los misterios de Dios con categoría superior a la de los ángeles. <font color=ForestGreen><b>n.m.:</b></font> Anumokurunano
Su patacado de ustedes	<font color=ForestGreen><b>adj.poses.pl.:</b></font> Anuneji
Va ser su patacado de ustedes	Persona que afirma que el patacado será de ellos. <font color=ForestGreen><b>v.cop.pl.:</b></font> Anunejiyre
De color lila	Árbol cuya hoja tiñe color lila. <font color=ForestGreen><b>n.m. adj.bot.:</b></font> Añiri
Su cintura	Persona que indica parte de la cintura de otra. <font color=ForestGreen><b>mod.ind.:</b></font> Año'e
Año	Periodo de 365 días, dividido en doce meses; que empieza el 1 de enero y termina el 31 de diciembre. <font color=ForestGreen><b>n.m.:</b></font> Añu
Sus muslos	Persona que indica parte del muslo de otro. <font color=ForestGreen><b>mod.ind.:</b></font> Apa'eji
Cara limpia de ustedes	<font color=ForestGreen><b>n.f.mod.ind.:</b></font> Apajmiro
Marco de su puerta	<font color=ForestGreen><b>n.m.adj.poses.ind.:</b></font> Apajrogi
Puerta de ustedes	<font color=ForestGreen><b>n.m.adj.poses.ind.pl.:</b></font> Apajromo
¡Píntenlo!	Orden de una persona a otras para darle color a un dibujo, pared y otros objetos. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Apatsacha
¡Pinten!	Ordenar cubrir con pintura una superficie. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Apatsaregia
Apere	Nombre de un río del Beni. <font color=ForestGreen><b>n.m.:</b></font> Apeereku
Calva oscura	Tipo de calva en la corona de un grupo de personas. <font color=ForestGreen><b>n.f.:</b></font> Apékusi
Están livianos	Grupo de personas que están de poco peso. <font color=ForestGreen><b>adj.:</b></font> Apeveji
Dos plantas de sembradíos o de arboledas	<font color=ForestGreen><b>n.f.:</b></font> Apichpu
Dos árboles maderables	También se utiliza para referirse a un par de lápiz, bolígrafo, pescado. <font color=ForestGreen><b>n.:</b></font> Apigi
Pero téngan miedo	Acción de advertir un susto. <font color=ForestGreen><b>n.m.:</b></font> Apigiatsero
Sus cuellos	Indica parte del cuerpo que une a la cabeza con el cuerpo. <font color=ForestGreen><b>mod.ind.:</b></font> Apigienu
Dos huevos	Forma de contar por la figura: su forma exterior. <font color=ForestGreen><b>n.f.:</b></font> Api'a
Dos testículos	Glándula sexual masculina de forma redondeada que produce los espermatozoides en hombres y animales. <font color=ForestGreen><b>n.m.:</b></font> Api'agi
Dos veces	Actué dos veces en la danza del gracioso. <font color=ForestGreen><b>adv.num.:</b></font> Api'e
Forma de contar por la figura	Dos naranjas, balones de forma redonda. <font color=ForestGreen><b>adj.num.:</b></font> Api'i
¿Están barriendo?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Api'ikwo
¿Van a barrer?	Pregunta a un grupo en tiempo futuro. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Api'ikwoyre?
Dos cosas pegadas	También sirve para referirse en el conteo de par en par (tamal, jase de jatata, jase de leña). <font color=ForestGreen><b>n.m.:</b></font> Api'o
¿Tienen miedo?	Pregunta a un grupo que si tienen miedo de lo que puede ocurrir. <font color=ForestGreen><b>n.f.pl.interrog.:</b></font> Apiko
¡Respétenlo!	Ordena de tener respeto hacia alguna persona. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Apikucha
De par en par	Se refiere a personas, animales o aves que caminan de a dos. <font color=ForestGreen><b>adv.num.:</b></font> Apinararaji
Dos espacios	Medio físico fragmentado en dos. <font color=ForestGreen><b>adv.num.:</b></font> Apípeku
Bípedos	De dos patas. Aves que se sostienen sobre dos pies o patas para caminar. <font color=ForestGreen><b>adv.num.:</b></font> Apipewo
Dos tizones	Dos partes de una leña quemadas por el fuego. <font color=ForestGreen><b>adv.num.:</b></font> Apisri'e
Freír dos veces algún alimento	<font color=ForestGreen><b>vtr.adv.num.:</b></font> Apisrune
¡Vayan con él!	Persona que ordena ir con alguien de viaje, caminata, cacería, trabajo, pesca. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Apona
¡Guíense!	Dejarse llevar por un sonido hasta llegar al lugar. <font color=ForestGreen><b>v.imper.pl.:</b></font> Apo'cha
Sus brazos	Demostrar la extremidad superior del cuerpo humano de otro. <font color=ForestGreen><b>adj.dem.:</b></font> Apowgi
Guineo	Fruto del platanero, comestible, de forma alargada. <font color=ForestGreen><b>bot.n.m.:</b></font> Apu
¡Acérquense!	Orden de una persona a otras para reunirse y escuchar a alguien dar un discurso. <font color=ForestGreen><b>vtr.pron.imper.pl.:</b></font> Apucha
¿Ya se acercaron?	<font color=ForestGreen><b>vtr.prnl.interrog.pl.:</b></font> ¿Apuchripo?
Sus piernas	Señala las piernas de otra persona. <font color=ForestGreen><b>adj.dem.:</b></font> Apuege
Sus riñones	Señala los riñones de otra persona. <font color=ForestGreen><b>adj.dem.:</b></font> Apuegene'a
¡Síganlo!	Seguir a una persona, después o detrás de otra. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Apuegne'a 
¡Pónganle pata!	Aplicar a una cosa un objeto para que no se caiga mesa, silla, banco, taburete. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Apuegiecha
¡Empápense! / ¡Huélanlo!	Quedarse empapado de agua. Forma de ordenar ciertas semillas o granos: arroz, maíz, mediante el olfato. <font color=ForestGreen><b>vtr.prnl.imper.pl.:</b></font> Ajúgie'a
¡Huelan!	Ordena aspirar por la nariz para percibir un olor. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajuka
¡Caminen!	Trasladarse o moverse [una persona o un animal] de un lugar a otro mediante su propio medio de locomoción. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Apuigia
¡Campeen!	Ordena buscar o perseguir animales (en especial, los de tierra o aire) para atraparlos o matarlos. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Apuiirigia
Le gusta el guineo	Persona que siente agrado o afición por comer guineo. <font color=ForestGreen><b>vintr.afirm.:</b></font> Apumore
Sus instrumentos	Indica el objeto de alguien que se usa para producir música. <font color=ForestGreen><b>adj.dem.pl.:</b></font> Apunne
Sus platillos	Indica la pertenencia del objeto de alguien. <font color=ForestGreen><b>adj.dem.pl.:</b></font> Apunnerecho
Guineal	Sembradío de guineo. <font color=ForestGreen><b>adj.:</b></font> Apunóji
Hoja de guineo	Órgano de la planta de guineo que crece sobre el tallo, de color verde. <font color=ForestGreen><b>bot.n.f.:</b></font> Apupóko
Sus rodillas	Indica las rodillas de otra persona. <font color=ForestGreen><b>adj.dem.:</b></font> Apúyusi
Alambre	Hilo de metal que sirve para amarrar. <font color=ForestGreen><b>n.m.:</b></font> Aramre
Que sea para todos	Dar a muchas personas una cosa como muestra de afecto o consideración. <font color=ForestGreen><b>vtr.afirm.:</b></font> Arestáwocha
Arrozal	Terreno donde se realiza la ricicultura o cultivo de arroz. <font color=ForestGreen><b>n.m.:</b></font> Arusji
Personaje de una danza	Danza navideña donde participa dos personajes que entonan coros celestiales. <font color=ForestGreen><b>n.m.:</b></font> Aruchu
Música	Música de la danza navideña donde bailan los aruchus sostenido por cuatro personas que alzan a los danzarines, haciéndole dar vueltas al son de la música. <font color=ForestGreen><b>n.f.:</b></font> Aruchurupi
Sus rosarios	Afirmación de pertenencia de objeto religioso. <font color=ForestGreen><b>adj.dem.:</b></font> Arusaa'o
Bajo el arrozal	<font color=ForestGreen><b>adv.l.:</b></font> Arusjeku
¿Le agradecieron?	Pregunta si se dieron las gracias por un beneficio recibido. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Arusrupayacho?
¡Agradézcanle!	Ordena dar las gracias por un beneficio recibido. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Arusrupayacha
Su cumpleaños / ¿Es su cumpleaños?	<font color=ForestGreen><b>vtr.afirm.interrog.dem.:</b></font> Asachera
Tienen que hacerlo de día	Orden de una persona a otras para que realicen una actividad diurna. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Asachokapo
¡Escuchen!	Ordena percibir una cosa por medio del sentido del oído. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Asama
¿Ya lo escucharon?	Pregunta a un grupo si escucharon el sonido, bulla, etc. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Asamripo?
¿Ya lo probaron?	Persona que ordena tomar una pequeña cantidad de comida o bebida para conocer su sabor, su calidad u otra característica. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Asamripo?
¿Ya lo probaron?	Pregunta de una persona a otras que si ya probó el dulce o salado (refresco, sopa, chicha). <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Asamuekripo
¡Escúchenlo!	Exclusivo para que escuchen el sonido o melodía que produce una persona. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Asamo'cha
Escuchen consejo / Vayan a misa	Aconseja una persona a un grupo escuchar la opinión positiva y espiritual que alguien da. <font color=ForestGreen><b>vtr.pl.:</b></font> Asammorigia
¡Participen!	Orden de una persona a otras participar en una reunión o asamblea. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Asammuerigia
¡Negocien!	Tratar un asunto para llegar a un acuerdo o solución. <font color=ForestGreen><b>vintr.pl.imper.:</b></font> Asamnako 
¿Están negociando?	Pregunta de una persona a otras, si están negociando. <font color=ForestGreen><b>vintr.interrog.pl.:</b></font> ¿Asamnareko?
¡Tengan precaución!	persona que alerta a otros(as) de algún peligro. <font color=ForestGreen><b>n.f.imper.pl.:</b></font> Asamuchapo
¡Entérense!	Orden de una persona para que se informen de algún mensaje, aviso, chisme. <font color=ForestGreen><b>vtr.pron.imper.pl.:</b></font> Asamuiigia
¿Ya lo supieron?	Pregunta de una persona si ya enteraron de la noticia. <font color=ForestGreen><b>vtr.prnl.interrog.pl.:</b></font> ¿Asamuiiko?
Asado	Carne bovina y de pescado cocinada sobre brasas. <font color=ForestGreen><b>n.m.:</b></font> Asawo
Persona que le gusta comer asado	<font color=ForestGreen><b>adj.:</b></font> Asawomore
¡Cávenlo!	Hacer un hoyo, galería o zanja en la tierra. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Asegia
Azuela	Herramienta que sirve para la elaboración de canoa, rueda de carretón, gaveta, cazuela, tací, yugo. <font color=ForestGreen><b>n.m.:</b></font> Ásera
Aceite	Sustancia grasa de origen mineral, vegetal o animal, líquida, insoluble en agua: de motacú, majo, coco, cusi, almendra, tembe, pata. <font color=purple>/</font> Aceite de motor, aceite para cocinar. <font color=ForestGreen><b>n.m.:</b></font> Asete
Sus flautas	<font color=ForestGreen><b>adj.dem.pl.:</b></font> Asiivi
Nariz de ustedes	<font color=ForestGreen><b>adj.dem.:</b></font> Asiri
¡Defequen!	Evacuar. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Asoka
¿Ya defecaron?	<font color=ForestGreen><b>vintr.interrog.pl.:</b></font> ¿Asokponripo?
Están con disentería	Alteración intestinal que se caracteriza por la mayor frecuencia, fluidez y, a menudo, volumen de las deposiciones. <font color=ForestGreen><b>n.f.afirm.pl.:</b></font> Asokra'i
Son suertudos	Personas que tienen fortuna o buena suerte. <font color=ForestGreen><b>adj.n.f.m.:</b></font> Asópe'i
Por ahí se aprovechan	Aprovecharse del momento o situación de algo que no le corresponde como ser: alimentos, objeto, personas, animales, dinero, moto, auto, etc. <font color=ForestGreen><b>vtr.prnl.pl.:</b></font> Aspe'i
Música introductoria	que se utiliza ante de una celebración religiosa. <font color=ForestGreen><b>adj.n.f.:</b></font> Aspeegi
¿Se atoraron?	Preguntar a un grupo si. Se atragantaron con alguna espina de pescado. <font color=ForestGreen><b>vtr.pron.interrog.pl.:</b></font> ¿Asu'o?
Azúcar	Sustancia orgánica sólida, blanca y soluble en agua proveniente de la caña. <font color=ForestGreen><b>n.:</b></font> Asuka
Azúcar granulada	que es elaborado y procesado de la caña de azúcar. <font color=ForestGreen><b>n.:</b></font> Asukapa
¿Lo sembraron?	Pregunta si sembraron plantas con raíz. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Asukcho?
Su sembradío	<font color=ForestGreen><b>adj.dem.:</b></font> Asukre
Estaca	Palo que se usa en un espacio determinado para marcar un limite de un territorio. <font color=ForestGreen><b>n.m.:</b></font> Asumracha
Color azul	<font color=ForestGreen><b>adj.n.m.:</b></font> Asuru
Huevo de color azul	Huevos de perdiz, y otras aves. <font color=ForestGreen><b>adj. n.m.:</b></font> Asuru'a
Su espinilla	Grano que aparece en la piel por obstrucción de los folículos pilosos debida a la acumulación de grasa. <font color=ForestGreen><b>n.m.adj.dem.:</b></font> Asusu
¡Bésenlo en la boca!	Orden de una persona de besar a otra. <font color=ForestGreen><b>vtr.imper.:</b></font> Atsujkacha
¡Frítenlo!	Freir algún alimento. <font color=ForestGreen><b>vtr.imper.:</b></font> Asuu'a
Su sartén	<font color=ForestGreen><b>adj.dem.:</b></font> Asuuneresi
Sucio	Lugar que tiene polvo, basura, manchas o impurezas. <font color=ForestGreen><b>adj.:</b></font> Ata
¡Búsquenlo!	Hacer lo necesario para encontrar o hallar a una persona. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Atanka
Sus glúteos	Señala parte carnosa y redondeada del cuerpo humano que forman esos músculos. <font color=ForestGreen><b>n.anat.pron.dem.:</b></font> Atete
Hermano(a) menor	Consanguíneo que es el último de los hermanos. <font color=ForestGreen><b>n.m.f.:</b></font> Ati
¡Hablen sin rodeo!	Mantener una conversación con otra u otras personas acerca de un asunto sin divagación. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Atpemo
Sus canillas	<font color=ForestGreen><b>adj.dem.:</b></font> Atsánogi
¡Jueguen!	Realizar una actividad ejercitando alguna capacidad o destreza, con el fin de divertirse o entretenerse. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Átsaru
¡Jueguen bien!	<font color=ForestGreen><b>v.imper.:</b></font> Atsarugnenajicha
¡Jueguen de una vez!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Atsarupo
