acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
arz	<font color=#2E8B57>ESP:</font> estrenar\n<font color=blue>AYM:</font> istrinaña\n<font color=#FF8C00>ENG:</font> to use for the first time
arz	<font color=#2E8B57>ESP:</font> dejar una cosa que no le gusta\n<font color=blue>AYM:</font> apamukaña\n<font color=#FF8C00>ENG:</font> to leave something you don't like
as	<font color=#2E8B57>ESP:</font> picchar, masticar coca\n<font color=blue>AYM:</font> ak'ullt'aña\n<font color=#FF8C00>ENG:</font> to chew coca
asi	<font color=#2E8B57>ESP:</font> comida espesa, comida de lawa\n<font color=blue>AYM:</font> lawa\n<font color=#FF8C00>ENG:</font> porridge
asintiz	<font color=#2E8B57>ESP:</font> asentar, colocar\n<font color=blue>AYM:</font> asintaña, uchaña\n<font color=#FF8C00>ENG:</font> to settle, to place
asiptiz	<font color=#2E8B57>ESP:</font> aceptar\n<font color=blue>AYM:</font> iyaw saña\n<font color=#FF8C00>ENG:</font> to accept
asirtiz	<font color=#2E8B57>ESP:</font> hacer sin falla, acertar\n<font color=blue>AYM:</font> asirtaña\n<font color=#FF8C00>ENG:</font> to do without fail
asirtiz	<font color=#2E8B57>ESP:</font> dar impacto\n<font color=blue>AYM:</font> asirtaña\n<font color=#FF8C00>ENG:</font> to hit
asiti	<font color=#2E8B57>ESP:</font> aceite\n<font color=blue>AYM:</font> asiyti\n<font color=#FF8C00>ENG:</font> oil (for cooking)
astuna	<font color=#2E8B57>ESP:</font> azadón\n<font color=blue>AYM:</font> asaruna\n<font color=#FF8C00>ENG:</font> large hoe
asza	<font color=#2E8B57>ESP:</font> arder\n<font color=blue>AYM:</font> lakhaña\n<font color=#FF8C00>ENG:</font> to burn
at k'ara	<font color=#2E8B57>ESP:</font> sin dientes\n<font color=blue>AYM:</font> jan k'amani\n<font color=#FF8C00>ENG:</font> toothless
at pjasara	<font color=#2E8B57>ESP:</font> con dientes gastados\n<font color=blue>AYM:</font> k'ama yastata\n<font color=#FF8C00>ENG:</font> with small worn teeth
ata	<font color=#2E8B57>ESP:</font> boca\n<font color=blue>AYM:</font> laka\n<font color=#FF8C00>ENG:</font> mouth
ata alajja	<font color=#2E8B57>ESP:</font> puras palabras (sin hechos)\n<font color=blue>AYM:</font> inak arusi\n<font color=#FF8C00>ENG:</font> just talk (no action)
atinaru	<font color=#2E8B57>ESP:</font> orgulloso\n<font color=blue>AYM:</font> atinaru\n<font color=#FF8C00>ENG:</font> proud
atipz	<font color=#2E8B57>ESP:</font> ganar, vencer\n<font color=blue>AYM:</font> atipaña\n<font color=#FF8C00>ENG:</font> to win, to defeat
atipz	<font color=#2E8B57>ESP:</font> escapar\n<font color=blue>AYM:</font> t'ijtaña, t'ijtas atipaña\n<font color=#FF8C00>ENG:</font> to escape
atñic̈ha	<font color=#2E8B57>ESP:</font> poder\n<font color=blue>AYM:</font> atiña\n<font color=#FF8C00>ENG:</font> to be able to
atñic̈ha	<font color=#2E8B57>ESP:</font> hacer, preparar\n<font color=blue>AYM:</font> kisu luraña\n<font color=#FF8C00>ENG:</font> to make, to prepare
atpulu	<font color=#2E8B57>ESP:</font> labio\n<font color=blue>AYM:</font> phisphi\n<font color=#FF8C00>ENG:</font> lip
atupi	<font color=#2E8B57>ESP:</font> adobe\n<font color=blue>AYM:</font> atuwi\n<font color=#FF8C00>ENG:</font> adobe, mud brick
atz̈a	<font color=#2E8B57>ESP:</font> recorrer\n<font color=blue>AYM:</font> suchuña\n<font color=#FF8C00>ENG:</font> to travel through
awalla	<font color=#2E8B57>ESP:</font> pañal\n<font color=blue>AYM:</font> jananta\n<font color=#FF8C00>ENG:</font> diaper
awantiz	<font color=#2E8B57>ESP:</font> aguantar\n<font color=blue>AYM:</font> awantaña\n<font color=#FF8C00>ENG:</font> to endure
awarinti	<font color=#2E8B57>ESP:</font> agua ardiente, alcohol\n<font color=blue>AYM:</font> awarinti\n<font color=#FF8C00>ENG:</font> alcohol, liquor
awatir turu	<font color=#2E8B57>ESP:</font> macho grande del rebaño\n<font color=blue>AYM:</font> awatir turu (jañachu)\n<font color=#FF8C00>ENG:</font> big male, leader of the herd
awatiri	<font color=#2E8B57>ESP:</font> pastor\n<font color=blue>AYM:</font> awatiri\n<font color=#FF8C00>ENG:</font> shepherd
awayt'iz	<font color=#2E8B57>ESP:</font> espiar\n<font color=blue>AYM:</font> awatiña, iñaña\n<font color=#FF8C00>ENG:</font> to spy
awchi	<font color=#2E8B57>ESP:</font> mojado\n<font color=blue>AYM:</font> jawch'i, llawch'i\n<font color=#FF8C00>ENG:</font> wet
awi	<font color=#2E8B57>ESP:</font> húmedo\n<font color=blue>AYM:</font> murintata\n<font color=#FF8C00>ENG:</font> humid, damp
awjz	<font color=#2E8B57>ESP:</font> lavar\n<font color=blue>AYM:</font> jariña, t'axsaña\n<font color=#FF8C00>ENG:</font> to wash
awquichu	<font color=#2E8B57>ESP:</font> sacrificador\n<font color=blue>AYM:</font> wilanchiri, luqiri\n<font color=#FF8C00>ENG:</font> one who sacrifices
awti = awti timpu	<font color=#2E8B57>ESP:</font> invierno\n<font color=blue>AYM:</font> awti\n<font color=#FF8C00>ENG:</font> winter
awz	<font color=#2E8B57>ESP:</font> mojar\n<font color=blue>AYM:</font> murintaña\n<font color=#FF8C00>ENG:</font> to wet
aya	<font color=#2E8B57>ESP:</font> frente\n<font color=blue>AYM:</font> phara\n<font color=#FF8C00>ENG:</font> forehead
ayi maaz	<font color=#2E8B57>ESP:</font> piedra dura\n<font color=blue>AYM:</font> uqi qala, urqu qala, thuru qala\n<font color=#FF8C00>ENG:</font> hard rock
ayinz	<font color=#2E8B57>ESP:</font> doler\n<font color=blue>AYM:</font> usuña\n<font color=#FF8C00>ENG:</font> to hurt
ayllu	<font color=#2E8B57>ESP:</font> ayllu, comunidad indígena\n<font color=blue>AYM:</font> ayllu\n<font color=#FF8C00>ENG:</font> indigenous community
aynacha	<font color=#2E8B57>ESP:</font> bajada\n<font color=blue>AYM:</font> aynacha, irana\n<font color=#FF8C00>ENG:</font> slope (downward)
ayni	<font color=#2E8B57>ESP:</font> trabajo colectivo\n<font color=blue>AYM:</font> ayni\n<font color=#FF8C00>ENG:</font> collective work
aynijjaz	<font color=#2E8B57>ESP:</font> trabajo recíproco\n<font color=blue>AYM:</font> aynjaña\n<font color=#FF8C00>ENG:</font> reciprocal work, to work for one another
ayp'ulu	<font color=#2E8B57>ESP:</font> con frente grande\n<font color=blue>AYM:</font> jach'a parani\n<font color=#FF8C00>ENG:</font> having a large forehead
ayrampu	<font color=#2E8B57>ESP:</font> ayrampu (planta con espinas)\n<font color=blue>AYM:</font> ayrampu\n<font color=#FF8C00>ENG:</font> mountain cactus
ayt'az	<font color=#2E8B57>ESP:</font> jactarse de\n<font color=blue>AYM:</font> ayt'asiña\n<font color=#FF8C00>ENG:</font> to boast about
aytirz	<font color=#2E8B57>ESP:</font> enjuagar\n<font color=blue>AYM:</font> aytiraña\n<font color=#FF8C00>ENG:</font> to rinse
aytiz	<font color=#2E8B57>ESP:</font> pasar lista\n<font color=blue>AYM:</font> sutinak aytaña\n<font color=#FF8C00>ENG:</font> to call (a roll)
ayuna	<font color=#2E8B57>ESP:</font> ayuna\n<font color=blue>AYM:</font> ayuna\n<font color=#FF8C00>ENG:</font> fast, abstention from food
ayunaz	<font color=#2E8B57>ESP:</font> ayunar\n<font color=blue>AYM:</font> ayunaña\n<font color=#FF8C00>ENG:</font> to fast
ayz	<font color=#2E8B57>ESP:</font> celar\n<font color=blue>AYM:</font> tumpaña, silaña\n<font color=#FF8C00>ENG:</font> to watch over
az	<font color=#2E8B57>ESP:</font> vergüenza\n<font color=blue>AYM:</font> p'inqaña\n<font color=#FF8C00>ENG:</font> embarrassment
azaka	<font color=#2E8B57>ESP:</font> raya blanca en urcju (vestido de mujeres)\n<font color=blue>AYM:</font> asaqa\n<font color=#FF8C00>ENG:</font> white stripe on women's dress
azanpanti	<font color=#2E8B57>ESP:</font> de vergüenza\n<font color=blue>AYM:</font> p'inqasita\n<font color=#FF8C00>ENG:</font> from shame
azazñi	<font color=#2E8B57>ESP:</font> muy vergonzoso\n<font color=blue>AYM:</font> p'inqasiri\n<font color=#FF8C00>ENG:</font> very shy, very bashful
azi	<font color=#2E8B57>ESP:</font> fuerza\n<font color=blue>AYM:</font> ch'ama\n<font color=#FF8C00>ENG:</font> strength
azi wejlz	<font color=#2E8B57>ESP:</font> medir fuerzas (personas)\n<font color=blue>AYM:</font> ch'amtasiña, ch'amtapiña\n<font color=#FF8C00>ENG:</font> to compare one's strength (persons)
azinz	<font color=#2E8B57>ESP:</font> enfermarse\n<font color=blue>AYM:</font> ususiña\n<font color=#FF8C00>ENG:</font> to fall ill
azkara	<font color=#2E8B57>ESP:</font> hombro\n<font color=blue>AYM:</font> kallachi\n<font color=#FF8C00>ENG:</font> shoulder
aznu	<font color=#2E8B57>ESP:</font> burro\n<font color=blue>AYM:</font> asnu, tumiritu\n<font color=#FF8C00>ENG:</font> donkey
azñi	<font color=#2E8B57>ESP:</font> vergonzoso\n<font color=blue>AYM:</font> jiwtasiri\n<font color=#FF8C00>ENG:</font> shy, bashful
azquichz	<font color=#2E8B57>ESP:</font> arreglar, resolver problemas\n<font color=blue>AYM:</font> askiraña\n<font color=#FF8C00>ENG:</font> to fix, to resolve
azquiz atinaru	<font color=#2E8B57>ESP:</font> abusivo\n<font color=blue>AYM:</font> iñisiri, ch'amar atiniru\n<font color=#FF8C00>ENG:</font> abusive, bully
azti chuwa	<font color=#2E8B57>ESP:</font> plato pequeño\n<font color=blue>AYM:</font> sik'a chuwa\n<font color=#FF8C00>ENG:</font> small plate
aztiz	<font color=#2E8B57>ESP:</font> trasladar (uno por uno)\n<font color=blue>AYM:</font> llamparaña\n<font color=#FF8C00>ENG:</font> to move things one by one
aztiz	<font color=#2E8B57>ESP:</font> llevar\n<font color=blue>AYM:</font> apaña\n<font color=#FF8C00>ENG:</font> to carry
azt'iz	<font color=#2E8B57>ESP:</font> quemar incienso, sahumar\n<font color=blue>AYM:</font> ast'aña\n<font color=#FF8C00>ENG:</font> to burn incense
az̈k (pizc simana)	<font color=#2E8B57>ESP:</font> hace (dos semanas)\n<font color=blue>AYM:</font> pä simanata, pä simanaxina\n<font color=#FF8C00>ENG:</font> (two weeks) ago
az̈ka	<font color=#2E8B57>ESP:</font> lejos (en tiempo)\n<font color=blue>AYM:</font> jaya\n<font color=#FF8C00>ENG:</font> far away (time)
az̈kpacha	<font color=#2E8B57>ESP:</font> hace largo rato\n<font color=blue>AYM:</font> jayapachata\n<font color=#FF8C00>ENG:</font> a long time ago
az̈quin	<font color=#2E8B57>ESP:</font> lejos (en distancia)\n<font color=blue>AYM:</font> khuri\n<font color=#FF8C00>ENG:</font> far away (in distance)
cacuna	<font color=#2E8B57>ESP:</font> red para pescar\n<font color=blue>AYM:</font> qäna, saqaña, llika\n<font color=#FF8C00>ENG:</font> fish net
cacharpaya	<font color=#2E8B57>ESP:</font> despedida de la fiesta\n<font color=blue>AYM:</font> kacharpaya\n<font color=#FF8C00>ENG:</font> last part of festival
cachina	<font color=#2E8B57>ESP:</font> bolita\n<font color=blue>AYM:</font> kachina\n<font color=#FF8C00>ENG:</font> marble (toy)
caja	<font color=#2E8B57>ESP:</font> tambor\n<font color=blue>AYM:</font> kaja\n<font color=#FF8C00>ENG:</font> small drum
cajitira	<font color=#2E8B57>ESP:</font> viandera, jarra con tapa para guardar comidas\n<font color=blue>AYM:</font> kajitira\n<font color=#FF8C00>ENG:</font> can with lid to store food
cajlz	<font color=#2E8B57>ESP:</font> sacar pelo de barba uno por uno\n<font color=blue>AYM:</font> chhunkha p'ataña\n<font color=#FF8C00>ENG:</font> to pull out hairs one by one
cajlz	<font color=#2E8B57>ESP:</font> sacar planta con la raíz\n<font color=blue>AYM:</font> jik'iraña\n<font color=#FF8C00>ENG:</font> to uproot
cajun cajuna	<font color=#2E8B57>ESP:</font> figuras en los tejidos\n<font color=blue>AYM:</font> salta\n<font color=#FF8C00>ENG:</font> weaving pattern
cajuyla	<font color=#2E8B57>ESP:</font> cajita o vitrina de santos\n<font color=blue>AYM:</font> kajuyla\n<font color=#FF8C00>ENG:</font> small box/display case for saints
calawina	<font color=#2E8B57>ESP:</font> rosado\n<font color=blue>AYM:</font> anti\n<font color=#FF8C00>ENG:</font> pink, fuchsia
calsa	<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (negro/café y blanco)\n<font color=blue>AYM:</font> alqa\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (black/brown and white)
calzuna	<font color=#2E8B57>ESP:</font> pantalones\n<font color=blue>AYM:</font> calzuna\n<font color=#FF8C00>ENG:</font> trousers, pants
callacalla = araña	<font color=#2E8B57>ESP:</font> araña\n<font color=blue>AYM:</font> kusi kusi\n<font color=#FF8C00>ENG:</font> spider
callca	<font color=#2E8B57>ESP:</font> lastimado, herido\n<font color=blue>AYM:</font> usuchjata\n<font color=#FF8C00>ENG:</font> injured, wounded
callu	<font color=#2E8B57>ESP:</font> medio urcju, costura de urcju\n<font color=blue>AYM:</font> ch'uku\n<font color=#FF8C00>ENG:</font> half of woman's dress, seam of woman's dress
callz	<font color=#2E8B57>ESP:</font> llevar una persona (en camilla)\n<font color=blue>AYM:</font> kallaña\n<font color=#FF8C00>ENG:</font> to carry a person (on a stretcher)
cama	<font color=#2E8B57>ESP:</font> medida para tejer\n<font color=blue>AYM:</font> tupu\n<font color=#FF8C00>ENG:</font> weaving measurement
-cama	<font color=#2E8B57>ESP:</font> hasta\n<font color=blue>AYM:</font> -kama\n<font color=#FF8C00>ENG:</font> up to, as far as
-cama	<font color=#2E8B57>ESP:</font> puro, solamente\n<font color=blue>AYM:</font> -kama\n<font color=#FF8C00>ENG:</font> only
camana	<font color=#2E8B57>ESP:</font> espacio ceremonial en una casa\n<font color=blue>AYM:</font> qamañ tayka\n<font color=#FF8C00>ENG:</font> ceremonial space in a house
campalachi	<font color=#2E8B57>ESP:</font> laringe\n<font color=blue>AYM:</font> surunqu\n<font color=#FF8C00>ENG:</font> larynx
campanturi = turi	<font color=#2E8B57>ESP:</font> torre\n<font color=blue>AYM:</font> turi\n<font color=#FF8C00>ENG:</font> tower
campiiz	<font color=#2E8B57>ESP:</font> cambiar, intercambiar\n<font color=blue>AYM:</font> chhalaña, turkaña\n<font color=#FF8C00>ENG:</font> to change, to exchange (goods)
campiyaz	<font color=#2E8B57>ESP:</font> cambiar\n<font color=blue>AYM:</font> kampiyaña, kampiytaña\n<font color=#FF8C00>ENG:</font> to replace (people)
canca	<font color=#2E8B57>ESP:</font> carne asada\n<font color=blue>AYM:</font> kanka\n<font color=#FF8C00>ENG:</font> roasted meat
canz	<font color=#2E8B57>ESP:</font> ganar\n<font color=blue>AYM:</font> yanaña\n<font color=#FF8C00>ENG:</font> to win
caña	<font color=#2E8B57>ESP:</font> caña\n<font color=blue>AYM:</font> tuqura\n<font color=#FF8C00>ENG:</font> cane (plant)
caprichu	<font color=#2E8B57>ESP:</font> caprichoso\n<font color=blue>AYM:</font> munañani, q'illukhumu\n<font color=#FF8C00>ENG:</font> capricious
caps	<font color=#2E8B57>ESP:</font> envolver\n<font color=blue>AYM:</font> k'iruña\n<font color=#FF8C00>ENG:</font> to wrap up
capujz	<font color=#2E8B57>ESP:</font> vender más barato que otros, regatear\n<font color=blue>AYM:</font> kapujaña\n<font color=#FF8C00>ENG:</font> to have a sale, to sell cheaply, to sell quickly
capuna	<font color=#2E8B57>ESP:</font> castrado\n<font color=blue>AYM:</font> kapata\n<font color=#FF8C00>ENG:</font> castrated
capunturu	<font color=#2E8B57>ESP:</font> macho castrado\n<font color=blue>AYM:</font> kapuna\n<font color=#FF8C00>ENG:</font> castrated male
caputi	<font color=#2E8B57>ESP:</font> abrigo\n<font color=blue>AYM:</font> awriwu\n<font color=#FF8C00>ENG:</font> overcoat
capz	<font color=#2E8B57>ESP:</font> castrar\n<font color=blue>AYM:</font> kapaña\n<font color=#FF8C00>ENG:</font> to castrate
cara	<font color=#2E8B57>ESP:</font> ancho\n<font color=blue>AYM:</font> jach'a\n<font color=#FF8C00>ENG:</font> wide
caraju	<font color=#2E8B57>ESP:</font> palabra de enojo, voz malsonante\n<font color=blue>AYM:</font> karaju\n<font color=#FF8C00>ENG:</font> swear word
caranu	<font color=#2E8B57>ESP:</font> lo mejor en la producción agrícola\n<font color=blue>AYM:</font> sumall puquta\n<font color=#FF8C00>ENG:</font> the best agricultural product
carañu	<font color=#2E8B57>ESP:</font> macho grande del cerdo\n<font color=blue>AYM:</font> jach'a khuchi\n<font color=#FF8C00>ENG:</font> male pig who watches over the herd
carina	<font color=#2E8B57>ESP:</font> cadena\n<font color=blue>AYM:</font> karina\n<font color=#FF8C00>ENG:</font> chain
cariru	<font color=#2E8B57>ESP:</font> carero\n<font color=blue>AYM:</font> kariru, jiwakipata\n<font color=#FF8C00>ENG:</font> shopkeeper who charges excessive prices
carisma	<font color=#2E8B57>ESP:</font> tiempo de cuaresma\n<font color=blue>AYM:</font> kuwarisma\n<font color=#FF8C00>ENG:</font> Lent (40 days before Easter)
carnata	<font color=#2E8B57>ESP:</font> quinua rosada\n<font color=blue>AYM:</font> antijuyra\n<font color=#FF8C00>ENG:</font> type of quinua (pinkish)
carpuna	<font color=#2E8B57>ESP:</font> carbón\n<font color=blue>AYM:</font> karwuna\n<font color=#FF8C00>ENG:</font> coal, charcoal
carsila	<font color=#2E8B57>ESP:</font> cárcel\n<font color=blue>AYM:</font> karsila\n<font color=#FF8C00>ENG:</font> jail
cartuna	<font color=#2E8B57>ESP:</font> caja (cartón)\n<font color=blue>AYM:</font> cartuna\n<font color=#FF8C00>ENG:</font> (cardboard) box
carunz	<font color=#2E8B57>ESP:</font> poner carona (en animales)\n<font color=blue>AYM:</font> karunaña\n<font color=#FF8C00>ENG:</font> to put a cloth on animals (to protect their body)
caruti	<font color=#2E8B57>ESP:</font> palo\n<font color=blue>AYM:</font> lawa / k'ullu\n<font color=#FF8C00>ENG:</font> club, stick
carwansa	<font color=#2E8B57>ESP:</font> garbanzo\n<font color=blue>AYM:</font> carwansu\n<font color=#FF8C00>ENG:</font> garbanzo bean plant
casarz	<font color=#2E8B57>ESP:</font> casarse\n<font color=blue>AYM:</font> kasarasiña, warmichasiña, chachasiña\n<font color=#FF8C00>ENG:</font> to get married
casi	<font color=#2E8B57>ESP:</font> igualar\n<font color=blue>AYM:</font> purapachaña\n<font color=#FF8C00>ENG:</font> to be the same
casiz	<font color=#2E8B57>ESP:</font> igualado\n<font color=blue>AYM:</font> purapacha\n<font color=#FF8C00>ENG:</font> the same
casticz	<font color=#2E8B57>ESP:</font> castigar\n<font color=blue>AYM:</font> kastiyaña\n<font color=#FF8C00>ENG:</font> to punish
castillura	<font color=#2E8B57>ESP:</font> planta medicinal\n<font color=blue>AYM:</font> rura\n<font color=#FF8C00>ENG:</font> a medicinal plant
catalina	<font color=#2E8B57>ESP:</font> tipo de escarabajo\n<font color=blue>AYM:</font> katalina\n<font color=#FF8C00>ENG:</font> beetle
catalla	<font color=#2E8B57>ESP:</font> ropa que cabe bien\n<font color=blue>AYM:</font> isi katt'ata\n<font color=#FF8C00>ENG:</font> well fitting clothes
catokz	<font color=#2E8B57>ESP:</font> recibir, aceptar\n<font color=blue>AYM:</font> katuqaña\n<font color=#FF8C00>ENG:</font> to receive, to accept
caturiza	<font color=#2E8B57>ESP:</font> hambriento y aprovechador\n<font color=blue>AYM:</font> manq'aq'ara\n<font color=#FF8C00>ENG:</font> greedy, selfish (relating to food)
cawali	<font color=#2E8B57>ESP:</font> exacto, cabal\n<font color=blue>AYM:</font> kawala\n<font color=#FF8C00>ENG:</font> exact, precise
