a	Aka arsuxa laka manqhata arsuña sallawa.
achuqalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Niya uta utachaña tukt'ayasinwa, achuqalla thuqhupxi, machaqa utaninakaruwa, suma ixwt'asina asut'jaña yatipxi, jayllipaxa ukatatjamarakiwa wakt'ayata, juk'ampisa ñanqha ajayunakaru khitamuchuñatakiwa. <font color=blue>// Juwanchu tataxa, uta jiksxarakisa, achuqalla thuqhuri sarañasawa.</font>
achuxcha/jachuxcha	<font color=ForestGreen>st.</font> Achu. <font color=ForestGreen>/</font> Näyra pachanakatpacha aymaranakaxa yapuchapxirïtayna, yaqhipaxa qhana ch'uxña yaqha chiqanakanxa niya ch'iyara ch'uxña, puraka manqhipamxa ch'iyara chiranakanirakiwa, kust'ata ch'amanchirinakani sañäni <i>calcio, fosforo</i> ukhamaraki <i>hierro</i> ukaxa ch'akhanakaru amuytuqiru yanapt'i. <font color=blue>// Achuxchaxa ch'iyara chiraniwa. Awichajaxa achuxchampipiniwa manq'a phayasiri, jani ukampixa janiwa manq'a sumäkiti siriwa.</font>
achxayaña	<font color=ForestGreen>ar.</font> Jachxayaña. <font color=ForestGreen>/</font> Kuna pachasa khitisa kunsa mayt'asiña, mayiña munki, jachapampikiwa jikxataña munapxi. <font color=blue>// Uka imilla phunchhawiru jani ist'asisa sarantawaskakiwa awkiparu achxayawäsa. </font>
achuyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Puquyaña. Juyranaka achuyaña. Manq'añanaka yapuchasisa puquyañawa. <font color=blue>// Tata Lusikuxa qhini ch'uqi sumpini achuyaña yati. Markachirinakaxa wali suma apilla achuyaña yatipxi. </font>
achuyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Utt'ayaña. Mayawjaru kunsa acht'ayaña. <font color=blue>// Uywaxa uka q'ara uraqiruxa janiwa achuyaña atkthti, manq'añawa jani utjkiti. Waynanakasa tawaqunakasa pataruxa janiwa achuyañjamäkiti, jach'a markanaka uñtatakïpxiwa. </font>
ajä	(Chuyma p'arxta) Muspata arsuña. <font color=ForestGreen>/</font> Kuna katjasasa muspasa aru jiksuña. <font color=blue>// Ajä akatjämawa. Ajä katjayastasä, ukhampunïskataynasä. </font>
aja	<font color=ForestGreen>sm.</font> Q'aphi. ¡Aj!, ¡aj!, ¡aj! ajxsuñata juti. <font color=ForestGreen>/</font> Samanawa wali jaru q'aphi. Samanaxa aja ñanqha samanawa, uka samana aja mallintañaxa mallq'a ch'aphiriri. Yaqhipa yänaka phichhañaxa wali ajaniwa. <font color=blue>// Wayk'a chira nakhayañaxa ajawa. </font>
aja	<font color=ForestGreen>st.</font> Aja usu. <font color=ForestGreen>/</font> Chaja usu, chuyma usuxa mallq'a ajantatawa. <font color=blue>// Tatajaxa aja usumpiwa jiwi. Kullaka Maria Aja usuniwa. </font>
ajalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiqchi jaqi. Laru laru jaqi. <font color=ForestGreen>/</font> Jani suma chiqapa arsuri.  P'iqi waytiri, jach'a jach'a tukuri, t'aqhïñana sarnaqatapa jani amtasiri, uka jaqiruwa ajalla sapxi. <font color=blue>// Mayja ajalla jaqisa, ina ajallakisa arsuña yatixa, kunsa parlakiwa. Qullqininakaxa ajalla jaqiruwa tukupxi. Sixsi.</font>
ajaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font>  Malq'a usu, ch'uxu usu chhajata arusiña. Kuna pachasa thayjayasisa ch'uxu usu kattanxa uka urunakawa mallq'axa wañkati ukata ajañaxa utji. <font color=blue>// Thayampi ch'uñjayasisa ajaña. Markanakana ukhamaraki maya utjawinsa janiwa taqi kunasa khuskhäkiti jila sullkana amtanakapa amuyunakaxa mayjapuniwa ukanakana ajañaxa uñjasi. Tantachawinxa walikiwa pasi janiwa ajasiñaxa utjkänti. (Ch'uxuña, arusiña).</font>
ajanu/uñnaqa	<font color=ForestGreen>st.</font> <font color=ForestGreen>(pacha aru)</font> <font color=ForestGreen>/</font> Uñkataña ajanu. Jaqi ajanu. Ajanuxa jaqina uñnaqapawa. Ajanuxa parata qalltasina ankha tukuskamawa. Ajanuxa jaqi p'iqina, uywa p'iqina nayraxapawa, ukankiwa nayranaka, nasa, para, nayra phichhunaka ukhamaraki laka. Ajanuxa akjamanakawa utji: phich'u, thuru, jisk'a, sayt'u, thuru.  Uywanakasa jamach'inakasa ajanunirakiwa. <font color=blue>// Tawaquna ajanupaxa jiwakiwa. Uwija qalluxa ch'ixch'i ajanuniniwa. Sawutanakaxa ajanunirakiwa. </font>
ajanu/uñnaqa	<font color=ForestGreen>sm.</font> <font color=ForestGreen>(ajayu aru)</font>. <font color=ForestGreen>/</font> P'inqawisa jaqiruxa jani ajanuni sañawa. Jaqixa jani wali sarnaqi, jaqïña kankaña thakhinakata jaqixa pantamuku uka jaqina uñanaqapaxa mayjawa uñanaqxi. Ajanuwa jaqina chuymapawa kunjamasa ukxa uñacht'ayi. ajanupa wali llakitawa. Q'ala jani ajanuni ajayu saraqatasa. Uka jaqixa janiwa ajanunïkiti, markaru puriñapatakixa. <font color=blue>// Jani wali sarnaqiri jaqixa janiwa ajanunïkiti, markasaru puriñapatakixa. Kuna ajanumpisa uka jaqixa utaru jutani. Tata irpirixa pantasitaynawa jichhaxa kuna uñnaqanisa markachirirnakaru runkantanixa.</font>
ajara	<font color=ForestGreen>st.</font> aliwa. <font color=ForestGreen>/</font> Pampa jupha, juyra achu jani jaqina satata juphawa. Jallu pachana uka juphaxa ina ch'usata uñartakiwa, mach'a maranakana jila achu. Ajara jupaxa wali qullawa. Achachila, awicha usunakata qullasiñataki thaqhatawa. Ajara juphaxa jilpacha ch'amañchirinïtapata, ukhamarusa ch'amawa jiqxataña alañasa jila chanirakiwa, utjkïpanxa janchisaru ch'amanchañataki, manq'añaxa wakisiwa. <font color=blue>// Mach'a maranakanxa ajara juphapitawa jakaña. Ch'akha p'akitaru jank'aki jakañapataki ajara juphampi ñachxataña. Ajara juphaxa yapu thiyanakana achu.</font>
ajaraña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Janchi sip'uptaña. Janira pachapäkipana jaqi janchipana sip'uptata kuna llakitatsa sinti chuymanïkaspasa ukhama t'aqhi uñnaqani. <font color=blue>// Jaqixa llakisisa ajarañampiwa jiqxatasi. Wali t'aqisita jaqixa ajarañampiwa jikxatasi. </font>
ajarankhu	<font color=ForestGreen>st.</font> Laq'uwa. Pampana utjiriwa. <font color=ForestGreen>/</font> Mich'intiri jani walt'ayiri laq'u jisk'a jach'a kunaymani saminaka utji. <font color=blue>// Ajarankhu laq'uxa uka pampanakana waljawa utji.</font>
ajayu/qamasa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ajayuxa jani uñjkaya jaqiru apnaqiri samanawa, utjatapata jaqixa aka uraqina jaki. Qamasa jaqita jalaqaspa saraqaspa. <font color=blue>// Ajayuta asu wararuxa tuwaña saxrawa apaspa. Wawa usuta inasa ajayu jalaqayatachi, qullirimpi ajayu irpxatayañawa. Tatajaxa usutawa wali t'aqhisi ajayu irpxataytha, ukatpini saratatawayi. Jañayu. </font>
ajayuni	<font color=ForestGreen>sm.</font> <font color=ForestGreen>(ajayu aru)</font>.  <font color=ForestGreen>/</font> Jaqiki jaqixa ajayunipuniwa,  ajayunïtaslaykuwa jaqïtana. Jani ajayuni jaqixa jani chuyma ch'allxtayasiri jaqïwa, Ajayu saraqata jaqixa wali qhurüxaspawa, jaqi masiparusa wali ñanqhachaspa, ajayu saraqata jaqixa janiwa phuqhatäkxiti. Jaqïña kankañaxa janiwa utjkxaspati. Ajayu saraqata jaqixa jakkirpacha jiwata jaqiwa. <font color=blue>// Tataxa usuntata ajayupa saraqata, jani ajayuni ukata wakisiwa ajayu irpaxataña, sasawa yatirinakaxa sapxi. Uka warmixa wali saxra jani ajayunïpachaya.</font>
ajayuni	<font color=ForestGreen>sm.</font> <font color=ForestGreen>(Ajayu aru)</font> <font color=ForestGreen>/</font> Yänakasa, uywanakasa, achunakasa ajayuniwa. Taqi kunasa ajayuniwa, ajayu saraqatanakaxa ñanqhasiwimpiwa jiqxatasipxi. <font color=blue>// Taqikunasa yänakasa ajayuniwa. Jaqixa ajayu saraqatamakiwa sarnaqxapxi.</font>
ajipa	<font color=ForestGreen>st.</font> Achu. <font color=ForestGreen>/</font> Muxsa Achu, uraqi manqhana ch'uqjama achuri achuwa. Umani achuwa, umanïtapata chhujtayi janq'u samini achuwa. Qhirwa uraqinakana puqu, janiwa marpachana achkiti, awti pachanaka utji. Sinti misk'i manq'irinakataki wali suma qulla. <font color=blue>// Awtipachana ajipampi chuqupampiwa utjani. Ipalatajaxa junt'u markata ajipa walja apanitayna.</font>
ajlliña/chhijllaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Uywanaka, alinakata, yänakata wakisirkama chhijllasa, lakiña. Ukhamaraki walja jaqinakata mayniru chhijllaña. Uñakipasa wakiskirïpata pursuyaña, pallaña, pallaraña. Jach'a jach'a ajlliraña. Suma suma ajlliraña. <font color=blue>// Khariñataki urqu uwijanaka ajllsupxi. Jach'a ch'uqinaka ajlliriwa saräxa. </font>
ajllsuña/chhijllsuña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ch'uqixa jathataki, muntarañataki, ukhamaraki ch'uñuchañataki jalanuqasa ajllsuña. <font color=blue>// Ch'uqi mujutakixa suma nayraninakawa ajllsuña. Uwijaxa suma manq'ayañatakixa qallunkamakiwa ajllsuña. </font>
ajlliri	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Ajllirixa jaqiru sutichiriwa. Ajlliñataki kunatsa ajllini uka suma yatiñapawa. Yaqhipa jaqixa kunsa wali ajlliña yati. Manq'a ajlli, isi ajlli. Jupatakixa kunasa jani walikiskiwa. <font color=blue>// Aka manq'a janiwa sumäkiti, k'arawa. Aka qunuñaxa janiwa qunt'añjamäkiti, yaqha thaqasiñawa. Chhijlliri. </font>
ajllita/chhijllata	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Kikpakamaki ajllsuta. Maya uñtaskiriki ajllsuta, jach'asa jach'akamaki, jisk'asa jisk'akamaki chhijllata. <font color=blue>// Suma ajllita jathampiwa ch'uqi sataña ukawa  sumpuni achu. Jawasaxa ajllitjamapiniwa wali sumawa puqutayna.</font>
ajllimukuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chhijllamukuña. Jach'a jach'a pallarasa maysatuqiru apamukuña. Yaqhanakata amanuta ajllimukuña. <font color=blue>// Laq'uta ch'uqinaka jani piykatañapataki ajllimukuña.</font>
ajllirpayaña	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Chijllarpayaña. Wakt'ayasisa wakiskirimpi jani wakiskirimpi ajllirpayaña. <font color=blue>// Ñusata ch'uqinakaxa jani arkantañpataki ajllirpayaña. Chhijllarpayaña.</font>
ajllu	<font color=ForestGreen>st.</font> Ajlla, khakha. Khallu. <font color=ForestGreen>/</font> Jani suma qhana arsuri jaqi. wawatpacha muruq'u laxrani, aru jani suma jikikipiri. Khallu, jani amuykaya arsuri. jani suma qhana arsuri. <font color=blue>// kullaka Maria ajllu arusiña yati. Puqi lichi wawaru umayataxa ajllu khakhakiwa arsusipxi.</font>
ajnu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Llamp'u chuymani jaqi, jani walt'añanakansa jani thuqhtaskiri, wali amuyumpi sumañampikiwa arst'añapansa lurañapansa phuqht'arakispa, ukaruwa sata. Ukhamaraki jaqimpi jakasiri, jaqiparu wakisirinakana yanapt'iri jichuntata  uywanakaru sata. <font color=blue>// Uka jaqixa ajnu llamp'u chuymaniwa.</font>
ajnuña	<font color=ForestGreen>ar.</font> Chukaru uywanakaru phach'suña, jichuntayaña, sumañata qhurumpita jisk'atpacha yatichsuña. <font color=blue>// P'isaqa chhiwlinakaru ajnuña. Qaqiluruxa khumuñataki ajnuñawa.</font>
ajra	<font color=ForestGreen>sm.</font> Jach'a jach'a juyranakawa. Ch'uqiru sutichata. <font color=ForestGreen>/</font> Ajaraxa jach'pacha suma kasta ch'uqinakawa. jiliri jiliri jach'a ch'uqinakawa. Llamayuna, ch'uqi pallañana ajra ch'uqinakaxa yaqhapuniwa iraqasxaña, phunchhawinakana, jach'a urunakana phayasiñataki, imasiña. <font color=blue>// Kullakajaxa Ch'uqi ajrakamaki waxt'aniwayitu.</font>
ajara	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispalla. Jach'a ch'uqinaka, ch'uqina ajayupawa, ispalla mama sasa uruyañawa, uruyañatakiwa yaqhaki ajraxa iraqasiña, uka ajra ch'uqinakaxa ch'allt'asiñatakiwa imasipxaraki. <font color=blue>// Anata q'uwachawina, chakana phaxsina uruyaña. Ajra ch'uqixa, wawanakani, amparani, chhiqhanakani ukjamawa utji. </font>
aju	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> T'ikhillu. Ch'uwi. Llawu. Ajuxa muytkiri lurata iqawa. Kunkaru muytayaña, llawuntaña, ch'uwintaña. Kunaymani yänakata utji. Panqarata lurata, t'ikhilluwa utjaspa, t'arwarata lurata, samini ch'ankhata lurata utjaraki. Sirpintina sata, llaqa laphinakata luratasa utjraki. Mismita ajumpi qarwaru katjañataki ajuntayaña. Saykiri lawaru ch'ankha ajuntayaña. <font color=blue>// Kumuna awatirinakaru mara awatitapata t'ant'a pillu aju wakiyañawa. Ruskampi ajuntayaña. Anatana t'ikha ajunakampi uywanakaru uskuña. </font>
ajt'ayaña	<font color=ForestGreen>ar.</font> Ajuntaña. <font color=ForestGreen>/</font> Kunkata uywanakaru jiskhañataki jani ukaxa chint'añatakisa ajuntaña. <font color=blue>// Yapu taypi uywanaka anakiñatakixa ajt'ayañawa.</font>
ajuntaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Uywanakana kunkanakaparu anata k'illpha urunaka taqi kasta sami ch'ankhata wakt'ayatampi ajuntaña. <font color=blue>// K'illpata qarwanakaxa ajuntankamakiwa.</font>
ajunta	<font color=ForestGreen>st.</font> <font color=ForestGreen>(ajayu aru)</font> <font color=ForestGreen>/</font> Uywaruxa llump'aqa phaxsina Pacha Mamaru luqtañataki ajunta kunkaru uskuña suma k'achacht'ata. <font color=blue>// Uywaru kunkata ajunta uchantaña luqtawitaki.</font>
ajunta	<font color=ForestGreen>st.</font> <font color=ForestGreen>(pacha aru)</font>. <font color=ForestGreen>/</font> Uywankataki wiskhata wakt'ayata k'anata kunkaru ajuntayañatakiwa. <font color=blue>// Chukaru mulanakaruwa wiskhampi ajuntañäni.</font>
ajuntasiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jiwaspachpa uskuntasiña, kunkaru muyuntayasiña, llawunkasiña. Isi isintasiña. <font color=blue>// Kullakaja llint'akipata pullira ajuntasitayna. Jaqina isipaxa janiwa ajuntasiñäkiti. </font>
ajusa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Manq'aña qulla achu. <font color=blue>// Ajusa manq'ani jaqinakaruxa janiwa kuna ususa jank'aki katkarakispati. Ajusaxa lak'a usutaki qullawa.</font>
aka	Suti uñañchiri. <font color=ForestGreen>/</font> Uñachayaña, uñachayiri. Uñacht'ayiri aru, Jak'ata amparampi uñacht'ayaña. Uñjkaya yänaka wikucht'ayaña. Arsurina jak'apankiri ukanaka uñacht'ayaraki, khitisa juk'ampisa arst'kixa jupawa llamkht'asina uñacht'ayi. <font color=blue>// Aka isi nayankiwa. Aka urqu qarwaxa tatajankiwa. Aka wawajaxa wali usunk'allawa. Jakawixa aka pachana wali llakiwa. Jaqiruxa janiwa aka jaqi sasa wikuchasaxa janiwa sisksnati. Jani jaqirjama uñjatawa. </font>
akana	<font color=ForestGreen>am.</font> <font color=ForestGreen>/</font> Akawjana, akawjitana, akjaru. Mayuwja uraqi uñachayiri, jak'a uraqi uñtayiri. <font color=blue>// Akana kullakajaxa jakäna. Akana qamtha. Akana taqini tantachasiñäni.</font>
akankaña	<font color=ForestGreen>am.</font> <font color=ForestGreen>/</font> Mä chiqankaña. Mayuwjana qamaña. <font color=blue>// Kullakaxa akankañapawa. janiwa yaqhachaqaru sarañaxa wakisiti akankaña muntha.</font>
akaru	<font color=ForestGreen>am.</font> <font color=ForestGreen>/</font> Uñacht'aya mä chiqa uñacht'ayaña. <font color=blue>// Uka t'ant'a akaru uchañäni. Akaruwa puripxani.</font>
akapana	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Akapanaxa Tiwanaku markankiwa, qalanakampi pirqakipata qulluwa. <font color=blue>// Jaqinakaxa akapana uñjiriwa sarapxi. </font>
aka pacha	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Aka pachaxa utjktanxa, sarnaqapxktanxa uka uraqi uka pachawa, aka pachanxa jiwaskama uñt'asipxtanwa. Aka uraqpacha jakañana. Aka pacha, jani ukaxa, jichha pacha jakaña. Aka pachanxa Alaxa pacha, aka pacha, manqha pachawa uñjasi. <font color=blue>// Jaqinakaxa aka pachanxa jani pachanikiwa sarnaqasiptana. </font>
akärsa	<font color=ForestGreen>am.</font> Anchhitpacha, jichhpacha jank'aki kunsa phuqhaña. <font color=blue>// Akärsawa manqhaña, akärsa qhathuru puriñmänwa. akärsawa amtanaka qhantawiyañapa.</font>
akatjama/laqpacha	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Akatjamata kunsa yatiña, ist'aña. Mulljasiña yatiyawi. <font color=blue>// Ususiñaxa akatjama usuwa. Akatjamaki chhaqhtawayxi.</font>
akatjamata	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Janiwa amuyatäkanti, akatjamata, jani amtata, janiwa ukhamäspawa satäkansa, janirakiwa amtatäkansa, janirakiwa suyatäkansa. <font color=blue>// Akatjamata anqaxa markata yuqajaxa purt'ani. Akatjamata sarawaytha.</font>
akawa	Suti uñanchiri. <font color=ForestGreen>/</font> Akawa, akapuniskiwa. Akïriwa sasa khitisa arski jupawa uñacht'ayasïna, apt'asiña qhananchañapa. <font color=blue>// Akawa wali sumaxa. Akawa thaqatäskana.</font>
akawja	<font color=ForestGreen>am.</font> <font color=ForestGreen>/</font> Uñacht'ayaña. Akawja qhananchañatakixa wakisiwa uñacht'ayaña, janchisa uñxatasa uñacht'ayasina akawjawa wali usutu, uraqi uñxatasaxa akawjana aka chiqana walispa utachasiña. <font color=blue>// Akawjana masijampi jikisipta. Akawjana qamaqi uwija manq'antatayna.</font>
akäxa	<font color=ForestGreen>am.</font> <font color=ForestGreen>/</font> Jak'a. Kawkhanktanxa uka jak'anakana, qhipaxana, muyt'añana. <font color=blue>// Sarantaskakiñäni akäjaxiwa puriñampïtanwa. </font>
akch'a	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Akch'a sasa kunsa mayiñatakixa wakisiwa uñacht'ayaña suma uñjasa amuyaña, <font color=blue>// Akch'a ch'uqinaka muntha.  Akch'a muruq'u qalanakawa munasini. Akch'a lawanakawa wakisi utachañataki.</font>
akchamaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jach'a jach'a arsuri. Jach'a arupampi jasaki aka lurama, khaya qullu pataru sarañamawa, uka q'ipi aptanma, chika urukamaxa ch'uqi llamayuñaxa tukutäñapawa ukawa akchamañaxa. <font color=blue>// Siwara llawiña urutatataki tukuratawa.</font>
akchaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ukspacha luraña. Uñachxatayasa luraña. Akchañaxa jani ukaxa axtaña jani wali lurata. Jani suma, luratakixa ukaruwa sata. Kuna pachasa jani suma luraña yatitaki uka pachaxa kunasa janiwa jiwaki mistkaspati. Taqituqita taqimana lurañanaka lurasa lurasa kunsa jank'aki jikirtayaña. <font color=blue>// Uta akchaña luratarakisa, phaphasiskakiwa. Awayu sawutamaxa akchaña waru warunakani janipuniwa walïkiti. Q'apha jaqixa ukchasa akchasa jank'akiwa kunsa jikirtayi. Jayra jaqixa kunsa inamaya llamkhaski janiwa jank'asa kunsa jikirkiti.</font>
akch'a	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Qawqhch'a. Tupuña utjirinaka tupuña. Amparampi kayumpi qawqhch'asa uka wikucht'aña. <font color=blue>// Akcha ch'uqinaka llamayupxi. pullirapaxa akch'a ch'iyjatawa.</font>
akch'alala	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Suma uñjasa, amparampi aptasinsa jisk'akirakisa, ukch'akixa sasa. Kunjamati amtatakana ukata pisichi ukaxa akch'alalaxa sataraki. <font color=blue>// Uwija qalluxa akch'alalarakisa. Aychaxa akch'alalakiwa lakisi.</font>
akch'ataqi	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Ukch'ataqixa, ukchpacha wali jach'araki, kawch'aya wakischina ukata sinti jach'aruwa akch'ataqixa sataxi. <font color=blue>// Wawamaxa akch'ataqirakisa. Ch'uqi yapumaxa akch'akirakisa. </font>
akch'itaki	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Khithiti arski jupawa walja jisk'a jach'a yänaka taypita uñxatasina ukata uñacht'ayasa akch'itaki, sasa qhananchañapa. <font color=blue>// Mujutakixa akch'itakiwa ajllisiña. </font>
akhama	<font color=ForestGreen>am.</font> Akhamawa. <font color=ForestGreen>/</font> Akhama, akasa kipka, akaru uñtasiri, ukasa kipkaki, juk'ampisa ampararu aptasina uñacht'ayasa akaru uñtasiri. <font color=blue>// Akhamawa awayu sawuñaxa. akhama ch'uqi ajlliña. </font>
