acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
awalla	<font color=green>ESP:</font> pañal\n<font color=blue>AYM:</font> jananta\n<font color=orange>ENG:</font> diaper
awantiz	<font color=green>ESP:</font> aguantar\n<font color=blue>AYM:</font> awantaña\n<font color=orange>ENG:</font> to endure
awarinti	<font color=green>ESP:</font> agua ardiente, alcohol\n<font color=blue>AYM:</font> awarinti\n<font color=orange>ENG:</font> alcohol, liquor
awatir turu	<font color=green>ESP:</font> macho grande del rebaño\n<font color=blue>AYM:</font> awatir turu (jañachu)\n<font color=orange>ENG:</font> big male, leader of the herd
awatiri	<font color=green>ESP:</font> pastor\n<font color=blue>AYM:</font> awatiri\n<font color=orange>ENG:</font> shepherd
awayt'iz	<font color=green>ESP:</font> espiar\n<font color=blue>AYM:</font> awatiña, iñaña\n<font color=orange>ENG:</font> to spy
awchi	<font color=green>ESP:</font> mojado\n<font color=blue>AYM:</font> jawch'i, llawch'i\n<font color=orange>ENG:</font> wet
awi	<font color=green>ESP:</font> húmedo\n<font color=blue>AYM:</font> murintata\n<font color=orange>ENG:</font> humid, damp
awjz	<font color=green>ESP:</font> lavar\n<font color=blue>AYM:</font> jariña, t'axsaña\n<font color=orange>ENG:</font> to wash
awquichu	<font color=green>ESP:</font> sacrificador\n<font color=blue>AYM:</font> wilanchiri, luqiri\n<font color=orange>ENG:</font> one who sacrifices
awti = awti timpu	<font color=green>ESP:</font> invierno\n<font color=blue>AYM:</font> awti\n<font color=orange>ENG:</font> winter
awz	<font color=green>ESP:</font> mojar\n<font color=blue>AYM:</font> murintaña\n<font color=orange>ENG:</font> to wet
aya	<font color=green>ESP:</font> frente\n<font color=blue>AYM:</font> phara\n<font color=orange>ENG:</font> forehead
ayi maaz	<font color=green>ESP:</font> piedra dura\n<font color=blue>AYM:</font> uqi qala, urqu qala, thuru qala\n<font color=orange>ENG:</font> hard rock
ayinz	<font color=green>ESP:</font> doler\n<font color=blue>AYM:</font> usuña\n<font color=orange>ENG:</font> to hurt
ayllu	<font color=green>ESP:</font> ayllu, comunidad indígena\n<font color=blue>AYM:</font> ayllu\n<font color=orange>ENG:</font> indigenous community
aynacha	<font color=green>ESP:</font> bajada\n<font color=blue>AYM:</font> aynacha, irana\n<font color=orange>ENG:</font> slope (downward)
ayni	<font color=green>ESP:</font> trabajo colectivo\n<font color=blue>AYM:</font> ayni\n<font color=orange>ENG:</font> collective work
aynijjaz	<font color=green>ESP:</font> trabajo recíproco\n<font color=blue>AYM:</font> aynjaña\n<font color=orange>ENG:</font> reciprocal work, to work for one another
ayp'ulu	<font color=green>ESP:</font> con frente grande\n<font color=blue>AYM:</font> jach'a parani\n<font color=orange>ENG:</font> having a large forehead
ayrampu	<font color=green>ESP:</font> ayrampu (planta con espinas)\n<font color=blue>AYM:</font> ayrampu\n<font color=orange>ENG:</font> mountain cactus
ayt'az	<font color=green>ESP:</font> jactarse de\n<font color=blue>AYM:</font> ayt'asiña\n<font color=orange>ENG:</font> to boast about
aytirz	<font color=green>ESP:</font> enjuagar\n<font color=blue>AYM:</font> aytiraña\n<font color=orange>ENG:</font> to rinse
aytiz	<font color=green>ESP:</font> pasar lista\n<font color=blue>AYM:</font> sutinak aytaña\n<font color=orange>ENG:</font> to call (a roll)
ayuna	<font color=green>ESP:</font> ayuna\n<font color=blue>AYM:</font> ayuna\n<font color=orange>ENG:</font> fast, abstention from food
ayunaz	<font color=green>ESP:</font> ayunar\n<font color=blue>AYM:</font> ayunaña\n<font color=orange>ENG:</font> to fast
ayz	<font color=green>ESP:</font> celar\n<font color=blue>AYM:</font> tumpaña, silaña\n<font color=orange>ENG:</font> to watch over
az	<font color=green>ESP:</font> vergüenza\n<font color=blue>AYM:</font> p'inqaña\n<font color=orange>ENG:</font> embarrassment
azaka	<font color=green>ESP:</font> raya blanca en urcju (vestido de mujeres)\n<font color=blue>AYM:</font> asaqa\n<font color=orange>ENG:</font> white stripe on women's dress
azanpanti	<font color=green>ESP:</font> de vergüenza\n<font color=blue>AYM:</font> p'inqasita\n<font color=orange>ENG:</font> from shame
azazñi	<font color=green>ESP:</font> muy vergonzoso\n<font color=blue>AYM:</font> p'inqasiri\n<font color=orange>ENG:</font> very shy, very bashful
azi	<font color=green>ESP:</font> fuerza\n<font color=blue>AYM:</font> ch'ama\n<font color=orange>ENG:</font> strength
azi wejlz	<font color=green>ESP:</font> medir fuerzas (personas)\n<font color=blue>AYM:</font> ch'amtasiña, ch'amtapiña\n<font color=orange>ENG:</font> to compare one's strength (persons)
azinz	<font color=green>ESP:</font> enfermarse\n<font color=blue>AYM:</font> ususiña\n<font color=orange>ENG:</font> to fall ill
azkara	<font color=green>ESP:</font> hombro\n<font color=blue>AYM:</font> kallachi\n<font color=orange>ENG:</font> shoulder
aznu	<font color=green>ESP:</font> burro\n<font color=blue>AYM:</font> asnu, tumiritu\n<font color=orange>ENG:</font> donkey
azñi	<font color=green>ESP:</font> vergonzoso\n<font color=blue>AYM:</font> jiwtasiri\n<font color=orange>ENG:</font> shy, bashful
azquichz	<font color=green>ESP:</font> arreglar, resolver problemas\n<font color=blue>AYM:</font> askiraña\n<font color=orange>ENG:</font> to fix, to resolve
azquiz atinaru	<font color=green>ESP:</font> abusivo\n<font color=blue>AYM:</font> iñisiri, ch'amar atiniru\n<font color=orange>ENG:</font> abusive, bully
azti chuwa	<font color=green>ESP:</font> plato pequeño\n<font color=blue>AYM:</font> sik'a chuwa\n<font color=orange>ENG:</font> small plate
aztiz	<font color=green>ESP:</font> trasladar (uno por uno)\n<font color=blue>AYM:</font> llamparaña\n<font color=orange>ENG:</font> to move things one by one
aztiz	<font color=green>ESP:</font> llevar\n<font color=blue>AYM:</font> apaña\n<font color=orange>ENG:</font> to carry
azt'iz	<font color=green>ESP:</font> quemar incienso, sahumar\n<font color=blue>AYM:</font> ast'aña\n<font color=orange>ENG:</font> to burn incense
az̈k (pizc simana)	<font color=green>ESP:</font> hace (dos semanas)\n<font color=blue>AYM:</font> pä simanata, pä simanaxina\n<font color=orange>ENG:</font> (two weeks) ago
az̈ka	<font color=green>ESP:</font> lejos (en tiempo)\n<font color=blue>AYM:</font> jaya\n<font color=orange>ENG:</font> far away (time)
az̈kpacha	<font color=green>ESP:</font> hace largo rato\n<font color=blue>AYM:</font> jayapachata\n<font color=orange>ENG:</font> a long time ago
az̈quin	<font color=green>ESP:</font> lejos (en distancia)\n<font color=blue>AYM:</font> khuri\n<font color=orange>ENG:</font> far away (in distance)
cacuna	<font color=green>ESP:</font> red para pescar\n<font color=blue>AYM:</font> qäna, saqaña, llika\n<font color=orange>ENG:</font> fish net
cacharpaya	<font color=green>ESP:</font> despedida de la fiesta\n<font color=blue>AYM:</font> kacharpaya\n<font color=orange>ENG:</font> last part of festival
cachina	<font color=green>ESP:</font> bolita\n<font color=blue>AYM:</font> kachina\n<font color=orange>ENG:</font> marble (toy)
caja	<font color=green>ESP:</font> tambor\n<font color=blue>AYM:</font> kaja\n<font color=orange>ENG:</font> small drum
cajitira	<font color=green>ESP:</font> viandera, jarra con tapa para guardar comidas\n<font color=blue>AYM:</font> kajitira\n<font color=orange>ENG:</font> can with lid to store food
cajlz	<font color=green>ESP:</font> sacar pelo de barba uno por uno\n<font color=blue>AYM:</font> chhunkha p'ataña\n<font color=orange>ENG:</font> to pull out hairs one by one
cajlz	<font color=green>ESP:</font> sacar planta con la raíz\n<font color=blue>AYM:</font> jik'iraña\n<font color=orange>ENG:</font> to uproot
cajun cajuna	<font color=green>ESP:</font> figuras en los tejidos\n<font color=blue>AYM:</font> salta\n<font color=orange>ENG:</font> weaving pattern
cajuyla	<font color=green>ESP:</font> cajita o vitrina de santos\n<font color=blue>AYM:</font> kajuyla\n<font color=orange>ENG:</font> small box/display case for saints
calawina	<font color=green>ESP:</font> rosado\n<font color=blue>AYM:</font> anti\n<font color=orange>ENG:</font> pink, fuchsia
calsa	<font color=green>ESP:</font> combinación de dos colores de llama (negro/café y blanco)\n<font color=blue>AYM:</font> alqa\n<font color=orange>ENG:</font> combination of two colors on llama (black/brown and white)
calzuna	<font color=green>ESP:</font> pantalones\n<font color=blue>AYM:</font> calzuna\n<font color=orange>ENG:</font> trousers, pants
callacalla = araña	<font color=green>ESP:</font> araña\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> spider
callca	<font color=green>ESP:</font> lastimado, herido\n<font color=blue>AYM:</font> usuchjata\n<font color=orange>ENG:</font> injured, wounded
callu	<font color=green>ESP:</font> medio urcju, costura de urcju\n<font color=blue>AYM:</font> ch'uku\n<font color=orange>ENG:</font> half of woman's dress, seam of woman's dress
callz	<font color=green>ESP:</font> llevar una persona (en camilla)\n<font color=blue>AYM:</font> kallaña\n<font color=orange>ENG:</font> to carry a person (on a stretcher)
cama	<font color=green>ESP:</font> medida para tejer\n<font color=blue>AYM:</font> tupu\n<font color=orange>ENG:</font> weaving measurement
-cama	<font color=green>ESP:</font> hasta\n<font color=blue>AYM:</font> -kama\n<font color=orange>ENG:</font> up to, as far as
-cama	<font color=green>ESP:</font> puro, solamente\n<font color=blue>AYM:</font> -kama\n<font color=orange>ENG:</font> only
camana	<font color=green>ESP:</font> espacio ceremonial en una casa\n<font color=blue>AYM:</font> qamañ tayka\n<font color=orange>ENG:</font> ceremonial space in a house
campalachi	<font color=green>ESP:</font> laringe\n<font color=blue>AYM:</font> surunqu\n<font color=orange>ENG:</font> larynx
campanturi = turi	<font color=green>ESP:</font> torre\n<font color=blue>AYM:</font> turi\n<font color=orange>ENG:</font> tower
campiiz	<font color=green>ESP:</font> cambiar, intercambiar\n<font color=blue>AYM:</font> chhalaña, turkaña\n<font color=orange>ENG:</font> to change, to exchange (goods)
campiyaz	<font color=green>ESP:</font> cambiar\n<font color=blue>AYM:</font> kampiyaña, kampiytaña\n<font color=orange>ENG:</font> to replace (people)
canca	<font color=green>ESP:</font> carne asada\n<font color=blue>AYM:</font> kanka\n<font color=orange>ENG:</font> roasted meat
canz	<font color=green>ESP:</font> ganar\n<font color=blue>AYM:</font> yanaña\n<font color=orange>ENG:</font> to win
caña	<font color=green>ESP:</font> caña\n<font color=blue>AYM:</font> tuqura\n<font color=orange>ENG:</font> cane (plant)
caprichu	<font color=green>ESP:</font> caprichoso\n<font color=blue>AYM:</font> munañani, q'illukhumu\n<font color=orange>ENG:</font> capricious
caps	<font color=green>ESP:</font> envolver\n<font color=blue>AYM:</font> k'iruña\n<font color=orange>ENG:</font> to wrap up
capujz	<font color=green>ESP:</font> vender más barato que otros, regatear\n<font color=blue>AYM:</font> kapujaña\n<font color=orange>ENG:</font> to have a sale, to sell cheaply, to sell quickly
capuna	<font color=green>ESP:</font> castrado\n<font color=blue>AYM:</font> kapata\n<font color=orange>ENG:</font> castrated
capunturu	<font color=green>ESP:</font> macho castrado\n<font color=blue>AYM:</font> kapuna\n<font color=orange>ENG:</font> castrated male
caputi	<font color=green>ESP:</font> abrigo\n<font color=blue>AYM:</font> awriwu\n<font color=orange>ENG:</font> overcoat
capz	<font color=green>ESP:</font> castrar\n<font color=blue>AYM:</font> kapaña\n<font color=orange>ENG:</font> to castrate
cara	<font color=green>ESP:</font> ancho\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> wide
caraju	<font color=green>ESP:</font> palabra de enojo, voz malsonante\n<font color=blue>AYM:</font> karaju\n<font color=orange>ENG:</font> swear word
caranu	<font color=green>ESP:</font> lo mejor en la producción agrícola\n<font color=blue>AYM:</font> sumall puquta\n<font color=orange>ENG:</font> the best agricultural product
carañu	<font color=green>ESP:</font> macho grande del cerdo\n<font color=blue>AYM:</font> jach'a khuchi\n<font color=orange>ENG:</font> male pig who watches over the herd
carina	<font color=green>ESP:</font> cadena\n<font color=blue>AYM:</font> karina\n<font color=orange>ENG:</font> chain
cariru	<font color=green>ESP:</font> carero\n<font color=blue>AYM:</font> kariru, jiwakipata\n<font color=orange>ENG:</font> shopkeeper who charges excessive prices
carisma	<font color=green>ESP:</font> tiempo de cuaresma\n<font color=blue>AYM:</font> kuwarisma\n<font color=orange>ENG:</font> Lent (40 days before Easter)
carnata	<font color=green>ESP:</font> quinua rosada\n<font color=blue>AYM:</font> antijuyra\n<font color=orange>ENG:</font> type of quinua (pinkish)
carpuna	<font color=green>ESP:</font> carbón\n<font color=blue>AYM:</font> karwuna\n<font color=orange>ENG:</font> coal, charcoal
carsila	<font color=green>ESP:</font> cárcel\n<font color=blue>AYM:</font> karsila\n<font color=orange>ENG:</font> jail
cartuna	<font color=green>ESP:</font> caja (cartón)\n<font color=blue>AYM:</font> cartuna\n<font color=orange>ENG:</font> (cardboard) box
carunz	<font color=green>ESP:</font> poner carona (en animales)\n<font color=blue>AYM:</font> karunaña\n<font color=orange>ENG:</font> to put a cloth on animals (to protect their body)
caruti	<font color=green>ESP:</font> palo\n<font color=blue>AYM:</font> lawa / k'ullu\n<font color=orange>ENG:</font> club, stick
carwansa	<font color=green>ESP:</font> garbanzo\n<font color=blue>AYM:</font> carwansu\n<font color=orange>ENG:</font> garbanzo bean plant
casarz	<font color=green>ESP:</font> casarse\n<font color=blue>AYM:</font> kasarasiña, warmichasiña, chachasiña\n<font color=orange>ENG:</font> to get married
casi	<font color=green>ESP:</font> igualar\n<font color=blue>AYM:</font> purapachaña\n<font color=orange>ENG:</font> to be the same
casiz	<font color=green>ESP:</font> igualado\n<font color=blue>AYM:</font> purapacha\n<font color=orange>ENG:</font> the same
casticz	<font color=green>ESP:</font> castigar\n<font color=blue>AYM:</font> kastiyaña\n<font color=orange>ENG:</font> to punish
castillura	<font color=green>ESP:</font> planta medicinal\n<font color=blue>AYM:</font> rura\n<font color=orange>ENG:</font> a medicinal plant
catalina	<font color=green>ESP:</font> tipo de escarabajo\n<font color=blue>AYM:</font> katalina\n<font color=orange>ENG:</font> beetle
catalla	<font color=green>ESP:</font> ropa que cabe bien\n<font color=blue>AYM:</font> isi katt'ata\n<font color=orange>ENG:</font> well fitting clothes
catokz	<font color=green>ESP:</font> recibir, aceptar\n<font color=blue>AYM:</font> katuqaña\n<font color=orange>ENG:</font> to receive, to accept
caturiza	<font color=green>ESP:</font> hambriento y aprovechador\n<font color=blue>AYM:</font> manq'aq'ara\n<font color=orange>ENG:</font> greedy, selfish (relating to food)
cawali	<font color=green>ESP:</font> exacto, cabal\n<font color=blue>AYM:</font> kawala\n<font color=orange>ENG:</font> exact, precise
cawu	<font color=green>ESP:</font> mango, asa\n<font color=blue>AYM:</font> katu, katuña\n<font color=orange>ENG:</font> handle
cawz	<font color=green>ESP:</font> ponerse en cuclillas\n<font color=blue>AYM:</font> chukt'asiña, killtat ch'uktasiña\n<font color=orange>ENG:</font> to squat
caz	<font color=green>ESP:</font> obedecer\n<font color=blue>AYM:</font> kasuña, ist'aña\n<font color=orange>ENG:</font> to obey
cazta	<font color=green>ESP:</font> hija/hijo parecido a uno de los padres\n<font color=blue>AYM:</font> kasta\n<font color=orange>ENG:</font> daughter/son who is the very image of one of the parents
caztañu	<font color=green>ESP:</font> imagen de caballo\n<font color=blue>AYM:</font> lluch'ita\n<font color=orange>ENG:</font> image of horses (in church)
cjacja	<font color=green>ESP:</font> tartamudo\n<font color=blue>AYM:</font> khakha\n<font color=orange>ENG:</font> stammerer, stutterer
