abadesa	Aware:sa.
volcarse de un lado para otro	Volkato:choł.
voltear el cuerpo	Vola:kwa.
volver	Salmo.
volver a casa	Chona'naj.
volverse en	Volrada.
volverse pesado	Dino'ni.
volverse rojo	Rapalni.
vomitar	Lelkwa.
vomitar un líquido	Choya:lo.
voz gruesa	Wurultu.
y	Che.
ya	Jayna.
yacuma	Ya:koma.
Yalawma	(apellido) Yalawma.
ya vuelvo	Sala'mo.
yo	Ił.
yo	Inła.
yo	Iń.
yomomal	Betełkwammo.
yomomo	Betełkwa.
yuca	Chinała.
yuca frita	Deńchołpa.
zambullir	Luḿluḿ.
zapallo	Wa:ris.
zaraso	Sanuyni.
Zelady	(apellido) Sela:di.
zorrino	Wa'wa.
zorro	Pa:kona:na'.
zunchar algo para ver qué es	Chu:na.
