anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
awatir turu (jañachu)	<font color=red>CHP:</font> awatir turu\n<font color=green>ESP:</font> macho grande del rebaño\n<font color=orange>ENG:</font> big male, leader of the herd
awatiri	<font color=red>CHP:</font> awatiri\n<font color=green>ESP:</font> pastor\n<font color=orange>ENG:</font> shepherd
awatiña, iñaña	<font color=red>CHP:</font> awayt'iz\n<font color=green>ESP:</font> espiar\n<font color=orange>ENG:</font> to spy
jawch'i, llawch'i	<font color=red>CHP:</font> awchi\n<font color=green>ESP:</font> mojado\n<font color=orange>ENG:</font> wet
murintata	<font color=red>CHP:</font> awi\n<font color=green>ESP:</font> húmedo\n<font color=orange>ENG:</font> humid, damp
jariña, t'axsaña	<font color=red>CHP:</font> awjz\n<font color=green>ESP:</font> lavar\n<font color=orange>ENG:</font> to wash
wilanchiri, luqiri	<font color=red>CHP:</font> awquichu\n<font color=green>ESP:</font> sacrificador\n<font color=orange>ENG:</font> one who sacrifices
awti	<font color=red>CHP:</font> awti = awti timpu\n<font color=green>ESP:</font> invierno\n<font color=orange>ENG:</font> winter
murintaña	<font color=red>CHP:</font> awz\n<font color=green>ESP:</font> mojar\n<font color=orange>ENG:</font> to wet
phara	<font color=red>CHP:</font> aya\n<font color=green>ESP:</font> frente\n<font color=orange>ENG:</font> forehead
uqi qala, urqu qala, thuru qala	<font color=red>CHP:</font> ayi maaz\n<font color=green>ESP:</font> piedra dura\n<font color=orange>ENG:</font> hard rock
usuña	<font color=red>CHP:</font> ayinz\n<font color=green>ESP:</font> doler\n<font color=orange>ENG:</font> to hurt
ayllu	<font color=red>CHP:</font> ayllu\n<font color=green>ESP:</font> ayllu, comunidad indígena\n<font color=orange>ENG:</font> indigenous community
aynacha, irana	<font color=red>CHP:</font> aynacha\n<font color=green>ESP:</font> bajada\n<font color=orange>ENG:</font> slope (downward)
ayni	<font color=red>CHP:</font> ayni\n<font color=green>ESP:</font> trabajo colectivo\n<font color=orange>ENG:</font> collective work
aynjaña	<font color=red>CHP:</font> aynijjaz\n<font color=green>ESP:</font> trabajo recíproco\n<font color=orange>ENG:</font> reciprocal work, to work for one another
jach'a parani	<font color=red>CHP:</font> ayp'ulu\n<font color=green>ESP:</font> con frente grande\n<font color=orange>ENG:</font> having a large forehead
ayrampu	<font color=red>CHP:</font> ayrampu\n<font color=green>ESP:</font> ayrampu (planta con espinas)\n<font color=orange>ENG:</font> mountain cactus
ayt'asiña	<font color=red>CHP:</font> ayt'az\n<font color=green>ESP:</font> jactarse de\n<font color=orange>ENG:</font> to boast about
aytiraña	<font color=red>CHP:</font> aytirz\n<font color=green>ESP:</font> enjuagar\n<font color=orange>ENG:</font> to rinse
sutinak aytaña	<font color=red>CHP:</font> aytiz\n<font color=green>ESP:</font> pasar lista\n<font color=orange>ENG:</font> to call (a roll)
ayuna	<font color=red>CHP:</font> ayuna\n<font color=green>ESP:</font> ayuna\n<font color=orange>ENG:</font> fast, abstention from food
ayunaña	<font color=red>CHP:</font> ayunaz\n<font color=green>ESP:</font> ayunar\n<font color=orange>ENG:</font> to fast
tumpaña, silaña	<font color=red>CHP:</font> ayz\n<font color=green>ESP:</font> celar\n<font color=orange>ENG:</font> to watch over
p'inqaña	<font color=red>CHP:</font> az\n<font color=green>ESP:</font> vergüenza\n<font color=orange>ENG:</font> embarrassment
asaqa	<font color=red>CHP:</font> azaka\n<font color=green>ESP:</font> raya blanca en urcju (vestido de mujeres)\n<font color=orange>ENG:</font> white stripe on women's dress
p'inqasita	<font color=red>CHP:</font> azanpanti\n<font color=green>ESP:</font> de vergüenza\n<font color=orange>ENG:</font> from shame
p'inqasiri	<font color=red>CHP:</font> azazñi\n<font color=green>ESP:</font> muy vergonzoso\n<font color=orange>ENG:</font> very shy, very bashful
ch'ama	<font color=red>CHP:</font> azi\n<font color=green>ESP:</font> fuerza\n<font color=orange>ENG:</font> strength
ch'amtasiña, ch'amtapiña	<font color=red>CHP:</font> azi wejlz\n<font color=green>ESP:</font> medir fuerzas (personas)\n<font color=orange>ENG:</font> to compare one's strength (persons)
ususiña	<font color=red>CHP:</font> azinz\n<font color=green>ESP:</font> enfermarse\n<font color=orange>ENG:</font> to fall ill
kallachi	<font color=red>CHP:</font> azkara\n<font color=green>ESP:</font> hombro\n<font color=orange>ENG:</font> shoulder
asnu, tumiritu	<font color=red>CHP:</font> aznu\n<font color=green>ESP:</font> burro\n<font color=orange>ENG:</font> donkey
jiwtasiri	<font color=red>CHP:</font> azñi\n<font color=green>ESP:</font> vergonzoso\n<font color=orange>ENG:</font> shy, bashful
askiraña	<font color=red>CHP:</font> azquichz\n<font color=green>ESP:</font> arreglar, resolver problemas\n<font color=orange>ENG:</font> to fix, to resolve
iñisiri, ch'amar atiniru	<font color=red>CHP:</font> azquiz atinaru\n<font color=green>ESP:</font> abusivo\n<font color=orange>ENG:</font> abusive, bully
sik'a chuwa	<font color=red>CHP:</font> azti chuwa\n<font color=green>ESP:</font> plato pequeño\n<font color=orange>ENG:</font> small plate
llamparaña	<font color=red>CHP:</font> aztiz\n<font color=green>ESP:</font> trasladar (uno por uno)\n<font color=orange>ENG:</font> to move things one by one
apaña	<font color=red>CHP:</font> aztiz\n<font color=green>ESP:</font> llevar\n<font color=orange>ENG:</font> to carry
ast'aña	<font color=red>CHP:</font> azt'iz\n<font color=green>ESP:</font> quemar incienso, sahumar\n<font color=orange>ENG:</font> to burn incense
pä simanata, pä simanaxina	<font color=red>CHP:</font> az̈k (pizc simana)\n<font color=green>ESP:</font> hace (dos semanas)\n<font color=orange>ENG:</font> (two weeks) ago
jaya	<font color=red>CHP:</font> az̈ka\n<font color=green>ESP:</font> lejos (en tiempo)\n<font color=orange>ENG:</font> far away (time)
jayapachata	<font color=red>CHP:</font> az̈kpacha\n<font color=green>ESP:</font> hace largo rato\n<font color=orange>ENG:</font> a long time ago
khuri	<font color=red>CHP:</font> az̈quin\n<font color=green>ESP:</font> lejos (en distancia)\n<font color=orange>ENG:</font> far away (in distance)
qäna, saqaña, llika	<font color=red>CHP:</font> cacuna\n<font color=green>ESP:</font> red para pescar\n<font color=orange>ENG:</font> fish net
kacharpaya	<font color=red>CHP:</font> cacharpaya\n<font color=green>ESP:</font> despedida de la fiesta\n<font color=orange>ENG:</font> last part of festival
kachina	<font color=red>CHP:</font> cachina\n<font color=green>ESP:</font> bolita\n<font color=orange>ENG:</font> marble (toy)
kaja	<font color=red>CHP:</font> caja\n<font color=green>ESP:</font> tambor\n<font color=orange>ENG:</font> small drum
kajitira	<font color=red>CHP:</font> cajitira\n<font color=green>ESP:</font> viandera, jarra con tapa para guardar comidas\n<font color=orange>ENG:</font> can with lid to store food
chhunkha p'ataña	<font color=red>CHP:</font> cajlz\n<font color=green>ESP:</font> sacar pelo de barba uno por uno\n<font color=orange>ENG:</font> to pull out hairs one by one
jik'iraña	<font color=red>CHP:</font> cajlz\n<font color=green>ESP:</font> sacar planta con la raíz\n<font color=orange>ENG:</font> to uproot
salta	<font color=red>CHP:</font> cajun cajuna\n<font color=green>ESP:</font> figuras en los tejidos\n<font color=orange>ENG:</font> weaving pattern
kajuyla	<font color=red>CHP:</font> cajuyla\n<font color=green>ESP:</font> cajita o vitrina de santos\n<font color=orange>ENG:</font> small box/display case for saints
anti	<font color=red>CHP:</font> calawina\n<font color=green>ESP:</font> rosado\n<font color=orange>ENG:</font> pink, fuchsia
alqa	<font color=red>CHP:</font> calsa\n<font color=green>ESP:</font> combinación de dos colores de llama (negro/café y blanco)\n<font color=orange>ENG:</font> combination of two colors on llama (black/brown and white)
calzuna	<font color=red>CHP:</font> calzuna\n<font color=green>ESP:</font> pantalones\n<font color=orange>ENG:</font> trousers, pants
kusi kusi	<font color=red>CHP:</font> callacalla = araña\n<font color=green>ESP:</font> araña\n<font color=orange>ENG:</font> spider
usuchjata	<font color=red>CHP:</font> callca\n<font color=green>ESP:</font> lastimado, herido\n<font color=orange>ENG:</font> injured, wounded
ch'uku	<font color=red>CHP:</font> callu\n<font color=green>ESP:</font> medio urcju, costura de urcju\n<font color=orange>ENG:</font> half of woman's dress, seam of woman's dress
kallaña	<font color=red>CHP:</font> callz\n<font color=green>ESP:</font> llevar una persona (en camilla)\n<font color=orange>ENG:</font> to carry a person (on a stretcher)
tupu	<font color=red>CHP:</font> cama\n<font color=green>ESP:</font> medida para tejer\n<font color=orange>ENG:</font> weaving measurement
-kama	<font color=red>CHP:</font> -cama\n<font color=green>ESP:</font> hasta\n<font color=orange>ENG:</font> up to, as far as
-kama	<font color=red>CHP:</font> -cama\n<font color=green>ESP:</font> puro, solamente\n<font color=orange>ENG:</font> only
qamañ tayka	<font color=red>CHP:</font> camana\n<font color=green>ESP:</font> espacio ceremonial en una casa\n<font color=orange>ENG:</font> ceremonial space in a house
surunqu	<font color=red>CHP:</font> campalachi\n<font color=green>ESP:</font> laringe\n<font color=orange>ENG:</font> larynx
turi	<font color=red>CHP:</font> campanturi = turi\n<font color=green>ESP:</font> torre\n<font color=orange>ENG:</font> tower
chhalaña, turkaña	<font color=red>CHP:</font> campiiz\n<font color=green>ESP:</font> cambiar, intercambiar\n<font color=orange>ENG:</font> to change, to exchange (goods)
kampiyaña, kampiytaña	<font color=red>CHP:</font> campiyaz\n<font color=green>ESP:</font> cambiar\n<font color=orange>ENG:</font> to replace (people)
kanka	<font color=red>CHP:</font> canca\n<font color=green>ESP:</font> carne asada\n<font color=orange>ENG:</font> roasted meat
yanaña	<font color=red>CHP:</font> canz\n<font color=green>ESP:</font> ganar\n<font color=orange>ENG:</font> to win
tuqura	<font color=red>CHP:</font> caña\n<font color=green>ESP:</font> caña\n<font color=orange>ENG:</font> cane (plant)
munañani, q'illukhumu	<font color=red>CHP:</font> caprichu\n<font color=green>ESP:</font> caprichoso\n<font color=orange>ENG:</font> capricious
k'iruña	<font color=red>CHP:</font> caps\n<font color=green>ESP:</font> envolver\n<font color=orange>ENG:</font> to wrap up
kapujaña	<font color=red>CHP:</font> capujz\n<font color=green>ESP:</font> vender más barato que otros, regatear\n<font color=orange>ENG:</font> to have a sale, to sell cheaply, to sell quickly
kapata	<font color=red>CHP:</font> capuna\n<font color=green>ESP:</font> castrado\n<font color=orange>ENG:</font> castrated
kapuna	<font color=red>CHP:</font> capunturu\n<font color=green>ESP:</font> macho castrado\n<font color=orange>ENG:</font> castrated male
awriwu	<font color=red>CHP:</font> caputi\n<font color=green>ESP:</font> abrigo\n<font color=orange>ENG:</font> overcoat
kapaña	<font color=red>CHP:</font> capz\n<font color=green>ESP:</font> castrar\n<font color=orange>ENG:</font> to castrate
jach'a	<font color=red>CHP:</font> cara\n<font color=green>ESP:</font> ancho\n<font color=orange>ENG:</font> wide
karaju	<font color=red>CHP:</font> caraju\n<font color=green>ESP:</font> palabra de enojo, voz malsonante\n<font color=orange>ENG:</font> swear word
sumall puquta	<font color=red>CHP:</font> caranu\n<font color=green>ESP:</font> lo mejor en la producción agrícola\n<font color=orange>ENG:</font> the best agricultural product
jach'a khuchi	<font color=red>CHP:</font> carañu\n<font color=green>ESP:</font> macho grande del cerdo\n<font color=orange>ENG:</font> male pig who watches over the herd
karina	<font color=red>CHP:</font> carina\n<font color=green>ESP:</font> cadena\n<font color=orange>ENG:</font> chain
kariru, jiwakipata	<font color=red>CHP:</font> cariru\n<font color=green>ESP:</font> carero\n<font color=orange>ENG:</font> shopkeeper who charges excessive prices
kuwarisma	<font color=red>CHP:</font> carisma\n<font color=green>ESP:</font> tiempo de cuaresma\n<font color=orange>ENG:</font> Lent (40 days before Easter)
antijuyra	<font color=red>CHP:</font> carnata\n<font color=green>ESP:</font> quinua rosada\n<font color=orange>ENG:</font> type of quinua (pinkish)
karwuna	<font color=red>CHP:</font> carpuna\n<font color=green>ESP:</font> carbón\n<font color=orange>ENG:</font> coal, charcoal
karsila	<font color=red>CHP:</font> carsila\n<font color=green>ESP:</font> cárcel\n<font color=orange>ENG:</font> jail
cartuna	<font color=red>CHP:</font> cartuna\n<font color=green>ESP:</font> caja (cartón)\n<font color=orange>ENG:</font> (cardboard) box
karunaña	<font color=red>CHP:</font> carunz\n<font color=green>ESP:</font> poner carona (en animales)\n<font color=orange>ENG:</font> to put a cloth on animals (to protect their body)
lawa / k'ullu	<font color=red>CHP:</font> caruti\n<font color=green>ESP:</font> palo\n<font color=orange>ENG:</font> club, stick
carwansu	<font color=red>CHP:</font> carwansa\n<font color=green>ESP:</font> garbanzo\n<font color=orange>ENG:</font> garbanzo bean plant
kasarasiña, warmichasiña, chachasiña	<font color=red>CHP:</font> casarz\n<font color=green>ESP:</font> casarse\n<font color=orange>ENG:</font> to get married
purapachaña	<font color=red>CHP:</font> casi\n<font color=green>ESP:</font> igualar\n<font color=orange>ENG:</font> to be the same
purapacha	<font color=red>CHP:</font> casiz\n<font color=green>ESP:</font> igualado\n<font color=orange>ENG:</font> the same
kastiyaña	<font color=red>CHP:</font> casticz\n<font color=green>ESP:</font> castigar\n<font color=orange>ENG:</font> to punish
rura	<font color=red>CHP:</font> castillura\n<font color=green>ESP:</font> planta medicinal\n<font color=orange>ENG:</font> a medicinal plant
katalina	<font color=red>CHP:</font> catalina\n<font color=green>ESP:</font> tipo de escarabajo\n<font color=orange>ENG:</font> beetle
isi katt'ata	<font color=red>CHP:</font> catalla\n<font color=green>ESP:</font> ropa que cabe bien\n<font color=orange>ENG:</font> well fitting clothes
katuqaña	<font color=red>CHP:</font> catokz\n<font color=green>ESP:</font> recibir, aceptar\n<font color=orange>ENG:</font> to receive, to accept
manq'aq'ara	<font color=red>CHP:</font> caturiza\n<font color=green>ESP:</font> hambriento y aprovechador\n<font color=orange>ENG:</font> greedy, selfish (relating to food)
kawala	<font color=red>CHP:</font> cawali\n<font color=green>ESP:</font> exacto, cabal\n<font color=orange>ENG:</font> exact, precise
katu, katuña	<font color=red>CHP:</font> cawu\n<font color=green>ESP:</font> mango, asa\n<font color=orange>ENG:</font> handle
chukt'asiña, killtat ch'uktasiña	<font color=red>CHP:</font> cawz\n<font color=green>ESP:</font> ponerse en cuclillas\n<font color=orange>ENG:</font> to squat
kasuña, ist'aña	<font color=red>CHP:</font> caz\n<font color=green>ESP:</font> obedecer\n<font color=orange>ENG:</font> to obey
kasta	<font color=red>CHP:</font> cazta\n<font color=green>ESP:</font> hija/hijo parecido a uno de los padres\n<font color=orange>ENG:</font> daughter/son who is the very image of one of the parents
lluch'ita	<font color=red>CHP:</font> caztañu\n<font color=green>ESP:</font> imagen de caballo\n<font color=orange>ENG:</font> image of horses (in church)
khakha	<font color=red>CHP:</font> cjacja\n<font color=green>ESP:</font> tartamudo\n<font color=orange>ENG:</font> stammerer, stutterer
alikati	<font color=red>CHP:</font> cjacra\n<font color=green>ESP:</font> persona que camina rosco, con las piernas abiertas\n<font color=orange>ENG:</font> bow legged
khakhaña	<font color=red>CHP:</font> cjacs\n<font color=green>ESP:</font> abrir/sacar con fuerza\n<font color=orange>ENG:</font> to open/to remove forcefully
