anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
ak'ullt'aña	<font color=red>CHP:</font> as\n<font color=#2E8B57>ESP:</font> picchar, masticar coca\n<font color=#FF8C00>ENG:</font> to chew coca
lawa	<font color=red>CHP:</font> asi\n<font color=#2E8B57>ESP:</font> comida espesa, comida de lawa\n<font color=#FF8C00>ENG:</font> porridge
asintaña, uchaña	<font color=red>CHP:</font> asintiz\n<font color=#2E8B57>ESP:</font> asentar, colocar\n<font color=#FF8C00>ENG:</font> to settle, to place
iyaw saña	<font color=red>CHP:</font> asiptiz\n<font color=#2E8B57>ESP:</font> aceptar\n<font color=#FF8C00>ENG:</font> to accept
asirtaña	<font color=red>CHP:</font> asirtiz\n<font color=#2E8B57>ESP:</font> hacer sin falla, acertar\n<font color=#FF8C00>ENG:</font> to do without fail
asirtaña	<font color=red>CHP:</font> asirtiz\n<font color=#2E8B57>ESP:</font> dar impacto\n<font color=#FF8C00>ENG:</font> to hit
asiyti	<font color=red>CHP:</font> asiti\n<font color=#2E8B57>ESP:</font> aceite\n<font color=#FF8C00>ENG:</font> oil (for cooking)
asaruna	<font color=red>CHP:</font> astuna\n<font color=#2E8B57>ESP:</font> azadón\n<font color=#FF8C00>ENG:</font> large hoe
lakhaña	<font color=red>CHP:</font> asza\n<font color=#2E8B57>ESP:</font> arder\n<font color=#FF8C00>ENG:</font> to burn
jan k'amani	<font color=red>CHP:</font> at k'ara\n<font color=#2E8B57>ESP:</font> sin dientes\n<font color=#FF8C00>ENG:</font> toothless
k'ama yastata	<font color=red>CHP:</font> at pjasara\n<font color=#2E8B57>ESP:</font> con dientes gastados\n<font color=#FF8C00>ENG:</font> with small worn teeth
laka	<font color=red>CHP:</font> ata\n<font color=#2E8B57>ESP:</font> boca\n<font color=#FF8C00>ENG:</font> mouth
inak arusi	<font color=red>CHP:</font> ata alajja\n<font color=#2E8B57>ESP:</font> puras palabras (sin hechos)\n<font color=#FF8C00>ENG:</font> just talk (no action)
atinaru	<font color=red>CHP:</font> atinaru\n<font color=#2E8B57>ESP:</font> orgulloso\n<font color=#FF8C00>ENG:</font> proud
atipaña	<font color=red>CHP:</font> atipz\n<font color=#2E8B57>ESP:</font> ganar, vencer\n<font color=#FF8C00>ENG:</font> to win, to defeat
t'ijtaña, t'ijtas atipaña	<font color=red>CHP:</font> atipz\n<font color=#2E8B57>ESP:</font> escapar\n<font color=#FF8C00>ENG:</font> to escape
atiña	<font color=red>CHP:</font> atñic̈ha\n<font color=#2E8B57>ESP:</font> poder\n<font color=#FF8C00>ENG:</font> to be able to
kisu luraña	<font color=red>CHP:</font> atñic̈ha\n<font color=#2E8B57>ESP:</font> hacer, preparar\n<font color=#FF8C00>ENG:</font> to make, to prepare
phisphi	<font color=red>CHP:</font> atpulu\n<font color=#2E8B57>ESP:</font> labio\n<font color=#FF8C00>ENG:</font> lip
atuwi	<font color=red>CHP:</font> atupi\n<font color=#2E8B57>ESP:</font> adobe\n<font color=#FF8C00>ENG:</font> adobe, mud brick
suchuña	<font color=red>CHP:</font> atz̈a\n<font color=#2E8B57>ESP:</font> recorrer\n<font color=#FF8C00>ENG:</font> to travel through
jananta	<font color=red>CHP:</font> awalla\n<font color=#2E8B57>ESP:</font> pañal\n<font color=#FF8C00>ENG:</font> diaper
awantaña	<font color=red>CHP:</font> awantiz\n<font color=#2E8B57>ESP:</font> aguantar\n<font color=#FF8C00>ENG:</font> to endure
awarinti	<font color=red>CHP:</font> awarinti\n<font color=#2E8B57>ESP:</font> agua ardiente, alcohol\n<font color=#FF8C00>ENG:</font> alcohol, liquor
awatir turu (jañachu)	<font color=red>CHP:</font> awatir turu\n<font color=#2E8B57>ESP:</font> macho grande del rebaño\n<font color=#FF8C00>ENG:</font> big male, leader of the herd
awatiri	<font color=red>CHP:</font> awatiri\n<font color=#2E8B57>ESP:</font> pastor\n<font color=#FF8C00>ENG:</font> shepherd
awatiña, iñaña	<font color=red>CHP:</font> awayt'iz\n<font color=#2E8B57>ESP:</font> espiar\n<font color=#FF8C00>ENG:</font> to spy
jawch'i, llawch'i	<font color=red>CHP:</font> awchi\n<font color=#2E8B57>ESP:</font> mojado\n<font color=#FF8C00>ENG:</font> wet
murintata	<font color=red>CHP:</font> awi\n<font color=#2E8B57>ESP:</font> húmedo\n<font color=#FF8C00>ENG:</font> humid, damp
jariña, t'axsaña	<font color=red>CHP:</font> awjz\n<font color=#2E8B57>ESP:</font> lavar\n<font color=#FF8C00>ENG:</font> to wash
wilanchiri, luqiri	<font color=red>CHP:</font> awquichu\n<font color=#2E8B57>ESP:</font> sacrificador\n<font color=#FF8C00>ENG:</font> one who sacrifices
awti	<font color=red>CHP:</font> awti = awti timpu\n<font color=#2E8B57>ESP:</font> invierno\n<font color=#FF8C00>ENG:</font> winter
murintaña	<font color=red>CHP:</font> awz\n<font color=#2E8B57>ESP:</font> mojar\n<font color=#FF8C00>ENG:</font> to wet
phara	<font color=red>CHP:</font> aya\n<font color=#2E8B57>ESP:</font> frente\n<font color=#FF8C00>ENG:</font> forehead
uqi qala, urqu qala, thuru qala	<font color=red>CHP:</font> ayi maaz\n<font color=#2E8B57>ESP:</font> piedra dura\n<font color=#FF8C00>ENG:</font> hard rock
usuña	<font color=red>CHP:</font> ayinz\n<font color=#2E8B57>ESP:</font> doler\n<font color=#FF8C00>ENG:</font> to hurt
ayllu	<font color=red>CHP:</font> ayllu\n<font color=#2E8B57>ESP:</font> ayllu, comunidad indígena\n<font color=#FF8C00>ENG:</font> indigenous community
aynacha, irana	<font color=red>CHP:</font> aynacha\n<font color=#2E8B57>ESP:</font> bajada\n<font color=#FF8C00>ENG:</font> slope (downward)
ayni	<font color=red>CHP:</font> ayni\n<font color=#2E8B57>ESP:</font> trabajo colectivo\n<font color=#FF8C00>ENG:</font> collective work
aynjaña	<font color=red>CHP:</font> aynijjaz\n<font color=#2E8B57>ESP:</font> trabajo recíproco\n<font color=#FF8C00>ENG:</font> reciprocal work, to work for one another
jach'a parani	<font color=red>CHP:</font> ayp'ulu\n<font color=#2E8B57>ESP:</font> con frente grande\n<font color=#FF8C00>ENG:</font> having a large forehead
ayrampu	<font color=red>CHP:</font> ayrampu\n<font color=#2E8B57>ESP:</font> ayrampu (planta con espinas)\n<font color=#FF8C00>ENG:</font> mountain cactus
ayt'asiña	<font color=red>CHP:</font> ayt'az\n<font color=#2E8B57>ESP:</font> jactarse de\n<font color=#FF8C00>ENG:</font> to boast about
aytiraña	<font color=red>CHP:</font> aytirz\n<font color=#2E8B57>ESP:</font> enjuagar\n<font color=#FF8C00>ENG:</font> to rinse
sutinak aytaña	<font color=red>CHP:</font> aytiz\n<font color=#2E8B57>ESP:</font> pasar lista\n<font color=#FF8C00>ENG:</font> to call (a roll)
ayuna	<font color=red>CHP:</font> ayuna\n<font color=#2E8B57>ESP:</font> ayuna\n<font color=#FF8C00>ENG:</font> fast, abstention from food
ayunaña	<font color=red>CHP:</font> ayunaz\n<font color=#2E8B57>ESP:</font> ayunar\n<font color=#FF8C00>ENG:</font> to fast
tumpaña, silaña	<font color=red>CHP:</font> ayz\n<font color=#2E8B57>ESP:</font> celar\n<font color=#FF8C00>ENG:</font> to watch over
p'inqaña	<font color=red>CHP:</font> az\n<font color=#2E8B57>ESP:</font> vergüenza\n<font color=#FF8C00>ENG:</font> embarrassment
asaqa	<font color=red>CHP:</font> azaka\n<font color=#2E8B57>ESP:</font> raya blanca en urcju (vestido de mujeres)\n<font color=#FF8C00>ENG:</font> white stripe on women's dress
p'inqasita	<font color=red>CHP:</font> azanpanti\n<font color=#2E8B57>ESP:</font> de vergüenza\n<font color=#FF8C00>ENG:</font> from shame
p'inqasiri	<font color=red>CHP:</font> azazñi\n<font color=#2E8B57>ESP:</font> muy vergonzoso\n<font color=#FF8C00>ENG:</font> very shy, very bashful
ch'ama	<font color=red>CHP:</font> azi\n<font color=#2E8B57>ESP:</font> fuerza\n<font color=#FF8C00>ENG:</font> strength
ch'amtasiña, ch'amtapiña	<font color=red>CHP:</font> azi wejlz\n<font color=#2E8B57>ESP:</font> medir fuerzas (personas)\n<font color=#FF8C00>ENG:</font> to compare one's strength (persons)
ususiña	<font color=red>CHP:</font> azinz\n<font color=#2E8B57>ESP:</font> enfermarse\n<font color=#FF8C00>ENG:</font> to fall ill
kallachi	<font color=red>CHP:</font> azkara\n<font color=#2E8B57>ESP:</font> hombro\n<font color=#FF8C00>ENG:</font> shoulder
asnu, tumiritu	<font color=red>CHP:</font> aznu\n<font color=#2E8B57>ESP:</font> burro\n<font color=#FF8C00>ENG:</font> donkey
jiwtasiri	<font color=red>CHP:</font> azñi\n<font color=#2E8B57>ESP:</font> vergonzoso\n<font color=#FF8C00>ENG:</font> shy, bashful
askiraña	<font color=red>CHP:</font> azquichz\n<font color=#2E8B57>ESP:</font> arreglar, resolver problemas\n<font color=#FF8C00>ENG:</font> to fix, to resolve
iñisiri, ch'amar atiniru	<font color=red>CHP:</font> azquiz atinaru\n<font color=#2E8B57>ESP:</font> abusivo\n<font color=#FF8C00>ENG:</font> abusive, bully
sik'a chuwa	<font color=red>CHP:</font> azti chuwa\n<font color=#2E8B57>ESP:</font> plato pequeño\n<font color=#FF8C00>ENG:</font> small plate
llamparaña	<font color=red>CHP:</font> aztiz\n<font color=#2E8B57>ESP:</font> trasladar (uno por uno)\n<font color=#FF8C00>ENG:</font> to move things one by one
apaña	<font color=red>CHP:</font> aztiz\n<font color=#2E8B57>ESP:</font> llevar\n<font color=#FF8C00>ENG:</font> to carry
ast'aña	<font color=red>CHP:</font> azt'iz\n<font color=#2E8B57>ESP:</font> quemar incienso, sahumar\n<font color=#FF8C00>ENG:</font> to burn incense
pä simanata, pä simanaxina	<font color=red>CHP:</font> az̈k (pizc simana)\n<font color=#2E8B57>ESP:</font> hace (dos semanas)\n<font color=#FF8C00>ENG:</font> (two weeks) ago
jaya	<font color=red>CHP:</font> az̈ka\n<font color=#2E8B57>ESP:</font> lejos (en tiempo)\n<font color=#FF8C00>ENG:</font> far away (time)
jayapachata	<font color=red>CHP:</font> az̈kpacha\n<font color=#2E8B57>ESP:</font> hace largo rato\n<font color=#FF8C00>ENG:</font> a long time ago
khuri	<font color=red>CHP:</font> az̈quin\n<font color=#2E8B57>ESP:</font> lejos (en distancia)\n<font color=#FF8C00>ENG:</font> far away (in distance)
qäna, saqaña, llika	<font color=red>CHP:</font> cacuna\n<font color=#2E8B57>ESP:</font> red para pescar\n<font color=#FF8C00>ENG:</font> fish net
kacharpaya	<font color=red>CHP:</font> cacharpaya\n<font color=#2E8B57>ESP:</font> despedida de la fiesta\n<font color=#FF8C00>ENG:</font> last part of festival
kachina	<font color=red>CHP:</font> cachina\n<font color=#2E8B57>ESP:</font> bolita\n<font color=#FF8C00>ENG:</font> marble (toy)
kaja	<font color=red>CHP:</font> caja\n<font color=#2E8B57>ESP:</font> tambor\n<font color=#FF8C00>ENG:</font> small drum
kajitira	<font color=red>CHP:</font> cajitira\n<font color=#2E8B57>ESP:</font> viandera, jarra con tapa para guardar comidas\n<font color=#FF8C00>ENG:</font> can with lid to store food
chhunkha p'ataña	<font color=red>CHP:</font> cajlz\n<font color=#2E8B57>ESP:</font> sacar pelo de barba uno por uno\n<font color=#FF8C00>ENG:</font> to pull out hairs one by one
jik'iraña	<font color=red>CHP:</font> cajlz\n<font color=#2E8B57>ESP:</font> sacar planta con la raíz\n<font color=#FF8C00>ENG:</font> to uproot
salta	<font color=red>CHP:</font> cajun cajuna\n<font color=#2E8B57>ESP:</font> figuras en los tejidos\n<font color=#FF8C00>ENG:</font> weaving pattern
kajuyla	<font color=red>CHP:</font> cajuyla\n<font color=#2E8B57>ESP:</font> cajita o vitrina de santos\n<font color=#FF8C00>ENG:</font> small box/display case for saints
anti	<font color=red>CHP:</font> calawina\n<font color=#2E8B57>ESP:</font> rosado\n<font color=#FF8C00>ENG:</font> pink, fuchsia
alqa	<font color=red>CHP:</font> calsa\n<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (negro/café y blanco)\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (black/brown and white)
calzuna	<font color=red>CHP:</font> calzuna\n<font color=#2E8B57>ESP:</font> pantalones\n<font color=#FF8C00>ENG:</font> trousers, pants
kusi kusi	<font color=red>CHP:</font> callacalla = araña\n<font color=#2E8B57>ESP:</font> araña\n<font color=#FF8C00>ENG:</font> spider
usuchjata	<font color=red>CHP:</font> callca\n<font color=#2E8B57>ESP:</font> lastimado, herido\n<font color=#FF8C00>ENG:</font> injured, wounded
ch'uku	<font color=red>CHP:</font> callu\n<font color=#2E8B57>ESP:</font> medio urcju, costura de urcju\n<font color=#FF8C00>ENG:</font> half of woman's dress, seam of woman's dress
kallaña	<font color=red>CHP:</font> callz\n<font color=#2E8B57>ESP:</font> llevar una persona (en camilla)\n<font color=#FF8C00>ENG:</font> to carry a person (on a stretcher)
tupu	<font color=red>CHP:</font> cama\n<font color=#2E8B57>ESP:</font> medida para tejer\n<font color=#FF8C00>ENG:</font> weaving measurement
-kama	<font color=red>CHP:</font> -cama\n<font color=#2E8B57>ESP:</font> hasta\n<font color=#FF8C00>ENG:</font> up to, as far as
-kama	<font color=red>CHP:</font> -cama\n<font color=#2E8B57>ESP:</font> puro, solamente\n<font color=#FF8C00>ENG:</font> only
qamañ tayka	<font color=red>CHP:</font> camana\n<font color=#2E8B57>ESP:</font> espacio ceremonial en una casa\n<font color=#FF8C00>ENG:</font> ceremonial space in a house
surunqu	<font color=red>CHP:</font> campalachi\n<font color=#2E8B57>ESP:</font> laringe\n<font color=#FF8C00>ENG:</font> larynx
turi	<font color=red>CHP:</font> campanturi = turi\n<font color=#2E8B57>ESP:</font> torre\n<font color=#FF8C00>ENG:</font> tower
chhalaña, turkaña	<font color=red>CHP:</font> campiiz\n<font color=#2E8B57>ESP:</font> cambiar, intercambiar\n<font color=#FF8C00>ENG:</font> to change, to exchange (goods)
kampiyaña, kampiytaña	<font color=red>CHP:</font> campiyaz\n<font color=#2E8B57>ESP:</font> cambiar\n<font color=#FF8C00>ENG:</font> to replace (people)
kanka	<font color=red>CHP:</font> canca\n<font color=#2E8B57>ESP:</font> carne asada\n<font color=#FF8C00>ENG:</font> roasted meat
yanaña	<font color=red>CHP:</font> canz\n<font color=#2E8B57>ESP:</font> ganar\n<font color=#FF8C00>ENG:</font> to win
tuqura	<font color=red>CHP:</font> caña\n<font color=#2E8B57>ESP:</font> caña\n<font color=#FF8C00>ENG:</font> cane (plant)
munañani, q'illukhumu	<font color=red>CHP:</font> caprichu\n<font color=#2E8B57>ESP:</font> caprichoso\n<font color=#FF8C00>ENG:</font> capricious
k'iruña	<font color=red>CHP:</font> caps\n<font color=#2E8B57>ESP:</font> envolver\n<font color=#FF8C00>ENG:</font> to wrap up
kapujaña	<font color=red>CHP:</font> capujz\n<font color=#2E8B57>ESP:</font> vender más barato que otros, regatear\n<font color=#FF8C00>ENG:</font> to have a sale, to sell cheaply, to sell quickly
kapata	<font color=red>CHP:</font> capuna\n<font color=#2E8B57>ESP:</font> castrado\n<font color=#FF8C00>ENG:</font> castrated
kapuna	<font color=red>CHP:</font> capunturu\n<font color=#2E8B57>ESP:</font> macho castrado\n<font color=#FF8C00>ENG:</font> castrated male
awriwu	<font color=red>CHP:</font> caputi\n<font color=#2E8B57>ESP:</font> abrigo\n<font color=#FF8C00>ENG:</font> overcoat
kapaña	<font color=red>CHP:</font> capz\n<font color=#2E8B57>ESP:</font> castrar\n<font color=#FF8C00>ENG:</font> to castrate
jach'a	<font color=red>CHP:</font> cara\n<font color=#2E8B57>ESP:</font> ancho\n<font color=#FF8C00>ENG:</font> wide
karaju	<font color=red>CHP:</font> caraju\n<font color=#2E8B57>ESP:</font> palabra de enojo, voz malsonante\n<font color=#FF8C00>ENG:</font> swear word
sumall puquta	<font color=red>CHP:</font> caranu\n<font color=#2E8B57>ESP:</font> lo mejor en la producción agrícola\n<font color=#FF8C00>ENG:</font> the best agricultural product
jach'a khuchi	<font color=red>CHP:</font> carañu\n<font color=#2E8B57>ESP:</font> macho grande del cerdo\n<font color=#FF8C00>ENG:</font> male pig who watches over the herd
karina	<font color=red>CHP:</font> carina\n<font color=#2E8B57>ESP:</font> cadena\n<font color=#FF8C00>ENG:</font> chain
kariru, jiwakipata	<font color=red>CHP:</font> cariru\n<font color=#2E8B57>ESP:</font> carero\n<font color=#FF8C00>ENG:</font> shopkeeper who charges excessive prices
kuwarisma	<font color=red>CHP:</font> carisma\n<font color=#2E8B57>ESP:</font> tiempo de cuaresma\n<font color=#FF8C00>ENG:</font> Lent (40 days before Easter)
antijuyra	<font color=red>CHP:</font> carnata\n<font color=#2E8B57>ESP:</font> quinua rosada\n<font color=#FF8C00>ENG:</font> type of quinua (pinkish)
karwuna	<font color=red>CHP:</font> carpuna\n<font color=#2E8B57>ESP:</font> carbón\n<font color=#FF8C00>ENG:</font> coal, charcoal
karsila	<font color=red>CHP:</font> carsila\n<font color=#2E8B57>ESP:</font> cárcel\n<font color=#FF8C00>ENG:</font> jail
cartuna	<font color=red>CHP:</font> cartuna\n<font color=#2E8B57>ESP:</font> caja (cartón)\n<font color=#FF8C00>ENG:</font> (cardboard) box
karunaña	<font color=red>CHP:</font> carunz\n<font color=#2E8B57>ESP:</font> poner carona (en animales)\n<font color=#FF8C00>ENG:</font> to put a cloth on animals (to protect their body)
lawa / k'ullu	<font color=red>CHP:</font> caruti\n<font color=#2E8B57>ESP:</font> palo\n<font color=#FF8C00>ENG:</font> club, stick
carwansu	<font color=red>CHP:</font> carwansa\n<font color=#2E8B57>ESP:</font> garbanzo\n<font color=#FF8C00>ENG:</font> garbanzo bean plant
kasarasiña, warmichasiña, chachasiña	<font color=red>CHP:</font> casarz\n<font color=#2E8B57>ESP:</font> casarse\n<font color=#FF8C00>ENG:</font> to get married
purapachaña	<font color=red>CHP:</font> casi\n<font color=#2E8B57>ESP:</font> igualar\n<font color=#FF8C00>ENG:</font> to be the same
purapacha	<font color=red>CHP:</font> casiz\n<font color=#2E8B57>ESP:</font> igualado\n<font color=#FF8C00>ENG:</font> the same
kastiyaña	<font color=red>CHP:</font> casticz\n<font color=#2E8B57>ESP:</font> castigar\n<font color=#FF8C00>ENG:</font> to punish
rura	<font color=red>CHP:</font> castillura\n<font color=#2E8B57>ESP:</font> planta medicinal\n<font color=#FF8C00>ENG:</font> a medicinal plant
katalina	<font color=red>CHP:</font> catalina\n<font color=#2E8B57>ESP:</font> tipo de escarabajo\n<font color=#FF8C00>ENG:</font> beetle
isi katt'ata	<font color=red>CHP:</font> catalla\n<font color=#2E8B57>ESP:</font> ropa que cabe bien\n<font color=#FF8C00>ENG:</font> well fitting clothes
katuqaña	<font color=red>CHP:</font> catokz\n<font color=#2E8B57>ESP:</font> recibir, aceptar\n<font color=#FF8C00>ENG:</font> to receive, to accept
manq'aq'ara	<font color=red>CHP:</font> caturiza\n<font color=#2E8B57>ESP:</font> hambriento y aprovechador\n<font color=#FF8C00>ENG:</font> greedy, selfish (relating to food)
kawala	<font color=red>CHP:</font> cawali\n<font color=#2E8B57>ESP:</font> exacto, cabal\n<font color=#FF8C00>ENG:</font> exact, precise
katu, katuña	<font color=red>CHP:</font> cawu\n<font color=#2E8B57>ESP:</font> mango, asa\n<font color=#FF8C00>ENG:</font> handle
chukt'asiña, killtat ch'uktasiña	<font color=red>CHP:</font> cawz\n<font color=#2E8B57>ESP:</font> ponerse en cuclillas\n<font color=#FF8C00>ENG:</font> to squat
